Method,SNR_dB,BER,DisplayBER,ErrorCount,BitTotal
CCK-Rake,-5,0.455891927083333,0.455891927083333,8403,18432
CCK-Rake,-4,0.443196614583333,0.443196614583333,8169,18432
CCK-Rake,-3,0.42431640625,0.42431640625,7821,18432
CCK-Rake,-2,0.408474392361111,0.408474392361111,7529,18432
CCK-Rake,-1,0.384765625,0.384765625,7092,18432
CCK-Rake,0,0.366048177083333,0.366048177083333,6747,18432
CCK-Rake,1,0.331651475694444,0.331651475694444,6113,18432
CCK-Rake,2,0.295952690972222,0.295952690972222,5455,18432
CCK-Rake,3,0.257378472222222,0.257378472222222,4744,18432
CCK-Rake,4,0.21142578125,0.21142578125,3897,18432
CCK-Rake,5,0.153266059027778,0.153266059027778,2825,18432
CCK-Rake,6,0.103190104166667,0.103190104166667,1902,18432
CCK-Rake,7,0.0506184895833333,0.0506184895833333,933,18432
CCK-Rake,8,0.0200737847222222,0.0200737847222222,370,18432
CCK-Rake,9,0.00857204861111111,0.00857204861111111,158,18432
CCK-Rake,10,0.00314670138888889,0.00314670138888889,58,18432
TE-CCK-iter0,-5,0.446940104166667,0.446940104166667,8238,18432
TE-CCK-iter0,-4,0.431369357638889,0.431369357638889,7951,18432
TE-CCK-iter0,-3,0.414713541666667,0.414713541666667,7644,18432
TE-CCK-iter0,-2,0.394802517361111,0.394802517361111,7277,18432
TE-CCK-iter0,-1,0.384168836805556,0.384168836805556,7081,18432
TE-CCK-iter0,0,0.355251736111111,0.355251736111111,6548,18432
TE-CCK-iter0,1,0.3232421875,0.3232421875,5958,18432
TE-CCK-iter0,2,0.291720920138889,0.291720920138889,5377,18432
TE-CCK-iter0,3,0.247992621527778,0.247992621527778,4571,18432
TE-CCK-iter0,4,0.18994140625,0.18994140625,3501,18432
TE-CCK-iter0,5,0.11083984375,0.11083984375,2043,18432
TE-CCK-iter0,6,0.05078125,0.05078125,936,18432
TE-CCK-iter0,7,0.00895182291666667,0.00895182291666667,165,18432
TE-CCK-iter0,8,0.00173611111111111,0.00173611111111111,32,18432
TE-CCK-iter0,9,0.000325520833333333,0.000325520833333333,6,18432
TE-CCK-iter0,10,0,2.71267361111111e-05,0,18432
TE-CCK-iter1,-5,0.448567708333333,0.448567708333333,8268,18432
TE-CCK-iter1,-4,0.437228732638889,0.437228732638889,8059,18432
TE-CCK-iter1,-3,0.416883680555556,0.416883680555556,7684,18432
TE-CCK-iter1,-2,0.399468315972222,0.399468315972222,7363,18432
TE-CCK-iter1,-1,0.391330295138889,0.391330295138889,7213,18432
TE-CCK-iter1,0,0.367567274305556,0.367567274305556,6775,18432
TE-CCK-iter1,1,0.330837673611111,0.330837673611111,6098,18432
TE-CCK-iter1,2,0.299045138888889,0.299045138888889,5512,18432
TE-CCK-iter1,3,0.249186197916667,0.249186197916667,4593,18432
TE-CCK-iter1,4,0.172146267361111,0.172146267361111,3173,18432
TE-CCK-iter1,5,0.04248046875,0.04248046875,783,18432
TE-CCK-iter1,6,0.0048828125,0.0048828125,90,18432
TE-CCK-iter1,7,0,2.71267361111111e-05,0,18432
TE-CCK-iter1,8,0,2.71267361111111e-05,0,18432
TE-CCK-iter1,9,0,2.71267361111111e-05,0,18432
TE-CCK-iter1,10,0,2.71267361111111e-05,0,18432
TE-CCK-iter2,-5,0.445746527777778,0.445746527777778,8216,18432
TE-CCK-iter2,-4,0.434353298611111,0.434353298611111,8006,18432
TE-CCK-iter2,-3,0.420084635416667,0.420084635416667,7743,18432
TE-CCK-iter2,-2,0.400499131944444,0.400499131944444,7382,18432
TE-CCK-iter2,-1,0.387803819444444,0.387803819444444,7148,18432
TE-CCK-iter2,0,0.365017361111111,0.365017361111111,6728,18432
TE-CCK-iter2,1,0.333116319444444,0.333116319444444,6140,18432
TE-CCK-iter2,2,0.3056640625,0.3056640625,5634,18432
TE-CCK-iter2,3,0.251030815972222,0.251030815972222,4627,18432
TE-CCK-iter2,4,0.151584201388889,0.151584201388889,2794,18432
TE-CCK-iter2,5,0.01953125,0.01953125,360,18432
TE-CCK-iter2,6,0.000108506944444444,NaN,2,18432
TE-CCK-iter2,7,0,2.71267361111111e-05,0,18432
TE-CCK-iter2,8,0,2.71267361111111e-05,0,18432
TE-CCK-iter2,9,0,2.71267361111111e-05,0,18432
TE-CCK-iter2,10,0,2.71267361111111e-05,0,18432
TE-CCK-iter3,-5,0.446560329861111,0.446560329861111,8231,18432
TE-CCK-iter3,-4,0.434841579861111,0.434841579861111,8015,18432
TE-CCK-iter3,-3,0.418348524305556,0.418348524305556,7711,18432
TE-CCK-iter3,-2,0.402886284722222,0.402886284722222,7426,18432
TE-CCK-iter3,-1,0.388020833333333,0.388020833333333,7152,18432
TE-CCK-iter3,0,0.367621527777778,0.367621527777778,6776,18432
TE-CCK-iter3,1,0.330783420138889,0.330783420138889,6097,18432
TE-CCK-iter3,2,0.31201171875,0.31201171875,5751,18432
TE-CCK-iter3,3,0.253146701388889,0.253146701388889,4666,18432
TE-CCK-iter3,4,0.141438802083333,0.141438802083333,2607,18432
TE-CCK-iter3,5,0.01416015625,0.01416015625,261,18432
TE-CCK-iter3,6,0,2.71267361111111e-05,0,18432
TE-CCK-iter3,7,0,2.71267361111111e-05,0,18432
TE-CCK-iter3,8,0,2.71267361111111e-05,0,18432
TE-CCK-iter3,9,0,2.71267361111111e-05,0,18432
TE-CCK-iter3,10,0,2.71267361111111e-05,0,18432
TE-CCK-iter4,-5,0.447591145833333,0.447591145833333,8250,18432
TE-CCK-iter4,-4,0.436306423611111,0.436306423611111,8042,18432
TE-CCK-iter4,-3,0.421332465277778,0.421332465277778,7766,18432
TE-CCK-iter4,-2,0.4033203125,0.4033203125,7434,18432
TE-CCK-iter4,-1,0.386338975694444,0.386338975694444,7121,18432
TE-CCK-iter4,0,0.368109809027778,0.368109809027778,6785,18432
TE-CCK-iter4,1,0.3369140625,0.3369140625,6210,18432
TE-CCK-iter4,2,0.309841579861111,0.309841579861111,5711,18432
TE-CCK-iter4,3,0.246527777777778,0.246527777777778,4544,18432
TE-CCK-iter4,4,0.130696614583333,0.130696614583333,2409,18432
TE-CCK-iter4,5,0.01220703125,0.01220703125,225,18432
TE-CCK-iter4,6,0,2.71267361111111e-05,0,18432
TE-CCK-iter4,7,0,2.71267361111111e-05,0,18432
TE-CCK-iter4,8,0,2.71267361111111e-05,0,18432
TE-CCK-iter4,9,0,2.71267361111111e-05,0,18432
TE-CCK-iter4,10,0,2.71267361111111e-05,0,18432
DSSS-2,-5,0.303927951388889,0.303927951388889,11204,36864
DSSS-2,-4,0.277859157986111,0.277859157986111,10243,36864
DSSS-2,-3,0.253336588541667,0.253336588541667,9339,36864
DSSS-2,-2,0.231797960069444,0.231797960069444,8545,36864
DSSS-2,-1,0.207085503472222,0.207085503472222,7634,36864
DSSS-2,0,0.186496310763889,0.186496310763889,6875,36864
DSSS-2,1,0.165256076388889,0.165256076388889,6092,36864
DSSS-2,2,0.143853081597222,0.143853081597222,5303,36864
DSSS-2,3,0.12353515625,0.12353515625,4554,36864
DSSS-2,4,0.102891710069444,0.102891710069444,3793,36864
DSSS-2,5,0.0831163194444444,0.0831163194444444,3064,36864
DSSS-2,6,0.0634494357638889,0.0634494357638889,2339,36864
DSSS-2,7,0.0454372829861111,0.0454372829861111,1675,36864
DSSS-2,8,0.0320095486111111,0.0320095486111111,1180,36864
DSSS-2,9,0.0205891927083333,0.0205891927083333,759,36864
DSSS-2,10,0.0111219618055556,0.0111219618055556,410,36864
DSSS-4,-5,0.266276041666667,0.266276041666667,9816,36864
DSSS-4,-4,0.239501953125,0.239501953125,8829,36864
DSSS-4,-3,0.209716796875,0.209716796875,7731,36864
DSSS-4,-2,0.182345920138889,0.182345920138889,6722,36864
DSSS-4,-1,0.153293185763889,0.153293185763889,5651,36864
DSSS-4,0,0.119710286458333,0.119710286458333,4413,36864
DSSS-4,1,0.103325737847222,0.103325737847222,3809,36864
DSSS-4,2,0.0761176215277778,0.0761176215277778,2806,36864
DSSS-4,3,0.0536024305555556,0.0536024305555556,1976,36864
DSSS-4,4,0.0400390625,0.0400390625,1476,36864
DSSS-4,5,0.0246039496527778,0.0246039496527778,907,36864
DSSS-4,6,0.0155707465277778,0.0155707465277778,574,36864
DSSS-4,7,0.00873480902777778,0.00873480902777778,322,36864
DSSS-4,8,0.00295681423611111,0.00295681423611111,109,36864
DSSS-4,9,0.00176323784722222,0.00176323784722222,65,36864
DSSS-4,10,0.000298394097222222,0.000298394097222222,11,36864
DSSS-8,-5,0.25439453125,0.25439453125,9378,36864
DSSS-8,-4,0.226019965277778,0.226019965277778,8332,36864
DSSS-8,-3,0.196044921875,0.196044921875,7227,36864
DSSS-8,-2,0.169379340277778,0.169379340277778,6244,36864
DSSS-8,-1,0.135823567708333,0.135823567708333,5007,36864
DSSS-8,0,0.110975477430556,0.110975477430556,4091,36864
DSSS-8,1,0.080810546875,0.080810546875,2979,36864
DSSS-8,2,0.0576443142361111,0.0576443142361111,2125,36864
DSSS-8,3,0.0392252604166667,0.0392252604166667,1446,36864
DSSS-8,4,0.02392578125,0.02392578125,882,36864
DSSS-8,5,0.0123969184027778,0.0123969184027778,457,36864
DSSS-8,6,0.00558810763888889,0.00558810763888889,206,36864
