SNR_dB,BER_Rake,BER_Rake_DFE,BER_BiDFE_1,BER_BiDFE_2_1____,BER_BiDFE_2_2____,BER_TR_Diversity_1____,BER_TR_Diversity_2____,BER_MFB,BER_BPSK_MMSE,Errors_Rake,Errors_Rake_DFE,Errors_BiDFE_1,Errors_BiDFE_2_1____,Errors_BiDFE_2_2____,Errors_TR_Diversity_1____,Errors_TR_Diversity_2____,Errors_MFB,Errors_BPSK_MMSE,BitTotal
0,0.219889322916667,0.23779296875,0.21455078125,0.187955729166667,0.181119791666667,0.06240234375,0.0438151041666667,0.0157552083333333,0.137630208333333,6755,7305,6591,5774,5564,1917,1346,484,4228,30720
1,0.19482421875,0.188118489583333,0.181477864583333,0.145345052083333,0.137076822916667,0.0355794270833333,0.0198893229166667,0.00537109375,0.114811197916667,5985,5779,5575,4465,4211,1093,611,165,3527,30720
2,0.162272135416667,0.139908854166667,0.132584635416667,0.0907552083333333,0.08388671875,0.0238606770833333,0.00891927083333333,0.00104166666666667,0.101529947916667,4985,4298,4073,2788,2577,733,274,32,3119,30720
3,0.137890625,0.0859700520833333,0.100065104166667,0.0563802083333333,0.0442057291666667,0.00963541666666667,0.00263671875,0.000423177083333333,0.08603515625,4236,2641,3074,1732,1358,296,81,13,2643,30720
4,0.114322916666667,0.0442708333333333,0.05966796875,0.02158203125,0.0169270833333333,0.00478515625,0.000618489583333333,9.765625e-05,0.0686848958333333,3512,1360,1833,663,520,147,19,3,2110,30720
5,0.0942708333333333,0.0222005208333333,0.0458984375,0.0102213541666667,0.00706380208333333,0.00276692708333333,9.765625e-05,0,0.0563151041666667,2896,682,1410,314,217,85,3,0,1730,30720
6,0.0815755208333333,0.00774739583333333,0.0288736979166667,0.00286458333333333,0.001953125,0.00205078125,6.51041666666667e-05,0,0.0463541666666667,2506,238,887,88,60,63,2,0,1424,30720
7,0.0689453125,0.00107421875,0.01826171875,0.00120442708333333,0.0001953125,0.00100911458333333,0,0,0.0387369791666667,2118,33,561,37,6,31,0,0,1190,30720
8,0.0557942708333333,0.000358072916666667,0.00944010416666667,0.000130208333333333,0,0.000846354166666667,0,0,0.0307942708333333,1714,11,290,4,0,26,0,0,946,30720
9,0.0508138020833333,0,0.00589192708333333,0.0001953125,0,0.000716145833333333,0,0,0.0271484375,1561,0,181,6,0,22,0,0,834,30720
10,0.04462890625,0,0.00524088541666667,0,0,0.000520833333333333,0,0,0.0202473958333333,1371,0,161,0,0,16,0,0,622,30720
11,0.0378255208333333,0,0.00182291666666667,0,0,0.00048828125,0,0,0.0177408854166667,1162,0,56,0,0,15,0,0,545,30720
12,0.0365234375,0,0.00104166666666667,0,0,0.000162760416666667,0,0,0.0131184895833333,1122,0,32,0,0,5,0,0,403,30720
