SNR_dB,BER_Rake,BER_Rake_DFE,BER_BiDFE_1,BER_BiDFE_2,BER_TR_Diversity_2R,BER_MFB,Errors_Rake,Errors_Rake_DFE,Errors_BiDFE_1,Errors_BiDFE_2,Errors_TR_Diversity_2R,Errors_MFB,BitTotal
0,0.317447916666667,0.310894097222222,0.303797743055556,0.274370659722222,0.279340277777778,0.289279513888889,14628,14326,13999,12643,12872,13330,46080
1,0.301671006944444,0.284722222222222,0.277039930555556,0.239301215277778,0.268337673611111,0.255013020833333,13901,13120,12766,11027,12365,11751,46080
2,0.292317708333333,0.2447265625,0.258289930555556,0.21171875,0.256184895833333,0.218315972222222,13470,11277,11902,9756,11805,10060,46080
3,0.274457465277778,0.200086805555556,0.222981770833333,0.163172743055556,0.249457465277778,0.173697916666667,12647,9220,10275,7519,11495,8004,46080
4,0.263758680555556,0.1501953125,0.1982421875,0.1248046875,0.237543402777778,0.1259765625,12154,6921,9135,5751,10946,5805,46080
5,0.251801215277778,0.112348090277778,0.182790798611111,0.0941623263888889,0.235481770833333,0.0938368055555556,11603,5177,8423,4339,10851,4324,46080
6,0.2462890625,0.0700086805555555,0.153884548611111,0.0614583333333333,0.231987847222222,0.0573567708333333,11349,3226,7091,2832,10690,2643,46080
7,0.237999131944444,0.0425564236111111,0.138606770833333,0.0386067708333333,0.226974826388889,0.0347873263888889,10967,1961,6387,1779,10459,1603,46080
8,0.232942708333333,0.0193142361111111,0.122634548611111,0.02109375,0.221896701388889,0.0161458333333333,10734,890,5651,972,10225,744,46080
9,0.224327256944444,0.00881076388888889,0.105837673611111,0.0124348958333333,0.214474826388889,0.00792100694444444,10337,406,4877,573,9883,365,46080
10,0.225043402777778,0.00258246527777778,0.0949652777777778,0.00679253472222222,0.217621527777778,0.00238715277777778,10370,119,4376,313,10028,110,46080
11,0.227560763888889,0.00123697916666667,0.0940972222222222,0.00481770833333333,0.223502604166667,0.000954861111111111,10486,57,4336,222,10299,44,46080
12,0.219162326388889,8.68055555555556e-05,0.0815321180555556,0.0017578125,0.216059027777778,8.68055555555556e-05,10099,4,3757,81,9956,4,46080
13,0.217122395833333,0,0.0737413194444444,0.00199652777777778,0.211349826388889,0,10005,0,3398,92,9739,0,46080
14,0.213715277777778,0,0.0640842013888889,0.000824652777777778,0.209743923611111,0,9848,0,2953,38,9665,0,46080
