Modulation,EstimationError,SNR_dB,BER,ErrorCount,BitTotal
GCCK-QPSK-4R,\sigma_e^2=-5 dB,0,0.262186686197917,25774,98304
GCCK-QPSK-4R,\sigma_e^2=-5 dB,1,0.225596110026042,22177,98304
GCCK-QPSK-4R,\sigma_e^2=-5 dB,2,0.196034749348958,19271,98304
GCCK-QPSK-4R,\sigma_e^2=-5 dB,3,0.157704671223958,15503,98304
GCCK-QPSK-4R,\sigma_e^2=-5 dB,4,0.129292805989583,12710,98304
GCCK-QPSK-4R,\sigma_e^2=-5 dB,5,0.099609375,9792,98304
GCCK-QPSK-4R,\sigma_e^2=-5 dB,6,0.074432373046875,7317,98304
GCCK-QPSK-4R,\sigma_e^2=-5 dB,7,0.0523274739583333,5144,98304
GCCK-QPSK-4R,\sigma_e^2=-5 dB,8,0.0388081868489583,3815,98304
GCCK-QPSK-4R,\sigma_e^2=-5 dB,9,0.029083251953125,2859,98304
GCCK-QPSK-4R,\sigma_e^2=-5 dB,10,0.0207926432291667,2044,98304
GCCK-QPSK-4R,\sigma_e^2=-10 dB,0,0.239430745442708,23537,98304
GCCK-QPSK-4R,\sigma_e^2=-10 dB,1,0.204071044921875,20061,98304
GCCK-QPSK-4R,\sigma_e^2=-10 dB,2,0.165568033854167,16276,98304
GCCK-QPSK-4R,\sigma_e^2=-10 dB,3,0.127573649088542,12541,98304
GCCK-QPSK-4R,\sigma_e^2=-10 dB,4,0.0971171061197917,9547,98304
GCCK-QPSK-4R,\sigma_e^2=-10 dB,5,0.06695556640625,6582,98304
GCCK-QPSK-4R,\sigma_e^2=-10 dB,6,0.0447184244791667,4396,98304
GCCK-QPSK-4R,\sigma_e^2=-10 dB,7,0.025970458984375,2553,98304
GCCK-QPSK-4R,\sigma_e^2=-10 dB,8,0.0155232747395833,1526,98304
GCCK-QPSK-4R,\sigma_e^2=-10 dB,9,0.009063720703125,891,98304
GCCK-QPSK-4R,\sigma_e^2=-10 dB,10,0.00543212890625,534,98304
GCCK-QPSK-4R,\sigma_e^2=-15 dB,0,0.226511637369792,22267,98304
GCCK-QPSK-4R,\sigma_e^2=-15 dB,1,0.189849853515625,18663,98304
GCCK-QPSK-4R,\sigma_e^2=-15 dB,2,0.144317626953125,14187,98304
GCCK-QPSK-4R,\sigma_e^2=-15 dB,3,0.10614013671875,10434,98304
GCCK-QPSK-4R,\sigma_e^2=-15 dB,4,0.0708109537760417,6961,98304
GCCK-QPSK-4R,\sigma_e^2=-15 dB,5,0.043548583984375,4281,98304
GCCK-QPSK-4R,\sigma_e^2=-15 dB,6,0.0245157877604167,2410,98304
GCCK-QPSK-4R,\sigma_e^2=-15 dB,7,0.0111287434895833,1094,98304
GCCK-QPSK-4R,\sigma_e^2=-15 dB,8,0.00461832682291667,454,98304
GCCK-QPSK-4R,\sigma_e^2=-15 dB,9,0.00157674153645833,155,98304
GCCK-QPSK-4R,\sigma_e^2=-15 dB,10,0.0006103515625,60,98304
GCCK-QPSK-4R,\sigma_e^2=-20 dB,0,0.220835367838542,21709,98304
GCCK-QPSK-4R,\sigma_e^2=-20 dB,1,0.181365966796875,17829,98304
GCCK-QPSK-4R,\sigma_e^2=-20 dB,2,0.138071695963542,13573,98304
GCCK-QPSK-4R,\sigma_e^2=-20 dB,3,0.097686767578125,9603,98304
GCCK-QPSK-4R,\sigma_e^2=-20 dB,4,0.0655721028645833,6446,98304
GCCK-QPSK-4R,\sigma_e^2=-20 dB,5,0.0383097330729167,3766,98304
GCCK-QPSK-4R,\sigma_e^2=-20 dB,6,0.0195821126302083,1925,98304
GCCK-QPSK-4R,\sigma_e^2=-20 dB,7,0.00789388020833333,776,98304
GCCK-QPSK-4R,\sigma_e^2=-20 dB,8,0.00260416666666667,256,98304
GCCK-QPSK-4R,\sigma_e^2=-20 dB,9,0.000823974609375,81,98304
GCCK-QPSK-4R,\sigma_e^2=-20 dB,10,0.0001220703125,12,98304
GCCK-QPSK-4R,CIR已知,0,0.216094970703125,21243,98304
GCCK-QPSK-4R,CIR已知,1,0.179453531901042,17641,98304
GCCK-QPSK-4R,CIR已知,2,0.135711669921875,13341,98304
GCCK-QPSK-4R,CIR已知,3,0.10040283203125,9870,98304
GCCK-QPSK-4R,CIR已知,4,0.0626627604166667,6160,98304
GCCK-QPSK-4R,CIR已知,5,0.0363260904947917,3571,98304
GCCK-QPSK-4R,CIR已知,6,0.0185546875,1824,98304
GCCK-QPSK-4R,CIR已知,7,0.00826009114583333,812,98304
GCCK-QPSK-4R,CIR已知,8,0.002960205078125,291,98304
GCCK-QPSK-4R,CIR已知,9,0.000762939453125,75,98304
GCCK-QPSK-4R,CIR已知,10,6.103515625e-05,6,98304
GCCK-QPSK-8R,\sigma_e^2=-5 dB,0,0.324274698893229,63755,196608
GCCK-QPSK-8R,\sigma_e^2=-5 dB,1,0.296356201171875,58266,196608
GCCK-QPSK-8R,\sigma_e^2=-5 dB,2,0.257924397786458,50710,196608
GCCK-QPSK-8R,\sigma_e^2=-5 dB,3,0.223480224609375,43938,196608
GCCK-QPSK-8R,\sigma_e^2=-5 dB,4,0.192611694335938,37869,196608
GCCK-QPSK-8R,\sigma_e^2=-5 dB,5,0.164326985677083,32308,196608
GCCK-QPSK-8R,\sigma_e^2=-5 dB,6,0.132451375325521,26041,196608
GCCK-QPSK-8R,\sigma_e^2=-5 dB,7,0.111607869466146,21943,196608
GCCK-QPSK-8R,\sigma_e^2=-5 dB,8,0.0917409261067708,18037,196608
GCCK-QPSK-8R,\sigma_e^2=-5 dB,9,0.07720947265625,15180,196608
GCCK-QPSK-8R,\sigma_e^2=-5 dB,10,0.0670878092447917,13190,196608
GCCK-QPSK-8R,\sigma_e^2=-10 dB,0,0.277882893880208,54634,196608
GCCK-QPSK-8R,\sigma_e^2=-10 dB,1,0.23797607421875,46788,196608
GCCK-QPSK-8R,\sigma_e^2=-10 dB,2,0.191563924153646,37663,196608
GCCK-QPSK-8R,\sigma_e^2=-10 dB,3,0.143742879231771,28261,196608
GCCK-QPSK-8R,\sigma_e^2=-10 dB,4,0.0985158284505208,19369,196608
GCCK-QPSK-8R,\sigma_e^2=-10 dB,5,0.0660247802734375,12981,196608
GCCK-QPSK-8R,\sigma_e^2=-10 dB,6,0.0384572347005208,7561,196608
GCCK-QPSK-8R,\sigma_e^2=-10 dB,7,0.0223846435546875,4401,196608
GCCK-QPSK-8R,\sigma_e^2=-10 dB,8,0.0124359130859375,2445,196608
GCCK-QPSK-8R,\sigma_e^2=-10 dB,9,0.006591796875,1296,196608
GCCK-QPSK-8R,\sigma_e^2=-10 dB,10,0.0032958984375,648,196608
GCCK-QPSK-8R,\sigma_e^2=-15 dB,0,0.256174723307292,50366,196608
GCCK-QPSK-8R,\sigma_e^2=-15 dB,1,0.203033447265625,39918,196608
GCCK-QPSK-8R,\sigma_e^2=-15 dB,2,0.151250203450521,29737,196608
GCCK-QPSK-8R,\sigma_e^2=-15 dB,3,0.1016845703125,19992,196608
GCCK-QPSK-8R,\sigma_e^2=-15 dB,4,0.0554097493489583,10894,196608
GCCK-QPSK-8R,\sigma_e^2=-15 dB,5,0.0280354817708333,5512,196608
GCCK-QPSK-8R,\sigma_e^2=-15 dB,6,0.0118052164713542,2321,196608
GCCK-QPSK-8R,\sigma_e^2=-15 dB,7,0.00421142578125,828,196608
GCCK-QPSK-8R,\sigma_e^2=-15 dB,8,0.00136820475260417,269,196608
GCCK-QPSK-8R,\sigma_e^2=-15 dB,9,0.000579833984375,114,196608
GCCK-QPSK-8R,\sigma_e^2=-15 dB,10,9.66389973958333e-05,19,196608
GCCK-QPSK-8R,\sigma_e^2=-20 dB,0,0.249099731445312,48975,196608
GCCK-QPSK-8R,\sigma_e^2=-20 dB,1,0.196767171223958,38686,196608
GCCK-QPSK-8R,\sigma_e^2=-20 dB,2,0.145284016927083,28564,196608
GCCK-QPSK-8R,\sigma_e^2=-20 dB,3,0.0906931559244792,17831,196608
GCCK-QPSK-8R,\sigma_e^2=-20 dB,4,0.0496317545572917,9758,196608
GCCK-QPSK-8R,\sigma_e^2=-20 dB,5,0.0214182535807292,4211,196608
GCCK-QPSK-8R,\sigma_e^2=-20 dB,6,0.00919087727864583,1807,196608
GCCK-QPSK-8R,\sigma_e^2=-20 dB,7,0.0026702880859375,525,196608
GCCK-QPSK-8R,\sigma_e^2=-20 dB,8,0.000691731770833333,136,196608
GCCK-QPSK-8R,\sigma_e^2=-20 dB,9,2.03450520833333e-05,4,196608
GCCK-QPSK-8R,\sigma_e^2=-20 dB,10,6.61214192708333e-05,13,196608
GCCK-QPSK-8R,CIR已知,0,0.248204549153646,48799,196608
GCCK-QPSK-8R,CIR已知,1,0.190561930338542,37466,196608
GCCK-QPSK-8R,CIR已知,2,0.137262980143229,26987,196608
GCCK-QPSK-8R,CIR已知,3,0.0857289632161458,16855,196608
GCCK-QPSK-8R,CIR已知,4,0.04412841796875,8676,196608
GCCK-QPSK-8R,CIR已知,5,0.0196431477864583,3862,196608
GCCK-QPSK-8R,CIR已知,6,0.00646464029947917,1271,196608
GCCK-QPSK-8R,CIR已知,7,0.00197347005208333,388,196608
GCCK-QPSK-8R,CIR已知,8,0.000640869140625,126,196608
GCCK-QPSK-8R,CIR已知,9,0.000127156575520833,25,196608
GCCK-QPSK-8R,CIR已知,10,0,0,196608
GCCK-8PSK-12R,\sigma_e^2=-5 dB,0,0.367223668981481,30459,82944
GCCK-8PSK-12R,\sigma_e^2=-5 dB,1,0.349561149691358,28994,82944
GCCK-8PSK-12R,\sigma_e^2=-5 dB,2,0.328450520833333,27243,82944
GCCK-8PSK-12R,\sigma_e^2=-5 dB,3,0.310510706018519,25755,82944
GCCK-8PSK-12R,\sigma_e^2=-5 dB,4,0.291304976851852,24162,82944
GCCK-8PSK-12R,\sigma_e^2=-5 dB,5,0.275981385030864,22891,82944
GCCK-8PSK-12R,\sigma_e^2=-5 dB,6,0.259633005401235,21535,82944
GCCK-8PSK-12R,\sigma_e^2=-5 dB,7,0.242934992283951,20150,82944
GCCK-8PSK-12R,\sigma_e^2=-5 dB,8,0.233772183641975,19390,82944
GCCK-8PSK-12R,\sigma_e^2=-5 dB,9,0.222921489197531,18490,82944
GCCK-8PSK-12R,\sigma_e^2=-5 dB,10,0.208695023148148,17310,82944
GCCK-8PSK-12R,\sigma_e^2=-5 dB,11,0.203800154320988,16904,82944
GCCK-8PSK-12R,\sigma_e^2=-5 dB,12,0.199556327160494,16552,82944
GCCK-8PSK-12R,\sigma_e^2=-5 dB,13,0.196650752314815,16311,82944
GCCK-8PSK-12R,\sigma_e^2=-5 dB,14,0.18604118441358,15431,82944
GCCK-8PSK-12R,\sigma_e^2=-5 dB,15,0.183690200617284,15236,82944
GCCK-8PSK-12R,\sigma_e^2=-5 dB,16,0.176540798611111,14643,82944
