Modulation,ChannelScenario,SNR_dB,BER,ErrorCount,BitTotal
GCCK-QPSK-4R,静止信道,0,0.06182861328125,2026,32768
GCCK-QPSK-4R,静止信道,2,0.017730712890625,581,32768
GCCK-QPSK-4R,静止信道,4,0.002197265625,72,32768
GCCK-QPSK-4R,静止信道,6,0.000274658203125,9,32768
GCCK-QPSK-4R,静止信道,8,0,0,32768
GCCK-QPSK-4R,静止信道,10,0,0,32768
GCCK-QPSK-4R,静止信道,12,0,0,32768
GCCK-QPSK-4R,静止信道,14,0,0,32768
GCCK-QPSK-4R,静止信道,16,0,0,32768
GCCK-QPSK-4R,静止信道,18,0,0,32768
GCCK-QPSK-4R,准静止衰落信道,0,0.090850830078125,2977,32768
GCCK-QPSK-4R,准静止衰落信道,2,0.038055419921875,1247,32768
GCCK-QPSK-4R,准静止衰落信道,4,0.00787353515625,258,32768
GCCK-QPSK-4R,准静止衰落信道,6,0.0013427734375,44,32768
GCCK-QPSK-4R,准静止衰落信道,8,0,0,32768
GCCK-QPSK-4R,准静止衰落信道,10,6.103515625e-05,2,32768
GCCK-QPSK-4R,准静止衰落信道,12,0,0,32768
GCCK-QPSK-4R,准静止衰落信道,14,0,0,32768
GCCK-QPSK-4R,准静止衰落信道,16,0,0,32768
GCCK-QPSK-4R,准静止衰落信道,18,0,0,32768
GCCK-QPSK-8R,静止信道,0,0.0476481119791667,2342,49152
GCCK-QPSK-8R,静止信道,2,0.00738525390625,363,49152
GCCK-QPSK-8R,静止信道,4,0.0008544921875,42,49152
GCCK-QPSK-8R,静止信道,6,0,0,49152
GCCK-QPSK-8R,静止信道,8,0,0,49152
GCCK-QPSK-8R,静止信道,10,0,0,49152
GCCK-QPSK-8R,静止信道,12,0,0,49152
GCCK-QPSK-8R,静止信道,14,0,0,49152
GCCK-QPSK-8R,静止信道,16,0,0,49152
GCCK-QPSK-8R,静止信道,18,0,0,49152
GCCK-QPSK-8R,准静止衰落信道,0,0.0526326497395833,2587,49152
GCCK-QPSK-8R,准静止衰落信道,2,0.0136311848958333,670,49152
GCCK-QPSK-8R,准静止衰落信道,4,0.00132242838541667,65,49152
GCCK-QPSK-8R,准静止衰落信道,6,0.00030517578125,15,49152
GCCK-QPSK-8R,准静止衰落信道,8,0,0,49152
GCCK-QPSK-8R,准静止衰落信道,10,0,0,49152
GCCK-QPSK-8R,准静止衰落信道,12,0,0,49152
GCCK-QPSK-8R,准静止衰落信道,14,0,0,49152
GCCK-QPSK-8R,准静止衰落信道,16,0,0,49152
GCCK-QPSK-8R,准静止衰落信道,18,0,0,49152
GCCK-8PSK-12R,静止信道,0,0.151832217261905,3265,21504
GCCK-8PSK-12R,静止信道,2,0.0744512648809524,1601,21504
GCCK-8PSK-12R,静止信道,4,0.0270182291666667,581,21504
GCCK-8PSK-12R,静止信道,6,0.00841703869047619,181,21504
GCCK-8PSK-12R,静止信道,8,0.00279017857142857,60,21504
GCCK-8PSK-12R,静止信道,10,0.000883556547619048,19,21504
GCCK-8PSK-12R,静止信道,12,0.000465029761904762,10,21504
GCCK-8PSK-12R,静止信道,14,0.000186011904761905,4,21504
GCCK-8PSK-12R,静止信道,16,0,0,21504
GCCK-8PSK-12R,静止信道,18,0,0,21504
GCCK-8PSK-12R,准静止衰落信道,0,0.171177455357143,3681,21504
GCCK-8PSK-12R,准静止衰落信道,2,0.105701264880952,2273,21504
GCCK-8PSK-12R,准静止衰落信道,4,0.0633370535714286,1362,21504
GCCK-8PSK-12R,准静止衰落信道,6,0.0356677827380952,767,21504
GCCK-8PSK-12R,准静止衰落信道,8,0.0198102678571429,426,21504
GCCK-8PSK-12R,准静止衰落信道,10,0.0122302827380952,263,21504
GCCK-8PSK-12R,准静止衰落信道,12,0.00911458333333333,196,21504
GCCK-8PSK-12R,准静止衰落信道,14,0.0056733630952381,122,21504
GCCK-8PSK-12R,准静止衰落信道,16,0.005859375,126,21504
GCCK-8PSK-12R,准静止衰落信道,18,0.00465029761904762,100,21504
