Modulation,ChannelCorrelation,SNR_dB,BER,ErrorCount,BitTotal
GCCK-QPSK-4R,时不变信道,0,0.068359375,875,12800
GCCK-QPSK-4R,时不变信道,1,0.0334375,428,12800
GCCK-QPSK-4R,时不变信道,2,0.01734375,222,12800
GCCK-QPSK-4R,时不变信道,3,0.00671875,86,12800
GCCK-QPSK-4R,时不变信道,4,0.0021875,28,12800
GCCK-QPSK-4R,时不变信道,5,0.000234375,3,12800
GCCK-QPSK-4R,时不变信道,6,0,0,12800
GCCK-QPSK-4R,时不变信道,7,0,0,12800
GCCK-QPSK-4R,时不变信道,8,0,0,12800
GCCK-QPSK-4R,时不变信道,9,0,0,12800
GCCK-QPSK-4R,时不变信道,10,0,0,12800
GCCK-QPSK-4R,时不变信道,11,0,0,12800
GCCK-QPSK-4R,时不变信道,12,0,0,12800
GCCK-QPSK-4R,时不变信道,13,0,0,12800
GCCK-QPSK-4R,时不变信道,14,0,0,12800
GCCK-QPSK-4R,时不变信道,15,0,0,12800
GCCK-QPSK-4R,时不变信道,16,0,0,12800
GCCK-QPSK-4R,时不变信道,17,0,0,12800
GCCK-QPSK-4R,时不变信道,18,0,0,12800
GCCK-QPSK-4R,时不变信道,19,0,0,12800
GCCK-QPSK-4R,时不变信道,20,0,0,12800
GCCK-QPSK-4R,\alpha=0.9999,0,0.076015625,973,12800
GCCK-QPSK-4R,\alpha=0.9999,1,0.043671875,559,12800
GCCK-QPSK-4R,\alpha=0.9999,2,0.02453125,314,12800
GCCK-QPSK-4R,\alpha=0.9999,3,0.011171875,143,12800
GCCK-QPSK-4R,\alpha=0.9999,4,0.003515625,45,12800
GCCK-QPSK-4R,\alpha=0.9999,5,0.001015625,13,12800
GCCK-QPSK-4R,\alpha=0.9999,6,0.00046875,6,12800
GCCK-QPSK-4R,\alpha=0.9999,7,0,0,12800
GCCK-QPSK-4R,\alpha=0.9999,8,0,0,12800
GCCK-QPSK-4R,\alpha=0.9999,9,0,0,12800
GCCK-QPSK-4R,\alpha=0.9999,10,0,0,12800
GCCK-QPSK-4R,\alpha=0.9999,11,0,0,12800
GCCK-QPSK-4R,\alpha=0.9999,12,0,0,12800
GCCK-QPSK-4R,\alpha=0.9999,13,0,0,12800
GCCK-QPSK-4R,\alpha=0.9999,14,0,0,12800
GCCK-QPSK-4R,\alpha=0.9999,15,0,0,12800
