CodewordLength,LagChip,NormalizedAutocorrelationMagnitude
8,-7,0.125
8,-6,0
8,-5,0.125
8,-4,0
8,-3,0.375
8,-2,0
8,-1,0.125
8,0,1
8,1,0.125
8,2,0
8,3,0.375
8,4,0
8,5,0.125
8,6,0
8,7,0.125
16,-15,0.0625
16,-14,0
16,-13,0.0625
16,-12,0
16,-11,0.3125
16,-10,0
16,-9,0.1875
16,-8,2.77555756156289e-17
16,-7,0.0625
16,-6,0
16,-5,0.0625
16,-4,0
16,-3,0.0625
16,-2,0
16,-1,0.0625
16,0,1
16,1,0.0625
16,2,0
16,3,0.0625
16,4,0
16,5,0.0625
16,6,0
16,7,0.0625
16,8,2.77555756156289e-17
16,9,0.1875
16,10,0
16,11,0.3125
16,12,0
16,13,0.0625
16,14,0
16,15,0.0625
32,-31,0.03125
32,-30,0
32,-29,0.03125
32,-28,0
32,-27,0.15625
32,-26,0
32,-25,0.09375
32,-24,2.77555756156289e-17
32,-23,0.03125
32,-22,0
32,-21,0.03125
32,-20,0
32,-19,0.15625
32,-18,0
32,-17,0.09375
32,-16,1.38777878078145e-17
32,-15,0.03125
32,-14,0
32,-13,0.21875
32,-12,0
32,-11,0.09375
32,-10,0
32,-9,0.09375
32,-8,1.38777878078145e-17
32,-7,0.09375
32,-6,0
32,-5,0.15625
32,-4,0
32,-3,0.03125
32,-2,0
32,-1,0.03125
32,0,1
32,1,0.03125
32,2,0
32,3,0.03125
32,4,0
32,5,0.15625
32,6,0
32,7,0.09375
32,8,1.38777878078145e-17
32,9,0.09375
32,10,0
32,11,0.09375
32,12,0
32,13,0.21875
32,14,0
32,15,0.03125
32,16,1.38777878078145e-17
32,17,0.09375
32,18,0
32,19,0.15625
32,20,0
32,21,0.03125
32,22,0
32,23,0.03125
32,24,2.77555756156289e-17
32,25,0.09375
32,26,0
32,27,0.15625
32,28,0
32,29,0.03125
32,30,0
32,31,0.03125
