CodewordLength,EbN0_dB,BER,DisplayBER,ErrorCount,BitTotal,WordTotal
8,0,0.222442626953125,0.222442626953125,7289,32768,4096
8,2,0.118865966796875,0.118865966796875,3895,32768,4096
8,4,0.03912353515625,0.03912353515625,1282,32768,4096
8,6,0.004638671875,0.004638671875,152,32768,4096
8,8,0.0001484375,0.0001484375,19,128000,16000
8,10,0,3.90625e-06,0,128000,16000
16,0,0.149017333984375,0.149017333984375,4883,32768,4096
16,2,0.05255126953125,0.05255126953125,1722,32768,4096
16,4,0.008056640625,0.008056640625,264,32768,4096
16,6,0.000637915826612903,0.000637915826612903,81,126976,15872
16,8,5.46875e-05,5.46875e-05,7,128000,16000
16,10,0,3.90625e-06,0,128000,16000
32,0,0.11968994140625,0.11968994140625,3922,32768,4096
32,2,0.034912109375,0.034912109375,1144,32768,4096
32,4,0.006103515625,0.006103515625,200,32768,4096
32,6,0.000609375,0.000609375,78,128000,16000
32,8,0,3.90625e-06,0,128000,16000
32,10,0,3.90625e-06,0,128000,16000
