Method,SNR_dB,BER,DisplayBER,ErrorCount,BitTotal
CCK-Rake,-5,0.441243489583333,0.441243489583333,5422,12288
CCK-Rake,-4,0.420654296875,0.420654296875,5169,12288
CCK-Rake,-3,0.413004557291667,0.413004557291667,5075,12288
CCK-Rake,-2,0.378743489583333,0.378743489583333,4654,12288
CCK-Rake,-1,0.355712890625,0.355712890625,4371,12288
CCK-Rake,0,0.330729166666667,0.330729166666667,4064,12288
CCK-Rake,1,0.289225260416667,0.289225260416667,3554,12288
CCK-Rake,2,0.254069010416667,0.254069010416667,3122,12288
CCK-Rake,3,0.203694661458333,0.203694661458333,2503,12288
CCK-Rake,4,0.17626953125,0.17626953125,2166,12288
CCK-Rake,5,0.135172526041667,0.135172526041667,1661,12288
CCK-Rake,6,0.109293619791667,0.109293619791667,1343,12288
CCK-Rake,7,0.0830891927083333,0.0830891927083333,1021,12288
CCK-Rake,8,0.0672200520833333,0.0672200520833333,826,12288
CCK-Rake,9,0.0464680989583333,0.0464680989583333,571,12288
CCK-Rake,10,0.0354817708333333,0.0354817708333333,436,12288
TE-CCK-无迭代,-5,0.391845703125,0.391845703125,4815,12288
TE-CCK-无迭代,-4,0.379231770833333,0.379231770833333,4660,12288
TE-CCK-无迭代,-3,0.363688151041667,0.363688151041667,4469,12288
TE-CCK-无迭代,-2,0.330322265625,0.330322265625,4059,12288
TE-CCK-无迭代,-1,0.302652994791667,0.302652994791667,3719,12288
TE-CCK-无迭代,0,0.268717447916667,0.268717447916667,3302,12288
TE-CCK-无迭代,1,0.24267578125,0.24267578125,2982,12288
TE-CCK-无迭代,2,0.194986979166667,0.194986979166667,2396,12288
TE-CCK-无迭代,3,0.160237630208333,0.160237630208333,1969,12288
TE-CCK-无迭代,4,0.11083984375,0.11083984375,1362,12288
TE-CCK-无迭代,5,0.079833984375,0.079833984375,981,12288
TE-CCK-无迭代,6,0.0491536458333333,0.0491536458333333,604,12288
TE-CCK-无迭代,7,0.0244140625,0.0244140625,300,12288
TE-CCK-无迭代,8,0.0127766927083333,0.0127766927083333,157,12288
TE-CCK-无迭代,9,0.00520833333333333,0.00520833333333333,64,12288
TE-CCK-无迭代,10,0.0029296875,0.0029296875,36,12288
TE-CCK-1次迭代,-5,0.3857421875,0.3857421875,4740,12288
TE-CCK-1次迭代,-4,0.369466145833333,0.369466145833333,4540,12288
TE-CCK-1次迭代,-3,0.350992838541667,0.350992838541667,4313,12288
TE-CCK-1次迭代,-2,0.309407552083333,0.309407552083333,3802,12288
TE-CCK-1次迭代,-1,0.273356119791667,0.273356119791667,3359,12288
TE-CCK-1次迭代,0,0.22705078125,0.22705078125,2790,12288
