Method,SNR_dB,BER,DisplayBER,ErrorCount,BitTotal
CCK-Rake,-5,0.48046875,0.48046875,246,512
CCK-Rake,-4,0.4375,0.4375,224,512
CCK-Rake,-3,0.400390625,0.400390625,205,512
CCK-Rake,-2,0.396484375,0.396484375,203,512
CCK-Rake,-1,0.43359375,0.43359375,222,512
CCK-Rake,0,0.30078125,0.30078125,154,512
CCK-Rake,1,0.33203125,0.33203125,170,512
CCK-Rake,2,0.2890625,0.2890625,148,512
CCK-Rake,3,0.234375,0.234375,120,512
CCK-Rake,4,0.1640625,0.1640625,84,512
CCK-Rake,5,0.150390625,0.150390625,77,512
CCK-Rake,6,0.12109375,0.12109375,62,512
CCK-Rake,7,0.119140625,0.119140625,61,512
CCK-Rake,8,0.091796875,0.091796875,47,512
CCK-Rake,9,0.048828125,0.048828125,25,512
CCK-Rake,10,0.03125,0.03125,16,512
TE-CCK-0 iterations,-5,0.384765625,0.384765625,197,512
TE-CCK-0 iterations,-4,0.357421875,0.357421875,183,512
TE-CCK-0 iterations,-3,0.33984375,0.33984375,174,512
TE-CCK-0 iterations,-2,0.34765625,0.34765625,178,512
TE-CCK-0 iterations,-1,0.369140625,0.369140625,189,512
TE-CCK-0 iterations,0,0.265625,0.265625,136,512
TE-CCK-0 iterations,1,0.228515625,0.228515625,117,512
TE-CCK-0 iterations,2,0.25,0.25,128,512
TE-CCK-0 iterations,3,0.193359375,0.193359375,99,512
TE-CCK-0 iterations,4,0.125,0.125,64,512
TE-CCK-0 iterations,5,0.05078125,0.05078125,26,512
TE-CCK-0 iterations,6,0.05859375,0.05859375,30,512
TE-CCK-0 iterations,7,0.041015625,0.041015625,21,512
TE-CCK-0 iterations,8,0.013671875,0.013671875,7,512
TE-CCK-0 iterations,9,0.013671875,0.013671875,7,512
TE-CCK-0 iterations,10,0.0078125,0.0078125,4,512
TE-CCK-1 iteration,-5,0.3828125,0.3828125,196,512
TE-CCK-1 iteration,-4,0.375,0.375,192,512
TE-CCK-1 iteration,-3,0.3125,0.3125,160,512
TE-CCK-1 iteration,-2,0.32421875,0.32421875,166,512
TE-CCK-1 iteration,-1,0.326171875,0.326171875,167,512
TE-CCK-1 iteration,0,0.232421875,0.232421875,119,512
TE-CCK-1 iteration,1,0.201171875,0.201171875,103,512
TE-CCK-1 iteration,2,0.197265625,0.197265625,101,512
TE-CCK-1 iteration,3,0.087890625,0.087890625,45,512
TE-CCK-1 iteration,4,0.046875,0.046875,24,512
TE-CCK-1 iteration,5,0.021484375,0.021484375,11,512
TE-CCK-1 iteration,6,0.03125,0.03125,16,512
