Method,SNR_dB,BER,DisplayBER,ErrorCount,BitTotal
CCK-Rake,-5,0.441145833333333,0.441145833333333,847,1920
CCK-Rake,-4,0.421875,0.421875,810,1920
CCK-Rake,-3,0.396354166666667,0.396354166666667,761,1920
CCK-Rake,-2,0.36875,0.36875,708,1920
CCK-Rake,-1,0.375520833333333,0.375520833333333,721,1920
CCK-Rake,0,0.327083333333333,0.327083333333333,628,1920
CCK-Rake,1,0.3109375,0.3109375,597,1920
CCK-Rake,2,0.261458333333333,0.261458333333333,502,1920
CCK-Rake,3,0.196875,0.196875,378,1920
CCK-Rake,4,0.16875,0.16875,324,1920
CCK-Rake,5,0.163020833333333,0.163020833333333,313,1920
CCK-Rake,6,0.0947916666666667,0.0947916666666667,182,1920
CCK-Rake,7,0.08125,0.08125,156,1920
CCK-Rake,8,0.0791666666666667,0.0791666666666667,152,1920
CCK-Rake,9,0.0416666666666667,0.0416666666666667,80,1920
CCK-Rake,10,0.0354166666666667,0.0354166666666667,68,1920
TE-CCK-0 iterations,-5,0.413020833333333,0.413020833333333,793,1920
TE-CCK-0 iterations,-4,0.4125,0.4125,792,1920
TE-CCK-0 iterations,-3,0.394270833333333,0.394270833333333,757,1920
TE-CCK-0 iterations,-2,0.334375,0.334375,642,1920
TE-CCK-0 iterations,-1,0.309895833333333,0.309895833333333,595,1920
TE-CCK-0 iterations,0,0.280729166666667,0.280729166666667,539,1920
TE-CCK-0 iterations,1,0.246354166666667,0.246354166666667,473,1920
TE-CCK-0 iterations,2,0.192708333333333,0.192708333333333,370,1920
TE-CCK-0 iterations,3,0.131770833333333,0.131770833333333,253,1920
TE-CCK-0 iterations,4,0.1265625,0.1265625,243,1920
TE-CCK-0 iterations,5,0.096875,0.096875,186,1920
TE-CCK-0 iterations,6,0.059375,0.059375,114,1920
TE-CCK-0 iterations,7,0.0260416666666667,0.0260416666666667,50,1920
TE-CCK-0 iterations,8,0.0177083333333333,0.0177083333333333,34,1920
TE-CCK-0 iterations,9,0.0114583333333333,0.0114583333333333,22,1920
TE-CCK-0 iterations,10,0.00572916666666667,0.00572916666666667,11,1920
TE-CCK-1 iteration,-5,0.3953125,0.3953125,759,1920
TE-CCK-1 iteration,-4,0.394791666666667,0.394791666666667,758,1920
TE-CCK-1 iteration,-3,0.374479166666667,0.374479166666667,719,1920
TE-CCK-1 iteration,-2,0.304166666666667,0.304166666666667,584,1920
TE-CCK-1 iteration,-1,0.273958333333333,0.273958333333333,526,1920
TE-CCK-1 iteration,0,0.2359375,0.2359375,453,1920
TE-CCK-1 iteration,1,0.2046875,0.2046875,393,1920
TE-CCK-1 iteration,2,0.140625,0.140625,270,1920
TE-CCK-1 iteration,3,0.0666666666666667,0.0666666666666667,128,1920
TE-CCK-1 iteration,4,0.0557291666666667,0.0557291666666667,107,1920
TE-CCK-1 iteration,5,0.0317708333333333,0.0317708333333333,61,1920
TE-CCK-1 iteration,6,0.0171875,0.0171875,33,1920
TE-CCK-1 iteration,7,0.00520833333333333,0.00520833333333333,10,1920
TE-CCK-1 iteration,8,0.0015625,0.0015625,3,1920
TE-CCK-1 iteration,9,0,NaN,0,1920
TE-CCK-1 iteration,10,0.00104166666666667,0.00104166666666667,2,1920
TE-CCK-2 iterations,-5,0.393229166666667,0.393229166666667,755,1920
TE-CCK-2 iterations,-4,0.386458333333333,0.386458333333333,742,1920
TE-CCK-2 iterations,-3,0.371354166666667,0.371354166666667,713,1920
TE-CCK-2 iterations,-2,0.299479166666667,0.299479166666667,575,1920
TE-CCK-2 iterations,-1,0.2734375,0.2734375,525,1920
TE-CCK-2 iterations,0,0.220833333333333,0.220833333333333,424,1920
TE-CCK-2 iterations,1,0.184895833333333,0.184895833333333,355,1920
TE-CCK-2 iterations,2,0.1234375,0.1234375,237,1920
TE-CCK-2 iterations,3,0.0510416666666667,0.0510416666666667,98,1920
TE-CCK-2 iterations,4,0.0328125,0.0328125,63,1920
TE-CCK-2 iterations,5,0.0182291666666667,0.0182291666666667,35,1920
TE-CCK-2 iterations,6,0.003125,0.003125,6,1920
TE-CCK-2 iterations,7,0.00104166666666667,0.00104166666666667,2,1920
TE-CCK-2 iterations,8,0,NaN,0,1920
TE-CCK-2 iterations,9,0,NaN,0,1920
TE-CCK-2 iterations,10,0.000520833333333333,0.000520833333333333,1,1920
TE-CCK-3 iterations,-5,0.393229166666667,0.393229166666667,755,1920
TE-CCK-3 iterations,-4,0.3828125,0.3828125,735,1920
TE-CCK-3 iterations,-3,0.367708333333333,0.367708333333333,706,1920
TE-CCK-3 iterations,-2,0.294270833333333,0.294270833333333,565,1920
TE-CCK-3 iterations,-1,0.268229166666667,0.268229166666667,515,1920
TE-CCK-3 iterations,0,0.216145833333333,0.216145833333333,415,1920
TE-CCK-3 iterations,1,0.1828125,0.1828125,351,1920
TE-CCK-3 iterations,2,0.110416666666667,0.110416666666667,212,1920
TE-CCK-3 iterations,3,0.0427083333333333,0.0427083333333333,82,1920
TE-CCK-3 iterations,4,0.025,0.025,48,1920
TE-CCK-3 iterations,5,0.0125,0.0125,24,1920
TE-CCK-3 iterations,6,0.00104166666666667,0.00104166666666667,2,1920
TE-CCK-3 iterations,7,0.000520833333333333,0.000520833333333333,1,1920
TE-CCK-3 iterations,8,0,NaN,0,1920
TE-CCK-3 iterations,9,0,NaN,0,1920
TE-CCK-3 iterations,10,0.000520833333333333,0.000520833333333333,1,1920
TE-CCK-4 iterations,-5,0.392708333333333,0.392708333333333,754,1920
TE-CCK-4 iterations,-4,0.385416666666667,0.385416666666667,740,1920
TE-CCK-4 iterations,-3,0.371875,0.371875,714,1920
TE-CCK-4 iterations,-2,0.291666666666667,0.291666666666667,560,1920
TE-CCK-4 iterations,-1,0.271875,0.271875,522,1920
TE-CCK-4 iterations,0,0.2125,0.2125,408,1920
TE-CCK-4 iterations,1,0.181770833333333,0.181770833333333,349,1920
TE-CCK-4 iterations,2,0.102604166666667,0.102604166666667,197,1920
TE-CCK-4 iterations,3,0.0369791666666667,0.0369791666666667,71,1920
TE-CCK-4 iterations,4,0.0208333333333333,0.0208333333333333,40,1920
TE-CCK-4 iterations,5,0.0119791666666667,0.0119791666666667,23,1920
TE-CCK-4 iterations,6,0.000520833333333333,0.000520833333333333,1,1920
TE-CCK-4 iterations,7,0.000520833333333333,0.000520833333333333,1,1920
TE-CCK-4 iterations,8,0,NaN,0,1920
TE-CCK-4 iterations,9,0,NaN,0,1920
TE-CCK-4 iterations,10,0,NaN,0,1920
DSSS-2,-5,0.300260416666667,0.300260416666667,1153,3840
DSSS-2,-4,0.288802083333333,0.288802083333333,1109,3840
DSSS-2,-3,0.259375,0.259375,996,3840
DSSS-2,-2,0.24453125,0.24453125,939,3840
DSSS-2,-1,0.219010416666667,0.219010416666667,841,3840
DSSS-2,0,0.21640625,0.21640625,831,3840
DSSS-2,1,0.190625,0.190625,732,3840
DSSS-2,2,0.171354166666667,0.171354166666667,658,3840
DSSS-2,3,0.178385416666667,0.178385416666667,685,3840
DSSS-2,4,0.165885416666667,0.165885416666667,637,3840
