Method,SNR_dB,BER,DisplayBER,ErrorCount,BitTotal
CCK-Rake,-5,0.447395833333333,0.447395833333333,859,1920
CCK-Rake,-4,0.4421875,0.4421875,849,1920
CCK-Rake,-3,0.4359375,0.4359375,837,1920
CCK-Rake,-2,0.388541666666667,0.388541666666667,746,1920
CCK-Rake,-1,0.3609375,0.3609375,693,1920
CCK-Rake,0,0.344270833333333,0.344270833333333,661,1920
CCK-Rake,1,0.318229166666667,0.318229166666667,611,1920
CCK-Rake,2,0.258333333333333,0.258333333333333,496,1920
CCK-Rake,3,0.208854166666667,0.208854166666667,401,1920
CCK-Rake,4,0.2015625,0.2015625,387,1920
CCK-Rake,5,0.155208333333333,0.155208333333333,298,1920
CCK-Rake,6,0.128125,0.128125,246,1920
CCK-Rake,7,0.0953125,0.0953125,183,1920
CCK-Rake,8,0.0739583333333333,0.0739583333333333,142,1920
CCK-Rake,9,0.0479166666666667,0.0479166666666667,92,1920
CCK-Rake,10,0.040625,0.040625,78,1920
TE-CCK-0 iterations,-5,0.421354166666667,0.421354166666667,809,1920
TE-CCK-0 iterations,-4,0.403645833333333,0.403645833333333,775,1920
TE-CCK-0 iterations,-3,0.402604166666667,0.402604166666667,773,1920
TE-CCK-0 iterations,-2,0.352604166666667,0.352604166666667,677,1920
TE-CCK-0 iterations,-1,0.305208333333333,0.305208333333333,586,1920
TE-CCK-0 iterations,0,0.286979166666667,0.286979166666667,551,1920
TE-CCK-0 iterations,1,0.2390625,0.2390625,459,1920
TE-CCK-0 iterations,2,0.230729166666667,0.230729166666667,443,1920
TE-CCK-0 iterations,3,0.152604166666667,0.152604166666667,293,1920
TE-CCK-0 iterations,4,0.138020833333333,0.138020833333333,265,1920
TE-CCK-0 iterations,5,0.0989583333333333,0.0989583333333333,190,1920
TE-CCK-0 iterations,6,0.0755208333333333,0.0755208333333333,145,1920
TE-CCK-0 iterations,7,0.0520833333333333,0.0520833333333333,100,1920
TE-CCK-0 iterations,8,0.0125,0.0125,24,1920
TE-CCK-0 iterations,9,0.0109375,0.0109375,21,1920
TE-CCK-0 iterations,10,0.00416666666666667,0.00416666666666667,8,1920
TE-CCK-1 iteration,-5,0.422395833333333,0.422395833333333,811,1920
TE-CCK-1 iteration,-4,0.3984375,0.3984375,765,1920
TE-CCK-1 iteration,-3,0.385416666666667,0.385416666666667,740,1920
TE-CCK-1 iteration,-2,0.323958333333333,0.323958333333333,622,1920
TE-CCK-1 iteration,-1,0.274479166666667,0.274479166666667,527,1920
TE-CCK-1 iteration,0,0.241666666666667,0.241666666666667,464,1920
TE-CCK-1 iteration,1,0.20625,0.20625,396,1920
TE-CCK-1 iteration,2,0.169791666666667,0.169791666666667,326,1920
TE-CCK-1 iteration,3,0.0932291666666667,0.0932291666666667,179,1920
TE-CCK-1 iteration,4,0.078125,0.078125,150,1920
TE-CCK-1 iteration,5,0.04375,0.04375,84,1920
TE-CCK-1 iteration,6,0.0234375,0.0234375,45,1920
TE-CCK-1 iteration,7,0.0130208333333333,0.0130208333333333,25,1920
TE-CCK-1 iteration,8,0.00208333333333333,0.00208333333333333,4,1920
TE-CCK-1 iteration,9,0.000520833333333333,0.000520833333333333,1,1920
TE-CCK-1 iteration,10,0,NaN,0,1920
TE-CCK-2 iterations,-5,0.421875,0.421875,810,1920
TE-CCK-2 iterations,-4,0.403645833333333,0.403645833333333,775,1920
TE-CCK-2 iterations,-3,0.379166666666667,0.379166666666667,728,1920
TE-CCK-2 iterations,-2,0.3265625,0.3265625,627,1920
TE-CCK-2 iterations,-1,0.265104166666667,0.265104166666667,509,1920
TE-CCK-2 iterations,0,0.233333333333333,0.233333333333333,448,1920
TE-CCK-2 iterations,1,0.190104166666667,0.190104166666667,365,1920
TE-CCK-2 iterations,2,0.147395833333333,0.147395833333333,283,1920
TE-CCK-2 iterations,3,0.0697916666666667,0.0697916666666667,134,1920
TE-CCK-2 iterations,4,0.0557291666666667,0.0557291666666667,107,1920
TE-CCK-2 iterations,5,0.0255208333333333,0.0255208333333333,49,1920
TE-CCK-2 iterations,6,0.009375,0.009375,18,1920
TE-CCK-2 iterations,7,0.003125,0.003125,6,1920
TE-CCK-2 iterations,8,0,NaN,0,1920
TE-CCK-2 iterations,9,0,NaN,0,1920
TE-CCK-2 iterations,10,0,NaN,0,1920
TE-CCK-3 iterations,-5,0.422395833333333,0.422395833333333,811,1920
TE-CCK-3 iterations,-4,0.3984375,0.3984375,765,1920
TE-CCK-3 iterations,-3,0.384895833333333,0.384895833333333,739,1920
TE-CCK-3 iterations,-2,0.323958333333333,0.323958333333333,622,1920
TE-CCK-3 iterations,-1,0.259895833333333,0.259895833333333,499,1920
TE-CCK-3 iterations,0,0.223958333333333,0.223958333333333,430,1920
TE-CCK-3 iterations,1,0.177083333333333,0.177083333333333,340,1920
TE-CCK-3 iterations,2,0.1359375,0.1359375,261,1920
TE-CCK-3 iterations,3,0.0609375,0.0609375,117,1920
TE-CCK-3 iterations,4,0.0432291666666667,0.0432291666666667,83,1920
TE-CCK-3 iterations,5,0.0151041666666667,0.0151041666666667,29,1920
TE-CCK-3 iterations,6,0.00625,0.00625,12,1920
TE-CCK-3 iterations,7,0.000520833333333333,0.000520833333333333,1,1920
TE-CCK-3 iterations,8,0,NaN,0,1920
