Method,SNR_dB,BER,DisplayBER,ErrorCount,BitTotal
CCK-Rake,-5,0.434244791666667,0.434244791666667,1334,3072
CCK-Rake,-4,0.4462890625,0.4462890625,1371,3072
CCK-Rake,-3,0.394205729166667,0.394205729166667,1211,3072
CCK-Rake,-2,0.380859375,0.380859375,1170,3072
CCK-Rake,-1,0.362955729166667,0.362955729166667,1115,3072
CCK-Rake,0,0.330078125,0.330078125,1014,3072
CCK-Rake,1,0.2880859375,0.2880859375,885,3072
CCK-Rake,2,0.266927083333333,0.266927083333333,820,3072
CCK-Rake,3,0.224609375,0.224609375,690,3072
CCK-Rake,4,0.162109375,0.162109375,498,3072
CCK-Rake,5,0.14453125,0.14453125,444,3072
CCK-Rake,6,0.127604166666667,0.127604166666667,392,3072
CCK-Rake,7,0.107096354166667,0.107096354166667,329,3072
CCK-Rake,8,0.0771484375,0.0771484375,237,3072
CCK-Rake,9,0.0533854166666667,0.0533854166666667,164,3072
CCK-Rake,10,0.0397135416666667,0.0397135416666667,122,3072
TE-CCK-无迭代,-5,0.414713541666667,0.414713541666667,1274,3072
TE-CCK-无迭代,-4,0.392903645833333,0.392903645833333,1207,3072
TE-CCK-无迭代,-3,0.357096354166667,0.357096354166667,1097,3072
TE-CCK-无迭代,-2,0.346354166666667,0.346354166666667,1064,3072
TE-CCK-无迭代,-1,0.314778645833333,0.314778645833333,967,3072
TE-CCK-无迭代,0,0.273763020833333,0.273763020833333,841,3072
TE-CCK-无迭代,1,0.228515625,0.228515625,702,3072
TE-CCK-无迭代,2,0.208984375,0.208984375,642,3072
TE-CCK-无迭代,3,0.176106770833333,0.176106770833333,541,3072
TE-CCK-无迭代,4,0.122721354166667,0.122721354166667,377,3072
TE-CCK-无迭代,5,0.0810546875,0.0810546875,249,3072
TE-CCK-无迭代,6,0.056640625,0.056640625,174,3072
TE-CCK-无迭代,7,0.0400390625,0.0400390625,123,3072
TE-CCK-无迭代,8,0.0179036458333333,0.0179036458333333,55,3072
TE-CCK-无迭代,9,0.0087890625,0.0087890625,27,3072
TE-CCK-无迭代,10,0.0029296875,0.0029296875,9,3072
TE-CCK-1次迭代,-5,0.405924479166667,0.405924479166667,1247,3072
TE-CCK-1次迭代,-4,0.379557291666667,0.379557291666667,1166,3072
TE-CCK-1次迭代,-3,0.3388671875,0.3388671875,1041,3072
TE-CCK-1次迭代,-2,0.33203125,0.33203125,1020,3072
TE-CCK-1次迭代,-1,0.2900390625,0.2900390625,891,3072
TE-CCK-1次迭代,0,0.234700520833333,0.234700520833333,721,3072
TE-CCK-1次迭代,1,0.184895833333333,0.184895833333333,568,3072
TE-CCK-1次迭代,2,0.148111979166667,0.148111979166667,455,3072
TE-CCK-1次迭代,3,0.0966796875,0.0966796875,297,3072
TE-CCK-1次迭代,4,0.0550130208333333,0.0550130208333333,169,3072
TE-CCK-1次迭代,5,0.0266927083333333,0.0266927083333333,82,3072
TE-CCK-1次迭代,6,0.0133463541666667,0.0133463541666667,41,3072
TE-CCK-1次迭代,7,0.00651041666666667,0.00651041666666667,20,3072
TE-CCK-1次迭代,8,0.0009765625,0.0009765625,3,3072
TE-CCK-1次迭代,9,0.000325520833333333,0.000325520833333333,1,3072
TE-CCK-1次迭代,10,0,NaN,0,3072
TE-CCK-2次迭代,-5,0.403645833333333,0.403645833333333,1240,3072
TE-CCK-2次迭代,-4,0.384114583333333,0.384114583333333,1180,3072
TE-CCK-2次迭代,-3,0.33984375,0.33984375,1044,3072
TE-CCK-2次迭代,-2,0.3330078125,0.3330078125,1023,3072
TE-CCK-2次迭代,-1,0.279296875,0.279296875,858,3072
TE-CCK-2次迭代,0,0.224283854166667,0.224283854166667,689,3072
TE-CCK-2次迭代,1,0.1533203125,0.1533203125,471,3072
TE-CCK-2次迭代,2,0.125325520833333,0.125325520833333,385,3072
TE-CCK-2次迭代,3,0.0725911458333333,0.0725911458333333,223,3072
TE-CCK-2次迭代,4,0.0364583333333333,0.0364583333333333,112,3072
TE-CCK-2次迭代,5,0.0107421875,0.0107421875,33,3072
TE-CCK-2次迭代,6,0.0029296875,0.0029296875,9,3072
TE-CCK-2次迭代,7,0.00130208333333333,0.00130208333333333,4,3072
TE-CCK-2次迭代,8,0,NaN,0,3072
TE-CCK-2次迭代,9,0.000325520833333333,0.000325520833333333,1,3072
TE-CCK-2次迭代,10,0,NaN,0,3072
TE-CCK-3次迭代,-5,0.404947916666667,0.404947916666667,1244,3072
TE-CCK-3次迭代,-4,0.3818359375,0.3818359375,1173,3072
TE-CCK-3次迭代,-3,0.339518229166667,0.339518229166667,1043,3072
TE-CCK-3次迭代,-2,0.331705729166667,0.331705729166667,1019,3072
TE-CCK-3次迭代,-1,0.283203125,0.283203125,870,3072
TE-CCK-3次迭代,0,0.224609375,0.224609375,690,3072
TE-CCK-3次迭代,1,0.139322916666667,0.139322916666667,428,3072
TE-CCK-3次迭代,2,0.113932291666667,0.113932291666667,350,3072
TE-CCK-3次迭代,3,0.060546875,0.060546875,186,3072
TE-CCK-3次迭代,4,0.0283203125,0.0283203125,87,3072
TE-CCK-3次迭代,5,0.00618489583333333,0.00618489583333333,19,3072
TE-CCK-3次迭代,6,0.0009765625,0.0009765625,3,3072
TE-CCK-3次迭代,7,0,NaN,0,3072
TE-CCK-3次迭代,8,0,NaN,0,3072
TE-CCK-3次迭代,9,0.000325520833333333,0.000325520833333333,1,3072
TE-CCK-3次迭代,10,0,NaN,0,3072
TE-CCK-4次迭代,-5,0.403645833333333,0.403645833333333,1240,3072
TE-CCK-4次迭代,-4,0.384114583333333,0.384114583333333,1180,3072
TE-CCK-4次迭代,-3,0.3369140625,0.3369140625,1035,3072
TE-CCK-4次迭代,-2,0.328450520833333,0.328450520833333,1009,3072
TE-CCK-4次迭代,-1,0.281575520833333,0.281575520833333,865,3072
TE-CCK-4次迭代,0,0.225260416666667,0.225260416666667,692,3072
TE-CCK-4次迭代,1,0.134440104166667,0.134440104166667,413,3072
TE-CCK-4次迭代,2,0.104817708333333,0.104817708333333,322,3072
TE-CCK-4次迭代,3,0.0530598958333333,0.0530598958333333,163,3072
TE-CCK-4次迭代,4,0.0221354166666667,0.0221354166666667,68,3072
TE-CCK-4次迭代,5,0.005859375,0.005859375,18,3072
TE-CCK-4次迭代,6,0.000325520833333333,0.000325520833333333,1,3072
TE-CCK-4次迭代,7,0,NaN,0,3072
TE-CCK-4次迭代,8,0,NaN,0,3072
TE-CCK-4次迭代,9,0.000325520833333333,0.000325520833333333,1,3072
