Method,SNR_dB,BER,DisplayBER,ErrorCount,BitTotal
CCK-Rake,-5,0.5078125,0.5078125,260,512
CCK-Rake,-4,0.46875,0.46875,240,512
CCK-Rake,-3,0.408203125,0.408203125,209,512
CCK-Rake,-2,0.423828125,0.423828125,217,512
CCK-Rake,-1,0.38671875,0.38671875,198,512
CCK-Rake,0,0.40625,0.40625,208,512
CCK-Rake,1,0.306640625,0.306640625,157,512
CCK-Rake,2,0.298828125,0.298828125,153,512
CCK-Rake,3,0.271484375,0.271484375,139,512
CCK-Rake,4,0.1953125,0.1953125,100,512
CCK-Rake,5,0.138671875,0.138671875,71,512
CCK-Rake,6,0.12109375,0.12109375,62,512
CCK-Rake,7,0.10546875,0.10546875,54,512
CCK-Rake,8,0.111328125,0.111328125,57,512
CCK-Rake,9,0.064453125,0.064453125,33,512
CCK-Rake,10,0.04296875,0.04296875,22,512
TE-CCK-0 iterations,-5,0.4453125,0.4453125,228,512
TE-CCK-0 iterations,-4,0.416015625,0.416015625,213,512
TE-CCK-0 iterations,-3,0.345703125,0.345703125,177,512
TE-CCK-0 iterations,-2,0.3828125,0.3828125,196,512
TE-CCK-0 iterations,-1,0.384765625,0.384765625,197,512
TE-CCK-0 iterations,0,0.3046875,0.3046875,156,512
TE-CCK-0 iterations,1,0.26171875,0.26171875,134,512
TE-CCK-0 iterations,2,0.2578125,0.2578125,132,512
TE-CCK-0 iterations,3,0.17578125,0.17578125,90,512
TE-CCK-0 iterations,4,0.134765625,0.134765625,69,512
TE-CCK-0 iterations,5,0.04296875,0.04296875,22,512
TE-CCK-0 iterations,6,0.056640625,0.056640625,29,512
TE-CCK-0 iterations,7,0.048828125,0.048828125,25,512
TE-CCK-0 iterations,8,0.037109375,0.037109375,19,512
TE-CCK-0 iterations,9,0.01171875,0.01171875,6,512
TE-CCK-0 iterations,10,0.001953125,0.001953125,1,512
TE-CCK-1 iteration,-5,0.41796875,0.41796875,214,512
TE-CCK-1 iteration,-4,0.396484375,0.396484375,203,512
TE-CCK-1 iteration,-3,0.3515625,0.3515625,180,512
TE-CCK-1 iteration,-2,0.359375,0.359375,184,512
TE-CCK-1 iteration,-1,0.359375,0.359375,184,512
TE-CCK-1 iteration,0,0.23046875,0.23046875,118,512
TE-CCK-1 iteration,1,0.1953125,0.1953125,100,512
TE-CCK-1 iteration,2,0.189453125,0.189453125,97,512
TE-CCK-1 iteration,3,0.12890625,0.12890625,66,512
TE-CCK-1 iteration,4,0.072265625,0.072265625,37,512
TE-CCK-1 iteration,5,0.015625,0.015625,8,512
TE-CCK-1 iteration,6,0.017578125,0.017578125,9,512
TE-CCK-1 iteration,7,0.0078125,0.0078125,4,512
TE-CCK-1 iteration,8,0.001953125,0.001953125,1,512
TE-CCK-1 iteration,9,0.001953125,0.001953125,1,512
TE-CCK-1 iteration,10,0,NaN,0,512
TE-CCK-2 iterations,-5,0.4140625,0.4140625,212,512
TE-CCK-2 iterations,-4,0.39453125,0.39453125,202,512
TE-CCK-2 iterations,-3,0.349609375,0.349609375,179,512
TE-CCK-2 iterations,-2,0.34375,0.34375,176,512
TE-CCK-2 iterations,-1,0.341796875,0.341796875,175,512
TE-CCK-2 iterations,0,0.234375,0.234375,120,512
TE-CCK-2 iterations,1,0.177734375,0.177734375,91,512
TE-CCK-2 iterations,2,0.169921875,0.169921875,87,512
TE-CCK-2 iterations,3,0.09375,0.09375,48,512
TE-CCK-2 iterations,4,0.056640625,0.056640625,29,512
TE-CCK-2 iterations,5,0.00390625,0.00390625,2,512
TE-CCK-2 iterations,6,0.01171875,0.01171875,6,512
TE-CCK-2 iterations,7,0.001953125,0.001953125,1,512
TE-CCK-2 iterations,8,0,NaN,0,512
TE-CCK-2 iterations,9,0,NaN,0,512
TE-CCK-2 iterations,10,0,NaN,0,512
TE-CCK-3 iterations,-5,0.41015625,0.41015625,210,512
TE-CCK-3 iterations,-4,0.396484375,0.396484375,203,512
TE-CCK-3 iterations,-3,0.35546875,0.35546875,182,512
TE-CCK-3 iterations,-2,0.3359375,0.3359375,172,512
TE-CCK-3 iterations,-1,0.34375,0.34375,176,512
TE-CCK-3 iterations,0,0.224609375,0.224609375,115,512
TE-CCK-3 iterations,1,0.150390625,0.150390625,77,512
TE-CCK-3 iterations,2,0.154296875,0.154296875,79,512
TE-CCK-3 iterations,3,0.078125,0.078125,40,512
TE-CCK-3 iterations,4,0.041015625,0.041015625,21,512
TE-CCK-3 iterations,5,0.00390625,0.00390625,2,512
TE-CCK-3 iterations,6,0.00390625,0.00390625,2,512
TE-CCK-3 iterations,7,0.001953125,0.001953125,1,512
TE-CCK-3 iterations,8,0,NaN,0,512
TE-CCK-3 iterations,9,0,NaN,0,512
TE-CCK-3 iterations,10,0,NaN,0,512
TE-CCK-4 iterations,-5,0.408203125,0.408203125,209,512
TE-CCK-4 iterations,-4,0.39453125,0.39453125,202,512
TE-CCK-4 iterations,-3,0.35546875,0.35546875,182,512
TE-CCK-4 iterations,-2,0.330078125,0.330078125,169,512
TE-CCK-4 iterations,-1,0.337890625,0.337890625,173,512
TE-CCK-4 iterations,0,0.220703125,0.220703125,113,512
TE-CCK-4 iterations,1,0.158203125,0.158203125,81,512
TE-CCK-4 iterations,2,0.15625,0.15625,80,512
TE-CCK-4 iterations,3,0.068359375,0.068359375,35,512
TE-CCK-4 iterations,4,0.033203125,0.033203125,17,512
TE-CCK-4 iterations,5,0.00390625,0.00390625,2,512
TE-CCK-4 iterations,6,0.005859375,0.005859375,3,512
TE-CCK-4 iterations,7,0.001953125,0.001953125,1,512
TE-CCK-4 iterations,8,0,NaN,0,512
TE-CCK-4 iterations,9,0,NaN,0,512
TE-CCK-4 iterations,10,0,NaN,0,512
DSSS-2,-5,0.3056640625,0.3056640625,313,1024
DSSS-2,-4,0.3134765625,0.3134765625,321,1024
DSSS-2,-3,0.2724609375,0.2724609375,279,1024
DSSS-2,-2,0.2333984375,0.2333984375,239,1024
DSSS-2,-1,0.25390625,0.25390625,260,1024
DSSS-2,0,0.22265625,0.22265625,228,1024
DSSS-2,1,0.1962890625,0.1962890625,201,1024
DSSS-2,2,0.1884765625,0.1884765625,193,1024
DSSS-2,3,0.1748046875,0.1748046875,179,1024
DSSS-2,4,0.15234375,0.15234375,156,1024
DSSS-2,5,0.1298828125,0.1298828125,133,1024
DSSS-2,6,0.146484375,0.146484375,150,1024
DSSS-2,7,0.1376953125,0.1376953125,141,1024
DSSS-2,8,0.1259765625,0.1259765625,129,1024
DSSS-2,9,0.111328125,0.111328125,114,1024
DSSS-2,10,0.1259765625,0.1259765625,129,1024
DSSS-4,-5,0.2705078125,0.2705078125,277,1024
DSSS-4,-4,0.2236328125,0.2236328125,229,1024
DSSS-4,-3,0.21484375,0.21484375,220,1024
DSSS-4,-2,0.197265625,0.197265625,202,1024
DSSS-4,-1,0.15625,0.15625,160,1024
DSSS-4,0,0.1328125,0.1328125,136,1024
DSSS-4,1,0.1083984375,0.1083984375,111,1024
DSSS-4,2,0.0830078125,0.0830078125,85,1024
DSSS-4,3,0.068359375,0.068359375,70,1024
DSSS-4,4,0.0400390625,0.0400390625,41,1024
DSSS-4,5,0.0341796875,0.0341796875,35,1024
DSSS-4,6,0.017578125,0.017578125,18,1024
DSSS-4,7,0.0166015625,0.0166015625,17,1024
DSSS-4,8,0.013671875,0.013671875,14,1024
DSSS-4,9,0.005859375,0.005859375,6,1024
DSSS-4,10,0.0029296875,0.0029296875,3,1024
DSSS-8,-5,0.27734375,0.27734375,284,1024
DSSS-8,-4,0.2265625,0.2265625,232,1024
DSSS-8,-3,0.1953125,0.1953125,200,1024
DSSS-8,-2,0.1748046875,0.1748046875,179,1024
DSSS-8,-1,0.126953125,0.126953125,130,1024
DSSS-8,0,0.1259765625,0.1259765625,129,1024
DSSS-8,1,0.083984375,0.083984375,86,1024
DSSS-8,2,0.0673828125,0.0673828125,69,1024
DSSS-8,3,0.0537109375,0.0537109375,55,1024
DSSS-8,4,0.0380859375,0.0380859375,39,1024
DSSS-8,5,0.0166015625,0.0166015625,17,1024
DSSS-8,6,0.0205078125,0.0205078125,21,1024
DSSS-8,7,0.005859375,0.005859375,6,1024
DSSS-8,8,0,NaN,0,1024
DSSS-8,9,0,NaN,0,1024
DSSS-8,10,0,NaN,0,1024
