Method,SNR_dB,BER,DisplayBER,ErrorCount,BitTotal
CCK-Rake,-5,0.463020833333333,0.463020833333333,889,1920
CCK-Rake,-4,0.441666666666667,0.441666666666667,848,1920
CCK-Rake,-3,0.447395833333333,0.447395833333333,859,1920
CCK-Rake,-2,0.402083333333333,0.402083333333333,772,1920
CCK-Rake,-1,0.395833333333333,0.395833333333333,760,1920
CCK-Rake,0,0.344270833333333,0.344270833333333,661,1920
CCK-Rake,1,0.323958333333333,0.323958333333333,622,1920
CCK-Rake,2,0.25,0.25,480,1920
CCK-Rake,3,0.238541666666667,0.238541666666667,458,1920
CCK-Rake,4,0.180729166666667,0.180729166666667,347,1920
CCK-Rake,5,0.15625,0.15625,300,1920
CCK-Rake,6,0.134375,0.134375,258,1920
CCK-Rake,7,0.115625,0.115625,222,1920
CCK-Rake,8,0.0973958333333333,0.0973958333333333,187,1920
CCK-Rake,9,0.0567708333333333,0.0567708333333333,109,1920
CCK-Rake,10,0.0609375,0.0609375,117,1920
TE-CCK-0 iterations,-5,0.424479166666667,0.424479166666667,815,1920
TE-CCK-0 iterations,-4,0.388541666666667,0.388541666666667,746,1920
TE-CCK-0 iterations,-3,0.388541666666667,0.388541666666667,746,1920
TE-CCK-0 iterations,-2,0.356770833333333,0.356770833333333,685,1920
TE-CCK-0 iterations,-1,0.3375,0.3375,648,1920
TE-CCK-0 iterations,0,0.280729166666667,0.280729166666667,539,1920
TE-CCK-0 iterations,1,0.258854166666667,0.258854166666667,497,1920
TE-CCK-0 iterations,2,0.177604166666667,0.177604166666667,341,1920
TE-CCK-0 iterations,3,0.1734375,0.1734375,333,1920
TE-CCK-0 iterations,4,0.138020833333333,0.138020833333333,265,1920
TE-CCK-0 iterations,5,0.0677083333333333,0.0677083333333333,130,1920
TE-CCK-0 iterations,6,0.065625,0.065625,126,1920
TE-CCK-0 iterations,7,0.0364583333333333,0.0364583333333333,70,1920
TE-CCK-0 iterations,8,0.0328125,0.0328125,63,1920
TE-CCK-0 iterations,9,0.0125,0.0125,24,1920
TE-CCK-0 iterations,10,0.0046875,0.0046875,9,1920
TE-CCK-1 iteration,-5,0.421875,0.421875,810,1920
TE-CCK-1 iteration,-4,0.383854166666667,0.383854166666667,737,1920
TE-CCK-1 iteration,-3,0.381770833333333,0.381770833333333,733,1920
TE-CCK-1 iteration,-2,0.351041666666667,0.351041666666667,674,1920
TE-CCK-1 iteration,-1,0.333854166666667,0.333854166666667,641,1920
TE-CCK-1 iteration,0,0.260416666666667,0.260416666666667,500,1920
TE-CCK-1 iteration,1,0.2078125,0.2078125,399,1920
TE-CCK-1 iteration,2,0.122395833333333,0.122395833333333,235,1920
TE-CCK-1 iteration,3,0.1171875,0.1171875,225,1920
TE-CCK-1 iteration,4,0.0671875,0.0671875,129,1920
TE-CCK-1 iteration,5,0.0177083333333333,0.0177083333333333,34,1920
TE-CCK-1 iteration,6,0.015625,0.015625,30,1920
TE-CCK-1 iteration,7,0.00520833333333333,0.00520833333333333,10,1920
TE-CCK-1 iteration,8,0.00677083333333333,0.00677083333333333,13,1920
TE-CCK-1 iteration,9,0,NaN,0,1920
TE-CCK-1 iteration,10,0,NaN,0,1920
TE-CCK-2 iterations,-5,0.4234375,0.4234375,813,1920
TE-CCK-2 iterations,-4,0.391666666666667,0.391666666666667,752,1920
TE-CCK-2 iterations,-3,0.372916666666667,0.372916666666667,716,1920
TE-CCK-2 iterations,-2,0.347395833333333,0.347395833333333,667,1920
TE-CCK-2 iterations,-1,0.33125,0.33125,636,1920
TE-CCK-2 iterations,0,0.243229166666667,0.243229166666667,467,1920
TE-CCK-2 iterations,1,0.177083333333333,0.177083333333333,340,1920
TE-CCK-2 iterations,2,0.1078125,0.1078125,207,1920
TE-CCK-2 iterations,3,0.0953125,0.0953125,183,1920
TE-CCK-2 iterations,4,0.0395833333333333,0.0395833333333333,76,1920
TE-CCK-2 iterations,5,0.00885416666666667,0.00885416666666667,17,1920
TE-CCK-2 iterations,6,0.003125,0.003125,6,1920
TE-CCK-2 iterations,7,0.000520833333333333,0.000520833333333333,1,1920
TE-CCK-2 iterations,8,0.003125,0.003125,6,1920
TE-CCK-2 iterations,9,0,NaN,0,1920
TE-CCK-2 iterations,10,0,NaN,0,1920
TE-CCK-3 iterations,-5,0.422395833333333,0.422395833333333,811,1920
TE-CCK-3 iterations,-4,0.390625,0.390625,750,1920
TE-CCK-3 iterations,-3,0.376041666666667,0.376041666666667,722,1920
TE-CCK-3 iterations,-2,0.341666666666667,0.341666666666667,656,1920
TE-CCK-3 iterations,-1,0.322395833333333,0.322395833333333,619,1920
TE-CCK-3 iterations,0,0.238020833333333,0.238020833333333,457,1920
TE-CCK-3 iterations,1,0.169270833333333,0.169270833333333,325,1920
TE-CCK-3 iterations,2,0.0958333333333333,0.0958333333333333,184,1920
TE-CCK-3 iterations,3,0.0760416666666667,0.0760416666666667,146,1920
TE-CCK-3 iterations,4,0.0338541666666667,0.0338541666666667,65,1920
TE-CCK-3 iterations,5,0.0046875,0.0046875,9,1920
TE-CCK-3 iterations,6,0.00260416666666667,0.00260416666666667,5,1920
TE-CCK-3 iterations,7,0.000520833333333333,0.000520833333333333,1,1920
TE-CCK-3 iterations,8,0.00104166666666667,0.00104166666666667,2,1920
TE-CCK-3 iterations,9,0,NaN,0,1920
TE-CCK-3 iterations,10,0,NaN,0,1920
TE-CCK-4 iterations,-5,0.421875,0.421875,810,1920
TE-CCK-4 iterations,-4,0.3921875,0.3921875,753,1920
TE-CCK-4 iterations,-3,0.377083333333333,0.377083333333333,724,1920
TE-CCK-4 iterations,-2,0.341666666666667,0.341666666666667,656,1920
TE-CCK-4 iterations,-1,0.324479166666667,0.324479166666667,623,1920
TE-CCK-4 iterations,0,0.238541666666667,0.238541666666667,458,1920
TE-CCK-4 iterations,1,0.169791666666667,0.169791666666667,326,1920
TE-CCK-4 iterations,2,0.0911458333333333,0.0911458333333333,175,1920
TE-CCK-4 iterations,3,0.0682291666666667,0.0682291666666667,131,1920
TE-CCK-4 iterations,4,0.0307291666666667,0.0307291666666667,59,1920
TE-CCK-4 iterations,5,0.003125,0.003125,6,1920
TE-CCK-4 iterations,6,0.00208333333333333,0.00208333333333333,4,1920
TE-CCK-4 iterations,7,0.000520833333333333,0.000520833333333333,1,1920
TE-CCK-4 iterations,8,0,NaN,0,1920
TE-CCK-4 iterations,9,0,NaN,0,1920
TE-CCK-4 iterations,10,0,NaN,0,1920
DSSS-2,-5,0.311458333333333,0.311458333333333,1196,3840
DSSS-2,-4,0.294270833333333,0.294270833333333,1130,3840
DSSS-2,-3,0.27421875,0.27421875,1053,3840
DSSS-2,-2,0.253125,0.253125,972,3840
DSSS-2,-1,0.219010416666667,0.219010416666667,841,3840
DSSS-2,0,0.197135416666667,0.197135416666667,757,3840
DSSS-2,1,0.1921875,0.1921875,738,3840
DSSS-2,2,0.178125,0.178125,684,3840
DSSS-2,3,0.161458333333333,0.161458333333333,620,3840
DSSS-2,4,0.148958333333333,0.148958333333333,572,3840
DSSS-2,5,0.151041666666667,0.151041666666667,580,3840
DSSS-2,6,0.14453125,0.14453125,555,3840
DSSS-2,7,0.119010416666667,0.119010416666667,457,3840
DSSS-2,8,0.115885416666667,0.115885416666667,445,3840
DSSS-2,9,0.11796875,0.11796875,453,3840
DSSS-2,10,0.129427083333333,0.129427083333333,497,3840
DSSS-4,-5,0.28046875,0.28046875,1077,3840
DSSS-4,-4,0.25234375,0.25234375,969,3840
DSSS-4,-3,0.212760416666667,0.212760416666667,817,3840
DSSS-4,-2,0.180729166666667,0.180729166666667,694,3840
DSSS-4,-1,0.151822916666667,0.151822916666667,583,3840
DSSS-4,0,0.126041666666667,0.126041666666667,484,3840
DSSS-4,1,0.1015625,0.1015625,390,3840
DSSS-4,2,0.0776041666666667,0.0776041666666667,298,3840
DSSS-4,3,0.0643229166666667,0.0643229166666667,247,3840
DSSS-4,4,0.0565104166666667,0.0565104166666667,217,3840
DSSS-4,5,0.03203125,0.03203125,123,3840
DSSS-4,6,0.0268229166666667,0.0268229166666667,103,3840
DSSS-4,7,0.0182291666666667,0.0182291666666667,70,3840
DSSS-4,8,0.0114583333333333,0.0114583333333333,44,3840
DSSS-4,9,0.00677083333333333,0.00677083333333333,26,3840
DSSS-4,10,0.00572916666666667,0.00572916666666667,22,3840
DSSS-8,-5,0.261197916666667,0.261197916666667,1003,3840
DSSS-8,-4,0.234375,0.234375,900,3840
DSSS-8,-3,0.205208333333333,0.205208333333333,788,3840
DSSS-8,-2,0.18359375,0.18359375,705,3840
DSSS-8,-1,0.134635416666667,0.134635416666667,517,3840
DSSS-8,0,0.122135416666667,0.122135416666667,469,3840
DSSS-8,1,0.0828125,0.0828125,318,3840
DSSS-8,2,0.0721354166666667,0.0721354166666667,277,3840
DSSS-8,3,0.0520833333333333,0.0520833333333333,200,3840
DSSS-8,4,0.0247395833333333,0.0247395833333333,95,3840
DSSS-8,5,0.0169270833333333,0.0169270833333333,65,3840
DSSS-8,6,0.00963541666666667,0.00963541666666667,37,3840
DSSS-8,7,0.0046875,0.0046875,18,3840
DSSS-8,8,0.00364583333333333,0.00364583333333333,14,3840
DSSS-8,9,0.000520833333333333,0.000520833333333333,2,3840
DSSS-8,10,0.00078125,0.00078125,3,3840
