Method,SNR_dB,BER,DisplayBER,ErrorCount,BitTotal
CCK-Rake,-5,0.453125,0.453125,174,384
CCK-Rake,-4,0.4453125,0.4453125,171,384
CCK-Rake,-3,0.403645833333333,0.403645833333333,155,384
CCK-Rake,-2,0.4140625,0.4140625,159,384
CCK-Rake,-1,0.385416666666667,0.385416666666667,148,384
CCK-Rake,0,0.2890625,0.2890625,111,384
CCK-Rake,1,0.2890625,0.2890625,111,384
CCK-Rake,2,0.255208333333333,0.255208333333333,98,384
CCK-Rake,3,0.203125,0.203125,78,384
CCK-Rake,4,0.158854166666667,0.158854166666667,61,384
CCK-Rake,5,0.106770833333333,0.106770833333333,41,384
CCK-Rake,6,0.138020833333333,0.138020833333333,53,384
CCK-Rake,7,0.0494791666666667,0.0494791666666667,19,384
CCK-Rake,8,0.0338541666666667,0.0338541666666667,13,384
CCK-Rake,9,0,NaN,0,384
CCK-Rake,10,0.0286458333333333,0.0286458333333333,11,384
TE-CCK-无迭代,-5,0.481770833333333,0.481770833333333,185,384
TE-CCK-无迭代,-4,0.4140625,0.4140625,159,384
TE-CCK-无迭代,-3,0.421875,0.421875,162,384
TE-CCK-无迭代,-2,0.442708333333333,0.442708333333333,170,384
TE-CCK-无迭代,-1,0.40625,0.40625,156,384
TE-CCK-无迭代,0,0.302083333333333,0.302083333333333,116,384
TE-CCK-无迭代,1,0.315104166666667,0.315104166666667,121,384
TE-CCK-无迭代,2,0.278645833333333,0.278645833333333,107,384
TE-CCK-无迭代,3,0.234375,0.234375,90,384
TE-CCK-无迭代,4,0.265625,0.265625,102,384
TE-CCK-无迭代,5,0.0572916666666667,0.0572916666666667,22,384
TE-CCK-无迭代,6,0.0364583333333333,0.0364583333333333,14,384
TE-CCK-无迭代,7,0.0364583333333333,0.0364583333333333,14,384
TE-CCK-无迭代,8,0,NaN,0,384
TE-CCK-无迭代,9,0.00520833333333333,0.00520833333333333,2,384
TE-CCK-无迭代,10,0,NaN,0,384
TE-CCK-1次迭代,-5,0.4296875,0.4296875,165,384
TE-CCK-1次迭代,-4,0.416666666666667,0.416666666666667,160,384
TE-CCK-1次迭代,-3,0.403645833333333,0.403645833333333,155,384
TE-CCK-1次迭代,-2,0.427083333333333,0.427083333333333,164,384
TE-CCK-1次迭代,-1,0.416666666666667,0.416666666666667,160,384
TE-CCK-1次迭代,0,0.3125,0.3125,120,384
TE-CCK-1次迭代,1,0.338541666666667,0.338541666666667,130,384
TE-CCK-1次迭代,2,0.28125,0.28125,108,384
TE-CCK-1次迭代,3,0.255208333333333,0.255208333333333,98,384
TE-CCK-1次迭代,4,0.255208333333333,0.255208333333333,98,384
TE-CCK-1次迭代,5,0,NaN,0,384
TE-CCK-1次迭代,6,0,NaN,0,384
TE-CCK-1次迭代,7,0.0130208333333333,0.0130208333333333,5,384
TE-CCK-1次迭代,8,0,NaN,0,384
TE-CCK-1次迭代,9,0,NaN,0,384
