Method,SNR_dB,BER,DisplayBER,ErrorCount,BitTotal
CCK-Rake,-5,0.4296875,0.4296875,660,1536
CCK-Rake,-4,0.465494791666667,0.465494791666667,715,1536
CCK-Rake,-3,0.458333333333333,0.458333333333333,704,1536
CCK-Rake,-2,0.391276041666667,0.391276041666667,601,1536
CCK-Rake,-1,0.393880208333333,0.393880208333333,605,1536
CCK-Rake,0,0.346354166666667,0.346354166666667,532,1536
CCK-Rake,1,0.311197916666667,0.311197916666667,478,1536
CCK-Rake,2,0.267578125,0.267578125,411,1536
CCK-Rake,3,0.244140625,0.244140625,375,1536
CCK-Rake,4,0.181640625,0.181640625,279,1536
CCK-Rake,5,0.0872395833333333,0.0872395833333333,134,1536
CCK-Rake,6,0.0572916666666667,0.0572916666666667,88,1536
CCK-Rake,7,0.0787760416666667,0.0787760416666667,121,1536
CCK-Rake,8,0.0201822916666667,0.0201822916666667,31,1536
CCK-Rake,9,0.00390625,0.00390625,6,1536
CCK-Rake,10,0.0130208333333333,0.0130208333333333,20,1536
TE-CCK-无迭代,-5,0.448567708333333,0.448567708333333,689,1536
TE-CCK-无迭代,-4,0.447265625,0.447265625,687,1536
TE-CCK-无迭代,-3,0.458333333333333,0.458333333333333,704,1536
TE-CCK-无迭代,-2,0.360026041666667,0.360026041666667,553,1536
TE-CCK-无迭代,-1,0.39453125,0.39453125,606,1536
TE-CCK-无迭代,0,0.352864583333333,0.352864583333333,542,1536
TE-CCK-无迭代,1,0.296223958333333,0.296223958333333,455,1536
TE-CCK-无迭代,2,0.2578125,0.2578125,396,1536
TE-CCK-无迭代,3,0.212239583333333,0.212239583333333,326,1536
TE-CCK-无迭代,4,0.141276041666667,0.141276041666667,217,1536
TE-CCK-无迭代,5,0.0755208333333333,0.0755208333333333,116,1536
TE-CCK-无迭代,6,0.0377604166666667,0.0377604166666667,58,1536
TE-CCK-无迭代,7,0.0078125,0.0078125,12,1536
TE-CCK-无迭代,8,0.00130208333333333,0.00130208333333333,2,1536
TE-CCK-无迭代,9,0,NaN,0,1536
TE-CCK-无迭代,10,0,NaN,0,1536
TE-CCK-1次迭代,-5,0.448567708333333,0.448567708333333,689,1536
TE-CCK-1次迭代,-4,0.440755208333333,0.440755208333333,677,1536
TE-CCK-1次迭代,-3,0.449869791666667,0.449869791666667,691,1536
TE-CCK-1次迭代,-2,0.388020833333333,0.388020833333333,596,1536
TE-CCK-1次迭代,-1,0.415364583333333,0.415364583333333,638,1536
TE-CCK-1次迭代,0,0.356770833333333,0.356770833333333,548,1536
TE-CCK-1次迭代,1,0.298177083333333,0.298177083333333,458,1536
TE-CCK-1次迭代,2,0.259765625,0.259765625,399,1536
TE-CCK-1次迭代,3,0.212239583333333,0.212239583333333,326,1536
TE-CCK-1次迭代,4,0.083984375,0.083984375,129,1536
TE-CCK-1次迭代,5,0.0403645833333333,0.0403645833333333,62,1536
TE-CCK-1次迭代,6,0.00716145833333333,0.00716145833333333,11,1536
TE-CCK-1次迭代,7,0.00130208333333333,0.00130208333333333,2,1536
TE-CCK-1次迭代,8,0,NaN,0,1536
TE-CCK-1次迭代,9,0,NaN,0,1536
