Method,SNR_dB,BER,DisplayBER,ErrorCount,BitTotal
CCK-Rake,-5,0.515625,0.515625,33,64
CCK-Rake,-4,0.5625,0.5625,36,64
CCK-Rake,-3,0.390625,0.390625,25,64
CCK-Rake,-2,0.296875,0.296875,19,64
CCK-Rake,-1,0.28125,0.28125,18,64
CCK-Rake,0,0.3125,0.3125,20,64
CCK-Rake,1,0.375,0.375,24,64
CCK-Rake,2,0.25,0.25,16,64
CCK-Rake,3,0.1875,0.1875,12,64
CCK-Rake,4,0.125,0.125,8,64
CCK-Rake,5,0.203125,0.203125,13,64
CCK-Rake,6,0.0625,NaN,4,64
CCK-Rake,7,0.0625,NaN,4,64
CCK-Rake,8,0.015625,NaN,1,64
CCK-Rake,9,0,NaN,0,64
CCK-Rake,10,0,NaN,0,64
TE-CCK-0 iterations,-5,0.328125,0.328125,21,64
TE-CCK-0 iterations,-4,0.609375,0.609375,39,64
TE-CCK-0 iterations,-3,0.25,0.25,16,64
TE-CCK-0 iterations,-2,0.3125,0.3125,20,64
TE-CCK-0 iterations,-1,0.359375,0.359375,23,64
TE-CCK-0 iterations,0,0.3125,0.3125,20,64
TE-CCK-0 iterations,1,0.34375,0.34375,22,64
TE-CCK-0 iterations,2,0.140625,0.140625,9,64
TE-CCK-0 iterations,3,0.125,0.125,8,64
TE-CCK-0 iterations,4,0.0625,NaN,4,64
TE-CCK-0 iterations,5,0.15625,0.15625,10,64
TE-CCK-0 iterations,6,0.03125,NaN,2,64
TE-CCK-0 iterations,7,0.234375,0.234375,15,64
TE-CCK-0 iterations,8,0,NaN,0,64
TE-CCK-0 iterations,9,0,NaN,0,64
TE-CCK-0 iterations,10,0,NaN,0,64
TE-CCK-1 iteration,-5,0.375,0.375,24,64
TE-CCK-1 iteration,-4,0.546875,0.546875,35,64
TE-CCK-1 iteration,-3,0.34375,0.34375,22,64
TE-CCK-1 iteration,-2,0.3125,0.3125,20,64
TE-CCK-1 iteration,-1,0.359375,0.359375,23,64
TE-CCK-1 iteration,0,0.28125,0.28125,18,64
TE-CCK-1 iteration,1,0.328125,0.328125,21,64
TE-CCK-1 iteration,2,0.078125,NaN,5,64
TE-CCK-1 iteration,3,0.078125,NaN,5,64
TE-CCK-1 iteration,4,0,NaN,0,64
TE-CCK-1 iteration,5,0.078125,NaN,5,64
TE-CCK-1 iteration,6,0,NaN,0,64
TE-CCK-1 iteration,7,0.15625,0.15625,10,64
TE-CCK-1 iteration,8,0,NaN,0,64
TE-CCK-1 iteration,9,0,NaN,0,64
TE-CCK-1 iteration,10,0,NaN,0,64
TE-CCK-2 iterations,-5,0.390625,0.390625,25,64
TE-CCK-2 iterations,-4,0.53125,0.53125,34,64
TE-CCK-2 iterations,-3,0.3125,0.3125,20,64
TE-CCK-2 iterations,-2,0.34375,0.34375,22,64
TE-CCK-2 iterations,-1,0.359375,0.359375,23,64
TE-CCK-2 iterations,0,0.296875,0.296875,19,64
TE-CCK-2 iterations,1,0.328125,0.328125,21,64
TE-CCK-2 iterations,2,0.0625,NaN,4,64
TE-CCK-2 iterations,3,0.015625,NaN,1,64
TE-CCK-2 iterations,4,0,NaN,0,64
TE-CCK-2 iterations,5,0.03125,NaN,2,64
TE-CCK-2 iterations,6,0,NaN,0,64
