Method,SNR_dB,BER,DisplayBER,ErrorCount,BitTotal
CCK-Rake,-5,0.456380208333333,0.456380208333333,8412,18432
CCK-Rake,-4,0.451497395833333,0.451497395833333,8322,18432
CCK-Rake,-3,0.434461805555556,0.434461805555556,8008,18432
CCK-Rake,-2,0.410047743055556,0.410047743055556,7558,18432
CCK-Rake,-1,0.388237847222222,0.388237847222222,7156,18432
CCK-Rake,0,0.359429253472222,0.359429253472222,6625,18432
CCK-Rake,1,0.322862413194444,0.322862413194444,5951,18432
CCK-Rake,2,0.280815972222222,0.280815972222222,5176,18432
CCK-Rake,3,0.238878038194444,0.238878038194444,4403,18432
CCK-Rake,4,0.176974826388889,0.176974826388889,3262,18432
CCK-Rake,5,0.135633680555556,0.135633680555556,2500,18432
CCK-Rake,6,0.0794270833333333,0.0794270833333333,1464,18432
CCK-Rake,7,0.0529513888888889,0.0529513888888889,976,18432
CCK-Rake,8,0.0293511284722222,0.0293511284722222,541,18432
CCK-Rake,9,0.0157335069444444,0.0157335069444444,290,18432
CCK-Rake,10,0.00802951388888889,0.00802951388888889,148,18432
TE-CCK-无迭代,-5,0.442599826388889,0.442599826388889,8158,18432
TE-CCK-无迭代,-4,0.433810763888889,0.433810763888889,7996,18432
TE-CCK-无迭代,-3,0.4287109375,0.4287109375,7902,18432
TE-CCK-无迭代,-2,0.398980034722222,0.398980034722222,7354,18432
TE-CCK-无迭代,-1,0.380208333333333,0.380208333333333,7008,18432
TE-CCK-无迭代,0,0.35791015625,0.35791015625,6597,18432
TE-CCK-无迭代,1,0.317057291666667,0.317057291666667,5844,18432
TE-CCK-无迭代,2,0.273057725694444,0.273057725694444,5033,18432
TE-CCK-无迭代,3,0.223687065972222,0.223687065972222,4123,18432
TE-CCK-无迭代,4,0.161566840277778,0.161566840277778,2978,18432
TE-CCK-无迭代,5,0.08984375,0.08984375,1656,18432
TE-CCK-无迭代,6,0.0324978298611111,0.0324978298611111,599,18432
TE-CCK-无迭代,7,0.0110677083333333,0.0110677083333333,204,18432
TE-CCK-无迭代,8,0.00184461805555556,0.00184461805555556,34,18432
TE-CCK-无迭代,9,0.000705295138888889,0.000705295138888889,13,18432
TE-CCK-无迭代,10,0,2.71267361111111e-05,0,18432
TE-CCK-1次迭代,-5,0.444607204861111,0.444607204861111,8195,18432
TE-CCK-1次迭代,-4,0.434516059027778,0.434516059027778,8009,18432
TE-CCK-1次迭代,-3,0.427354600694444,0.427354600694444,7877,18432
TE-CCK-1次迭代,-2,0.401801215277778,0.401801215277778,7406,18432
TE-CCK-1次迭代,-1,0.383083767361111,0.383083767361111,7061,18432
TE-CCK-1次迭代,0,0.357476128472222,0.357476128472222,6589,18432
TE-CCK-1次迭代,1,0.319227430555556,0.319227430555556,5884,18432
TE-CCK-1次迭代,2,0.275553385416667,0.275553385416667,5079,18432
TE-CCK-1次迭代,3,0.20703125,0.20703125,3816,18432
TE-CCK-1次迭代,4,0.116319444444444,0.116319444444444,2144,18432
TE-CCK-1次迭代,5,0.0445421006944444,0.0445421006944444,821,18432
TE-CCK-1次迭代,6,0.00689019097222222,0.00689019097222222,127,18432
TE-CCK-1次迭代,7,0.00200737847222222,0.00200737847222222,37,18432
TE-CCK-1次迭代,8,0,2.71267361111111e-05,0,18432
TE-CCK-1次迭代,9,0.000108506944444444,NaN,2,18432
TE-CCK-1次迭代,10,0,2.71267361111111e-05,0,18432
TE-CCK-2次迭代,-5,0.442708333333333,0.442708333333333,8160,18432
TE-CCK-2次迭代,-4,0.432345920138889,0.432345920138889,7969,18432
TE-CCK-2次迭代,-3,0.428168402777778,0.428168402777778,7892,18432
TE-CCK-2次迭代,-2,0.398383246527778,0.398383246527778,7343,18432
TE-CCK-2次迭代,-1,0.388726128472222,0.388726128472222,7165,18432
TE-CCK-2次迭代,0,0.362684461805556,0.362684461805556,6685,18432
TE-CCK-2次迭代,1,0.317545572916667,0.317545572916667,5853,18432
TE-CCK-2次迭代,2,0.275607638888889,0.275607638888889,5080,18432
TE-CCK-2次迭代,3,0.198838975694444,0.198838975694444,3665,18432
TE-CCK-2次迭代,4,0.0928819444444444,0.0928819444444444,1712,18432
TE-CCK-2次迭代,5,0.0257161458333333,0.0257161458333333,474,18432
TE-CCK-2次迭代,6,0.00265842013888889,0.00265842013888889,49,18432
TE-CCK-2次迭代,7,0.00108506944444444,0.00108506944444444,20,18432
TE-CCK-2次迭代,8,0,2.71267361111111e-05,0,18432
