Method,SNR_dB,BER,DisplayBER,ErrorCount,BitTotal
Rake,0,0.1875,0.1875,6,32
Rake,5,0.15625,0.15625,5,32
Rake-DFE,0,0.1875,0.1875,6,32
Rake-DFE,5,0,0.015625,0,32
BiDFE（1次迭代）,0,0.1875,0.1875,6,32
BiDFE（1次迭代）,5,0,0.015625,0,32
BiDFE（2次迭代）,0,0.1875,0.1875,6,32
BiDFE（2次迭代）,5,0,0.015625,0,32
TR-Diversity（1次迭代）,0,0,0.015625,0,32
TR-Diversity（1次迭代）,5,0,0.015625,0,32
TR-Diversity（2次迭代）,0,0,0.015625,0,32
TR-Diversity（2次迭代）,5,0,0.015625,0,32
RSSE,0,0.15625,0.15625,5,32
RSSE,5,0,0.015625,0,32
TE-CCK-无迭代,0,0.333333333333333,0.333333333333333,128,384
TE-CCK-无迭代,5,0.0598958333333333,0.0598958333333333,23,384
TE-CCK-1次迭代,0,0.3515625,0.3515625,135,384
TE-CCK-1次迭代,5,0.00520833333333333,NaN,2,384
TE-CCK-2次迭代,0,0.341145833333333,0.341145833333333,131,384
TE-CCK-2次迭代,5,0,0.00130208333333333,0,384
TE-CCK-3次迭代,0,0.338541666666667,0.338541666666667,130,384
TE-CCK-3次迭代,5,0,0.00130208333333333,0,384
TE-CCK-4次迭代,0,0.346354166666667,0.346354166666667,133,384
TE-CCK-4次迭代,5,0,0.00130208333333333,0,384
