Method,SNR_dB,BER,DisplayBER,ErrorCount,BitTotal
CCK-Rake,-5,0.451822916666667,0.451822916666667,1041,2304
CCK-Rake,-4,0.423177083333333,0.423177083333333,975,2304
CCK-Rake,-3,0.428385416666667,0.428385416666667,987,2304
CCK-Rake,-2,0.385850694444444,0.385850694444444,889,2304
CCK-Rake,-1,0.377604166666667,0.377604166666667,870,2304
CCK-Rake,0,0.351996527777778,0.351996527777778,811,2304
CCK-Rake,1,0.317708333333333,0.317708333333333,732,2304
CCK-Rake,2,0.299479166666667,0.299479166666667,690,2304
CCK-Rake,3,0.240885416666667,0.240885416666667,555,2304
CCK-Rake,4,0.1640625,0.1640625,378,2304
CCK-Rake,5,0.141927083333333,0.141927083333333,327,2304
CCK-Rake,6,0.0533854166666667,0.0533854166666667,123,2304
CCK-Rake,7,0.0299479166666667,0.0299479166666667,69,2304
CCK-Rake,8,0.0173611111111111,0.0173611111111111,40,2304
CCK-Rake,9,0.00694444444444444,0.00694444444444444,16,2304
CCK-Rake,10,0.00998263888888889,0.00998263888888889,23,2304
TE-CCK-无迭代,-5,0.43359375,0.43359375,999,2304
TE-CCK-无迭代,-4,0.43359375,0.43359375,999,2304
TE-CCK-无迭代,-3,0.404513888888889,0.404513888888889,932,2304
TE-CCK-无迭代,-2,0.392361111111111,0.392361111111111,904,2304
TE-CCK-无迭代,-1,0.376302083333333,0.376302083333333,867,2304
TE-CCK-无迭代,0,0.356336805555556,0.356336805555556,821,2304
TE-CCK-无迭代,1,0.312934027777778,0.312934027777778,721,2304
TE-CCK-无迭代,2,0.277777777777778,0.277777777777778,640,2304
TE-CCK-无迭代,3,0.268229166666667,0.268229166666667,618,2304
TE-CCK-无迭代,4,0.156684027777778,0.156684027777778,361,2304
TE-CCK-无迭代,5,0.0933159722222222,0.0933159722222222,215,2304
TE-CCK-无迭代,6,0.0403645833333333,0.0403645833333333,93,2304
TE-CCK-无迭代,7,0.0138888888888889,0.0138888888888889,32,2304
TE-CCK-无迭代,8,0.00173611111111111,0.00173611111111111,4,2304
TE-CCK-无迭代,9,0,0.000217013888888889,0,2304
TE-CCK-无迭代,10,0,0.000217013888888889,0,2304
TE-CCK-1次迭代,-5,0.430555555555556,0.430555555555556,992,2304
TE-CCK-1次迭代,-4,0.426215277777778,0.426215277777778,982,2304
TE-CCK-1次迭代,-3,0.412760416666667,0.412760416666667,951,2304
TE-CCK-1次迭代,-2,0.398871527777778,0.398871527777778,919,2304
TE-CCK-1次迭代,-1,0.3828125,0.3828125,882,2304
TE-CCK-1次迭代,0,0.362413194444444,0.362413194444444,835,2304
TE-CCK-1次迭代,1,0.332899305555556,0.332899305555556,767,2304
TE-CCK-1次迭代,2,0.283420138888889,0.283420138888889,653,2304
TE-CCK-1次迭代,3,0.265625,0.265625,612,2304
