Method,SNR_dB,BER,DisplayBER,ErrorCount,BitTotal
CCK-Rake,-5,0.546875,0.546875,35,64
CCK-Rake,-4,0.40625,0.40625,26,64
CCK-Rake,-3,0.40625,0.40625,26,64
CCK-Rake,-2,0.359375,0.359375,23,64
CCK-Rake,-1,0.421875,0.421875,27,64
CCK-Rake,0,0.5625,0.5625,36,64
CCK-Rake,1,0.34375,0.34375,22,64
CCK-Rake,2,0.3125,0.3125,20,64
CCK-Rake,3,0.359375,0.359375,23,64
CCK-Rake,4,0.125,0.125,8,64
CCK-Rake,5,0.09375,0.09375,6,64
CCK-Rake,6,0.234375,0.234375,15,64
CCK-Rake,7,0,0.0078125,0,64
CCK-Rake,8,0,0.0078125,0,64
CCK-Rake,9,0,0.0078125,0,64
CCK-Rake,10,0,0.0078125,0,64
TE-CCK-无迭代,-5,0.4375,0.4375,28,64
TE-CCK-无迭代,-4,0.359375,0.359375,23,64
TE-CCK-无迭代,-3,0.390625,0.390625,25,64
TE-CCK-无迭代,-2,0.375,0.375,24,64
TE-CCK-无迭代,-1,0.15625,0.15625,10,64
TE-CCK-无迭代,0,0.4375,0.4375,28,64
TE-CCK-无迭代,1,0.203125,0.203125,13,64
TE-CCK-无迭代,2,0.15625,0.15625,10,64
TE-CCK-无迭代,3,0.453125,0.453125,29,64
TE-CCK-无迭代,4,0.1875,0.1875,12,64
TE-CCK-无迭代,5,0.078125,0.078125,5,64
TE-CCK-无迭代,6,0.234375,0.234375,15,64
TE-CCK-无迭代,7,0,0.0078125,0,64
TE-CCK-无迭代,8,0,0.0078125,0,64
TE-CCK-无迭代,9,0,0.0078125,0,64
TE-CCK-无迭代,10,0,0.0078125,0,64
TE-CCK-1次迭代,-5,0.4375,0.4375,28,64
TE-CCK-1次迭代,-4,0.375,0.375,24,64
TE-CCK-1次迭代,-3,0.359375,0.359375,23,64
TE-CCK-1次迭代,-2,0.390625,0.390625,25,64
TE-CCK-1次迭代,-1,0.125,0.125,8,64
TE-CCK-1次迭代,0,0.46875,0.46875,30,64
TE-CCK-1次迭代,1,0.234375,0.234375,15,64
TE-CCK-1次迭代,2,0.140625,0.140625,9,64
TE-CCK-1次迭代,3,0.53125,0.53125,34,64
TE-CCK-1次迭代,4,0.109375,0.109375,7,64
TE-CCK-1次迭代,5,0.046875,0.046875,3,64
TE-CCK-1次迭代,6,0.0625,0.0625,4,64
TE-CCK-1次迭代,7,0,0.0078125,0,64
TE-CCK-1次迭代,8,0,0.0078125,0,64
TE-CCK-1次迭代,9,0,0.0078125,0,64
TE-CCK-1次迭代,10,0,0.0078125,0,64
TE-CCK-2次迭代,-5,0.4375,0.4375,28,64
TE-CCK-2次迭代,-4,0.375,0.375,24,64
TE-CCK-2次迭代,-3,0.359375,0.359375,23,64
TE-CCK-2次迭代,-2,0.421875,0.421875,27,64
TE-CCK-2次迭代,-1,0.109375,0.109375,7,64
TE-CCK-2次迭代,0,0.390625,0.390625,25,64
TE-CCK-2次迭代,1,0.25,0.25,16,64
TE-CCK-2次迭代,2,0.109375,0.109375,7,64
TE-CCK-2次迭代,3,0.546875,0.546875,35,64
TE-CCK-2次迭代,4,0,0.0078125,0,64
TE-CCK-2次迭代,5,0.046875,0.046875,3,64
TE-CCK-2次迭代,6,0,0.0078125,0,64
TE-CCK-2次迭代,7,0,0.0078125,0,64
TE-CCK-2次迭代,8,0,0.0078125,0,64
TE-CCK-2次迭代,9,0,0.0078125,0,64
TE-CCK-2次迭代,10,0,0.0078125,0,64
TE-CCK-3次迭代,-5,0.421875,0.421875,27,64
TE-CCK-3次迭代,-4,0.375,0.375,24,64
TE-CCK-3次迭代,-3,0.375,0.375,24,64
TE-CCK-3次迭代,-2,0.421875,0.421875,27,64
TE-CCK-3次迭代,-1,0.109375,0.109375,7,64
TE-CCK-3次迭代,0,0.453125,0.453125,29,64
TE-CCK-3次迭代,1,0.203125,0.203125,13,64
TE-CCK-3次迭代,2,0.109375,0.109375,7,64
TE-CCK-3次迭代,3,0.53125,0.53125,34,64
TE-CCK-3次迭代,4,0,0.0078125,0,64
TE-CCK-3次迭代,5,0.046875,0.046875,3,64
TE-CCK-3次迭代,6,0,0.0078125,0,64
TE-CCK-3次迭代,7,0,0.0078125,0,64
TE-CCK-3次迭代,8,0,0.0078125,0,64
TE-CCK-3次迭代,9,0,0.0078125,0,64
TE-CCK-3次迭代,10,0,0.0078125,0,64
TE-CCK-4次迭代,-5,0.421875,0.421875,27,64
TE-CCK-4次迭代,-4,0.375,0.375,24,64
TE-CCK-4次迭代,-3,0.359375,0.359375,23,64
TE-CCK-4次迭代,-2,0.40625,0.40625,26,64
TE-CCK-4次迭代,-1,0.09375,0.09375,6,64
TE-CCK-4次迭代,0,0.4375,0.4375,28,64
TE-CCK-4次迭代,1,0.234375,0.234375,15,64
TE-CCK-4次迭代,2,0.078125,0.078125,5,64
TE-CCK-4次迭代,3,0.46875,0.46875,30,64
TE-CCK-4次迭代,4,0,0.0078125,0,64
TE-CCK-4次迭代,5,0.046875,0.046875,3,64
TE-CCK-4次迭代,6,0,0.0078125,0,64
TE-CCK-4次迭代,7,0,0.0078125,0,64
TE-CCK-4次迭代,8,0,0.0078125,0,64
TE-CCK-4次迭代,9,0,0.0078125,0,64
TE-CCK-4次迭代,10,0,0.0078125,0,64
DSSS-2,-5,0.34375,0.34375,44,128
DSSS-2,-4,0.234375,0.234375,30,128
DSSS-2,-3,0.234375,0.234375,30,128
DSSS-2,-2,0.25,0.25,32,128
DSSS-2,-1,0.2109375,0.2109375,27,128
DSSS-2,0,0.171875,0.171875,22,128
DSSS-2,1,0.1171875,0.1171875,15,128
DSSS-2,2,0.1171875,0.1171875,15,128
DSSS-2,3,0.0859375,0.0859375,11,128
DSSS-2,4,0.2109375,0.2109375,27,128
DSSS-2,5,0.1015625,0.1015625,13,128
DSSS-2,6,0.1015625,0.1015625,13,128
DSSS-2,7,0.015625,0.015625,2,128
DSSS-2,8,0.0234375,0.0234375,3,128
DSSS-2,9,0.0234375,0.0234375,3,128
DSSS-2,10,0.0078125,0.0078125,1,128
DSSS-4,-5,0.3125,0.3125,40,128
DSSS-4,-4,0.2578125,0.2578125,33,128
DSSS-4,-3,0.171875,0.171875,22,128
DSSS-4,-2,0.1875,0.1875,24,128
DSSS-4,-1,0.1484375,0.1484375,19,128
DSSS-4,0,0.109375,0.109375,14,128
DSSS-4,1,0.0546875,0.0546875,7,128
DSSS-4,2,0.046875,0.046875,6,128
DSSS-4,3,0.0625,0.0625,8,128
DSSS-4,4,0.0390625,0.0390625,5,128
DSSS-4,5,0.015625,0.015625,2,128
DSSS-4,6,0.015625,0.015625,2,128
DSSS-4,7,0,0.00390625,0,128
DSSS-4,8,0,0.00390625,0,128
DSSS-4,9,0,0.00390625,0,128
DSSS-4,10,0,0.00390625,0,128
DSSS-8,-5,0.2109375,0.2109375,27,128
DSSS-8,-4,0.1875,0.1875,24,128
DSSS-8,-3,0.125,0.125,16,128
DSSS-8,-2,0.171875,0.171875,22,128
DSSS-8,-1,0.09375,0.09375,12,128
DSSS-8,0,0.1171875,0.1171875,15,128
DSSS-8,1,0.0625,0.0625,8,128
DSSS-8,2,0.0390625,0.0390625,5,128
DSSS-8,3,0.03125,0.03125,4,128
DSSS-8,4,0.0078125,0.0078125,1,128
DSSS-8,5,0.015625,0.015625,2,128
DSSS-8,6,0.0078125,0.0078125,1,128
DSSS-8,7,0.0078125,0.0078125,1,128
DSSS-8,8,0,0.00390625,0,128
DSSS-8,9,0,0.00390625,0,128
DSSS-8,10,0,0.00390625,0,128
