Method,SNR_dB,BER,DisplayBER,ErrorCount,BitTotal
Rake,-5,0.328125,0.328125,21,64
Rake,-4,0.40625,0.40625,26,64
Rake,-3,0.296875,0.296875,19,64
Rake,-2,0.203125,0.203125,13,64
Rake,-1,0.109375,0.109375,7,64
Rake,0,0.203125,0.203125,13,64
Rake,1,0.15625,0.15625,10,64
Rake,2,0,0.0078125,0,64
Rake,3,0.125,0.125,8,64
Rake,4,0.0625,0.0625,4,64
Rake,5,0.0625,0.0625,4,64
Rake,6,0.109375,0.109375,7,64
Rake,7,0,0.0078125,0,64
Rake,8,0,0.0078125,0,64
Rake,9,0,0.0078125,0,64
Rake,10,0.0625,0.0625,4,64
Rake-DFE,-5,0.484375,0.484375,31,64
Rake-DFE,-4,0.40625,0.40625,26,64
Rake-DFE,-3,0.578125,0.578125,37,64
Rake-DFE,-2,0.34375,0.34375,22,64
Rake-DFE,-1,0.1875,0.1875,12,64
Rake-DFE,0,0.171875,0.171875,11,64
Rake-DFE,1,0.171875,0.171875,11,64
Rake-DFE,2,0,0.0078125,0,64
Rake-DFE,3,0.140625,0.140625,9,64
Rake-DFE,4,0,0.0078125,0,64
Rake-DFE,5,0.046875,0.046875,3,64
Rake-DFE,6,0,0.0078125,0,64
Rake-DFE,7,0,0.0078125,0,64
Rake-DFE,8,0,0.0078125,0,64
Rake-DFE,9,0,0.0078125,0,64
Rake-DFE,10,0,0.0078125,0,64
BiDFE（1次迭代）,-5,0.375,0.375,24,64
BiDFE（1次迭代）,-4,0.359375,0.359375,23,64
BiDFE（1次迭代）,-3,0.375,0.375,24,64
BiDFE（1次迭代）,-2,0.34375,0.34375,22,64
BiDFE（1次迭代）,-1,0.109375,0.109375,7,64
BiDFE（1次迭代）,0,0.125,0.125,8,64
BiDFE（1次迭代）,1,0.15625,0.15625,10,64
BiDFE（1次迭代）,2,0,0.0078125,0,64
BiDFE（1次迭代）,3,0.03125,0.03125,2,64
BiDFE（1次迭代）,4,0,0.0078125,0,64
BiDFE（1次迭代）,5,0,0.0078125,0,64
BiDFE（1次迭代）,6,0,0.0078125,0,64
BiDFE（1次迭代）,7,0,0.0078125,0,64
BiDFE（1次迭代）,8,0,0.0078125,0,64
BiDFE（1次迭代）,9,0,0.0078125,0,64
BiDFE（1次迭代）,10,0,0.0078125,0,64
BiDFE（2次迭代）,-5,0.390625,0.390625,25,64
BiDFE（2次迭代）,-4,0.421875,0.421875,27,64
BiDFE（2次迭代）,-3,0.4375,0.4375,28,64
BiDFE（2次迭代）,-2,0.328125,0.328125,21,64
BiDFE（2次迭代）,-1,0.078125,0.078125,5,64
BiDFE（2次迭代）,0,0.125,0.125,8,64
BiDFE（2次迭代）,1,0.140625,0.140625,9,64
BiDFE（2次迭代）,2,0,0.0078125,0,64
BiDFE（2次迭代）,3,0.109375,0.109375,7,64
BiDFE（2次迭代）,4,0,0.0078125,0,64
BiDFE（2次迭代）,5,0,0.0078125,0,64
BiDFE（2次迭代）,6,0,0.0078125,0,64
BiDFE（2次迭代）,7,0,0.0078125,0,64
BiDFE（2次迭代）,8,0,0.0078125,0,64
BiDFE（2次迭代）,9,0,0.0078125,0,64
BiDFE（2次迭代）,10,0,0.0078125,0,64
TR-Diversity（1次迭代）,-5,0.390625,0.390625,25,64
TR-Diversity（1次迭代）,-4,0.40625,0.40625,26,64
TR-Diversity（1次迭代）,-3,0.4375,0.4375,28,64
TR-Diversity（1次迭代）,-2,0.390625,0.390625,25,64
TR-Diversity（1次迭代）,-1,0.078125,0.078125,5,64
TR-Diversity（1次迭代）,0,0.125,0.125,8,64
TR-Diversity（1次迭代）,1,0.140625,0.140625,9,64
TR-Diversity（1次迭代）,2,0,0.0078125,0,64
TR-Diversity（1次迭代）,3,0.109375,0.109375,7,64
TR-Diversity（1次迭代）,4,0,0.0078125,0,64
TR-Diversity（1次迭代）,5,0,0.0078125,0,64
TR-Diversity（1次迭代）,6,0,0.0078125,0,64
TR-Diversity（1次迭代）,7,0,0.0078125,0,64
TR-Diversity（1次迭代）,8,0,0.0078125,0,64
TR-Diversity（1次迭代）,9,0,0.0078125,0,64
TR-Diversity（1次迭代）,10,0,0.0078125,0,64
TR-Diversity（2次迭代）,-5,0.328125,0.328125,21,64
TR-Diversity（2次迭代）,-4,0.21875,0.21875,14,64
TR-Diversity（2次迭代）,-3,0.21875,0.21875,14,64
TR-Diversity（2次迭代）,-2,0.125,0.125,8,64
TR-Diversity（2次迭代）,-1,0.0625,0.0625,4,64
TR-Diversity（2次迭代）,0,0.03125,0.03125,2,64
TR-Diversity（2次迭代）,1,0,0.0078125,0,64
TR-Diversity（2次迭代）,2,0,0.0078125,0,64
TR-Diversity（2次迭代）,3,0,0.0078125,0,64
TR-Diversity（2次迭代）,4,0,0.0078125,0,64
TR-Diversity（2次迭代）,5,0,0.0078125,0,64
TR-Diversity（2次迭代）,6,0,0.0078125,0,64
TR-Diversity（2次迭代）,7,0,0.0078125,0,64
TR-Diversity（2次迭代）,8,0,0.0078125,0,64
TR-Diversity（2次迭代）,9,0,0.0078125,0,64
TR-Diversity（2次迭代）,10,0,0.0078125,0,64
RSSE,-5,0.4375,0.4375,14,32
RSSE,-4,0.5625,0.5625,18,32
RSSE,-3,0.5625,0.5625,18,32
RSSE,-2,0.3125,0.3125,10,32
RSSE,-1,0.40625,0.40625,13,32
RSSE,0,0.46875,0.46875,15,32
RSSE,1,0.375,0.375,12,32
RSSE,2,0.3125,0.3125,10,32
RSSE,3,0.4375,0.4375,14,32
RSSE,4,0.40625,0.40625,13,32
RSSE,5,0.5625,0.5625,18,32
RSSE,6,0.125,0.125,4,32
RSSE,7,0.5625,0.5625,18,32
RSSE,8,0.09375,0.09375,3,32
RSSE,9,0,0.015625,0,32
RSSE,10,0.03125,0.03125,1,32
TE-CCK-无迭代,-5,0.4375,0.4375,28,64
TE-CCK-无迭代,-4,0.359375,0.359375,23,64
TE-CCK-无迭代,-3,0.390625,0.390625,25,64
TE-CCK-无迭代,-2,0.375,0.375,24,64
TE-CCK-无迭代,-1,0.15625,0.15625,10,64
TE-CCK-无迭代,0,0.4375,0.4375,28,64
TE-CCK-无迭代,1,0.203125,0.203125,13,64
TE-CCK-无迭代,2,0.15625,0.15625,10,64
TE-CCK-无迭代,3,0.453125,0.453125,29,64
TE-CCK-无迭代,4,0.1875,0.1875,12,64
TE-CCK-无迭代,5,0.078125,0.078125,5,64
TE-CCK-无迭代,6,0.234375,0.234375,15,64
TE-CCK-无迭代,7,0,0.0078125,0,64
TE-CCK-无迭代,8,0,0.0078125,0,64
TE-CCK-无迭代,9,0,0.0078125,0,64
TE-CCK-无迭代,10,0,0.0078125,0,64
TE-CCK-1次迭代,-5,0.4375,0.4375,28,64
TE-CCK-1次迭代,-4,0.375,0.375,24,64
TE-CCK-1次迭代,-3,0.359375,0.359375,23,64
TE-CCK-1次迭代,-2,0.390625,0.390625,25,64
TE-CCK-1次迭代,-1,0.125,0.125,8,64
TE-CCK-1次迭代,0,0.46875,0.46875,30,64
TE-CCK-1次迭代,1,0.234375,0.234375,15,64
TE-CCK-1次迭代,2,0.140625,0.140625,9,64
TE-CCK-1次迭代,3,0.53125,0.53125,34,64
TE-CCK-1次迭代,4,0.109375,0.109375,7,64
TE-CCK-1次迭代,5,0.046875,0.046875,3,64
TE-CCK-1次迭代,6,0.0625,0.0625,4,64
TE-CCK-1次迭代,7,0,0.0078125,0,64
TE-CCK-1次迭代,8,0,0.0078125,0,64
