Method,SNR_dB,BER,DisplayBER,ErrorCount,BitTotal
CCK-Rake,-5,0.44140625,0.44140625,678,1536
CCK-Rake,-4,0.45703125,0.45703125,702,1536
CCK-Rake,-3,0.425130208333333,0.425130208333333,653,1536
CCK-Rake,-2,0.401041666666667,0.401041666666667,616,1536
CCK-Rake,-1,0.395182291666667,0.395182291666667,607,1536
CCK-Rake,0,0.330078125,0.330078125,507,1536
CCK-Rake,1,0.291015625,0.291015625,447,1536
CCK-Rake,2,0.25,0.25,384,1536
CCK-Rake,3,0.24609375,0.24609375,378,1536
CCK-Rake,4,0.156901041666667,0.156901041666667,241,1536
CCK-Rake,5,0.110026041666667,0.110026041666667,169,1536
CCK-Rake,6,0.0494791666666667,0.0494791666666667,76,1536
CCK-Rake,7,0.0423177083333333,0.0423177083333333,65,1536
CCK-Rake,8,0.0123697916666667,0.0123697916666667,19,1536
CCK-Rake,9,0,0.000325520833333333,0,1536
CCK-Rake,10,0.00455729166666667,0.00455729166666667,7,1536
TE-CCK-无迭代,-5,0.428385416666667,0.428385416666667,658,1536
TE-CCK-无迭代,-4,0.422526041666667,0.422526041666667,649,1536
TE-CCK-无迭代,-3,0.416666666666667,0.416666666666667,640,1536
TE-CCK-无迭代,-2,0.380859375,0.380859375,585,1536
TE-CCK-无迭代,-1,0.373046875,0.373046875,573,1536
TE-CCK-无迭代,0,0.334635416666667,0.334635416666667,514,1536
TE-CCK-无迭代,1,0.306640625,0.306640625,471,1536
TE-CCK-无迭代,2,0.283203125,0.283203125,435,1536
TE-CCK-无迭代,3,0.216145833333333,0.216145833333333,332,1536
TE-CCK-无迭代,4,0.111328125,0.111328125,171,1536
TE-CCK-无迭代,5,0.078125,0.078125,120,1536
TE-CCK-无迭代,6,0.0182291666666667,0.0182291666666667,28,1536
TE-CCK-无迭代,7,0.00520833333333333,0.00520833333333333,8,1536
TE-CCK-无迭代,8,0,0.000325520833333333,0,1536
TE-CCK-无迭代,9,0,0.000325520833333333,0,1536
TE-CCK-无迭代,10,0,0.000325520833333333,0,1536
TE-CCK-1次迭代,-5,0.434895833333333,0.434895833333333,668,1536
TE-CCK-1次迭代,-4,0.421875,0.421875,648,1536
