Method,SNR_dB,BER,DisplayBER,ErrorCount,BitTotal
Rake,-5,0.381076388888889,0.381076388888889,1756,4608
Rake,-4,0.351996527777778,0.351996527777778,1622,4608
Rake,-3,0.32421875,0.32421875,1494,4608
Rake,-2,0.292534722222222,0.292534722222222,1348,4608
Rake,-1,0.236979166666667,0.236979166666667,1092,4608
Rake,0,0.22265625,0.22265625,1026,4608
Rake,1,0.166883680555556,0.166883680555556,769,4608
Rake,2,0.122178819444444,0.122178819444444,563,4608
Rake,3,0.107855902777778,0.107855902777778,497,4608
Rake,4,0.0883246527777778,0.0883246527777778,407,4608
Rake,5,0.056640625,0.056640625,261,4608
Rake,6,0.0434027777777778,0.0434027777777778,200,4608
Rake,7,0.0308159722222222,0.0308159722222222,142,4608
Rake,8,0.0219184027777778,0.0219184027777778,101,4608
Rake,9,0.0180121527777778,0.0180121527777778,83,4608
Rake,10,0.009765625,0.009765625,45,4608
Rake-DFE,-5,0.408637152777778,0.408637152777778,1883,4608
Rake-DFE,-4,0.380859375,0.380859375,1755,4608
Rake-DFE,-3,0.358723958333333,0.358723958333333,1653,4608
Rake-DFE,-2,0.334201388888889,0.334201388888889,1540,4608
Rake-DFE,-1,0.284288194444444,0.284288194444444,1310,4608
Rake-DFE,0,0.241319444444444,0.241319444444444,1112,4608
Rake-DFE,1,0.181857638888889,0.181857638888889,838,4608
Rake-DFE,2,0.116753472222222,0.116753472222222,538,4608
Rake-DFE,3,0.078125,0.078125,360,4608
Rake-DFE,4,0.03515625,0.03515625,162,4608
Rake-DFE,5,0.0154079861111111,0.0154079861111111,71,4608
Rake-DFE,6,0.00368923611111111,0.00368923611111111,17,4608
Rake-DFE,7,0.00390625,0.00390625,18,4608
Rake-DFE,8,0.00130208333333333,0.00130208333333333,6,4608
Rake-DFE,9,0,0.000108506944444444,0,4608
Rake-DFE,10,0,0.000108506944444444,0,4608
BiDFE（1次迭代）,-5,0.390190972222222,0.390190972222222,1798,4608
BiDFE（1次迭代）,-4,0.377387152777778,0.377387152777778,1739,4608
