Method,SNR_dB,BER,DisplayBER,ErrorCount,BitTotal
Rake,3,0.130642361111111,0.130642361111111,301,2304
Rake,4,0.0807291666666667,0.0807291666666667,186,2304
Rake,5,0.0464409722222222,0.0464409722222222,107,2304
Rake-DFE,3,0.0802951388888889,0.0802951388888889,185,2304
Rake-DFE,4,0.0559895833333333,0.0559895833333333,129,2304
Rake-DFE,5,0.015625,0.015625,36,2304
BiDFE（1次迭代）,3,0.0442708333333333,0.0442708333333333,102,2304
BiDFE（1次迭代）,4,0.0199652777777778,0.0199652777777778,46,2304
BiDFE（1次迭代）,5,0.00607638888888889,0.00607638888888889,14,2304
BiDFE（2次迭代）,3,0.046875,0.046875,108,2304
BiDFE（2次迭代）,4,0.0190972222222222,0.0190972222222222,44,2304
BiDFE（2次迭代）,5,0.00607638888888889,0.00607638888888889,14,2304
TR-Diversity（1次迭代）,3,0.0438368055555556,0.0438368055555556,101,2304
TR-Diversity（1次迭代）,4,0.0208333333333333,0.0208333333333333,48,2304
TR-Diversity（1次迭代）,5,0.00607638888888889,0.00607638888888889,14,2304
TR-Diversity（2次迭代）,3,0.0447048611111111,0.0447048611111111,103,2304
TR-Diversity（2次迭代）,4,0.0169270833333333,0.0169270833333333,39,2304
TR-Diversity（2次迭代）,5,0.00607638888888889,0.00607638888888889,14,2304
RSSE,3,0.0486111111111111,0.0486111111111111,112,2304
RSSE,4,0.0217013888888889,0.0217013888888889,50,2304
RSSE,5,0.0151909722222222,0.0151909722222222,35,2304
TE-CCK-无迭代,3,0.206163194444444,0.206163194444444,475,2304
TE-CCK-无迭代,4,0.169704861111111,0.169704861111111,391,2304
TE-CCK-无迭代,5,0.0581597222222222,0.0581597222222222,134,2304
TE-CCK-1次迭代,3,0.183159722222222,0.183159722222222,422,2304
TE-CCK-1次迭代,4,0.134982638888889,0.134982638888889,311,2304
TE-CCK-1次迭代,5,0.015625,0.015625,36,2304
TE-CCK-2次迭代,3,0.171006944444444,0.171006944444444,394,2304
TE-CCK-2次迭代,4,0.101996527777778,0.101996527777778,235,2304
TE-CCK-2次迭代,5,0.0138888888888889,0.0138888888888889,32,2304
TE-CCK-3次迭代,3,0.170138888888889,0.170138888888889,392,2304
TE-CCK-3次迭代,4,0.0924479166666667,0.0924479166666667,213,2304
TE-CCK-3次迭代,5,0.0160590277777778,0.0160590277777778,37,2304
TE-CCK-4次迭代,3,0.165798611111111,0.165798611111111,382,2304
TE-CCK-4次迭代,4,0.0885416666666667,0.0885416666666667,204,2304
TE-CCK-4次迭代,5,0.0151909722222222,0.0151909722222222,35,2304
