Method,SNR_dB,FER,DisplayFER,FrameErrorCount,FrameTotal
Rake,3,1,1,12,12
Rake,4,1,1,12,12
Rake,5,1,1,12,12
Rake-DFE,3,1,1,12,12
Rake-DFE,4,1,1,12,12
Rake-DFE,5,0.416666666666667,0.416666666666667,5,12
BiDFE（1次迭代）,3,0.916666666666667,0.916666666666667,11,12
BiDFE（1次迭代）,4,0.75,0.75,9,12
BiDFE（1次迭代）,5,0.25,0.25,3,12
BiDFE（2次迭代）,3,0.916666666666667,0.916666666666667,11,12
BiDFE（2次迭代）,4,0.666666666666667,0.666666666666667,8,12
BiDFE（2次迭代）,5,0.25,0.25,3,12
TR-Diversity（1次迭代）,3,1,1,12,12
TR-Diversity（1次迭代）,4,0.666666666666667,0.666666666666667,8,12
TR-Diversity（1次迭代）,5,0.25,0.25,3,12
TR-Diversity（2次迭代）,3,0.916666666666667,0.916666666666667,11,12
TR-Diversity（2次迭代）,4,0.666666666666667,0.666666666666667,8,12
TR-Diversity（2次迭代）,5,0.25,0.25,3,12
RSSE,3,1,1,12,12
RSSE,4,0.666666666666667,0.666666666666667,8,12
RSSE,5,0.666666666666667,0.666666666666667,8,12
TE-CCK-无迭代,3,1,1,24,24
TE-CCK-无迭代,4,0.916666666666667,0.916666666666667,22,24
TE-CCK-无迭代,5,0.708333333333333,0.708333333333333,17,24
TE-CCK-1次迭代,3,1,1,24,24
TE-CCK-1次迭代,4,0.916666666666667,0.916666666666667,22,24
TE-CCK-1次迭代,5,0.25,0.25,6,24
TE-CCK-2次迭代,3,0.958333333333333,0.958333333333333,23,24
TE-CCK-2次迭代,4,0.791666666666667,0.791666666666667,19,24
TE-CCK-2次迭代,5,0.291666666666667,0.291666666666667,7,24
TE-CCK-3次迭代,3,0.958333333333333,0.958333333333333,23,24
TE-CCK-3次迭代,4,0.75,0.75,18,24
TE-CCK-3次迭代,5,0.208333333333333,0.208333333333333,5,24
TE-CCK-4次迭代,3,0.958333333333333,0.958333333333333,23,24
TE-CCK-4次迭代,4,0.708333333333333,0.708333333333333,17,24
TE-CCK-4次迭代,5,0.25,0.25,6,24
