Method,SNR_dB,BER,DisplayBER,ErrorCount,BitTotal
CCK-Rake,3,0.233940972222222,0.233940972222222,539,2304
CCK-Rake,4,0.154079861111111,0.154079861111111,355,2304
CCK-Rake,5,0.0924479166666667,0.0924479166666667,213,2304
TE-CCK-无迭代,3,0.209635416666667,0.209635416666667,483,2304
TE-CCK-无迭代,4,0.168836805555556,0.168836805555556,389,2304
TE-CCK-无迭代,5,0.0625,0.0625,144,2304
TE-CCK-1次迭代,3,0.189236111111111,0.189236111111111,436,2304
TE-CCK-1次迭代,4,0.146701388888889,0.146701388888889,338,2304
TE-CCK-1次迭代,5,0.0221354166666667,0.0221354166666667,51,2304
TE-CCK-2次迭代,3,0.178819444444444,0.178819444444444,412,2304
TE-CCK-2次迭代,4,0.124131944444444,0.124131944444444,286,2304
TE-CCK-2次迭代,5,0.0160590277777778,0.0160590277777778,37,2304
TE-CCK-3次迭代,3,0.186631944444444,0.186631944444444,430,2304
TE-CCK-3次迭代,4,0.118055555555556,0.118055555555556,272,2304
TE-CCK-3次迭代,5,0.01953125,0.01953125,45,2304
TE-CCK-4次迭代,3,0.181857638888889,0.181857638888889,419,2304
TE-CCK-4次迭代,4,0.106770833333333,0.106770833333333,246,2304
TE-CCK-4次迭代,5,0.0199652777777778,0.0199652777777778,46,2304
DSSS-2,3,0.110026041666667,0.110026041666667,507,4608
DSSS-2,4,0.0894097222222222,0.0894097222222222,412,4608
DSSS-2,5,0.0687934027777778,0.0687934027777778,317,4608
DSSS-4,3,0.041015625,0.041015625,189,4608
DSSS-4,4,0.0230034722222222,0.0230034722222222,106,4608
DSSS-4,5,0.013671875,0.013671875,63,4608
DSSS-8,3,0.0355902777777778,0.0355902777777778,164,4608
DSSS-8,4,0.01953125,0.01953125,90,4608
DSSS-8,5,0.00998263888888889,0.00998263888888889,46,4608
