Method,SNR_dB,BER,DisplayBER,ErrorCount,BitTotal
Rake,3,0.130642361111111,0.130642361111111,301,2304
Rake,4,0.0807291666666667,0.0807291666666667,186,2304
Rake,5,0.0464409722222222,0.0464409722222222,107,2304
Rake-DFE,3,0.0802951388888889,0.0802951388888889,185,2304
Rake-DFE,4,0.0559895833333333,0.0559895833333333,129,2304
Rake-DFE,5,0.015625,0.015625,36,2304
BiDFE（1次迭代）,3,0.0442708333333333,0.0442708333333333,102,2304
BiDFE（1次迭代）,4,0.0199652777777778,0.0199652777777778,46,2304
BiDFE（1次迭代）,5,0.00607638888888889,0.00607638888888889,14,2304
BiDFE（2次迭代）,3,0.046875,0.046875,108,2304
BiDFE（2次迭代）,4,0.0190972222222222,0.0190972222222222,44,2304
BiDFE（2次迭代）,5,0.00607638888888889,0.00607638888888889,14,2304
TR-Diversity（1次迭代）,3,0.0438368055555556,0.0438368055555556,101,2304
TR-Diversity（1次迭代）,4,0.0208333333333333,0.0208333333333333,48,2304
TR-Diversity（1次迭代）,5,0.00607638888888889,0.00607638888888889,14,2304
TR-Diversity（2次迭代）,3,0.0447048611111111,0.0447048611111111,103,2304
TR-Diversity（2次迭代）,4,0.0169270833333333,0.0169270833333333,39,2304
TR-Diversity（2次迭代）,5,0.00607638888888889,0.00607638888888889,14,2304
RSSE,3,0.0486111111111111,0.0486111111111111,112,2304
RSSE,4,0.0217013888888889,0.0217013888888889,50,2304
RSSE,5,0.0151909722222222,0.0151909722222222,35,2304
TE-CCK-无迭代,3,0.209635416666667,0.209635416666667,483,2304
TE-CCK-无迭代,4,0.168836805555556,0.168836805555556,389,2304
TE-CCK-无迭代,5,0.0625,0.0625,144,2304
TE-CCK-1次迭代,3,0.189236111111111,0.189236111111111,436,2304
TE-CCK-1次迭代,4,0.146701388888889,0.146701388888889,338,2304
TE-CCK-1次迭代,5,0.0221354166666667,0.0221354166666667,51,2304
TE-CCK-2次迭代,3,0.178819444444444,0.178819444444444,412,2304
TE-CCK-2次迭代,4,0.124131944444444,0.124131944444444,286,2304
TE-CCK-2次迭代,5,0.0160590277777778,0.0160590277777778,37,2304
TE-CCK-3次迭代,3,0.186631944444444,0.186631944444444,430,2304
TE-CCK-3次迭代,4,0.118055555555556,0.118055555555556,272,2304
TE-CCK-3次迭代,5,0.01953125,0.01953125,45,2304
TE-CCK-4次迭代,3,0.181857638888889,0.181857638888889,419,2304
TE-CCK-4次迭代,4,0.106770833333333,0.106770833333333,246,2304
TE-CCK-4次迭代,5,0.0199652777777778,0.0199652777777778,46,2304
