Method,SNR_dB,BER,DisplayBER,ErrorCount,BitTotal
CCK-Rake,4,0.211805555555556,0.211805555555556,488,2304
CCK-Rake,5,0.138020833333333,0.138020833333333,318,2304
CCK-Rake,6,0.0868055555555556,0.0868055555555556,200,2304
TE-CCK-无迭代,4,0.172309027777778,0.172309027777778,397,2304
TE-CCK-无迭代,5,0.109809027777778,0.109809027777778,253,2304
TE-CCK-无迭代,6,0.0403645833333333,0.0403645833333333,93,2304
TE-CCK-1次迭代,4,0.132378472222222,0.132378472222222,305,2304
TE-CCK-1次迭代,5,0.0581597222222222,0.0581597222222222,134,2304
TE-CCK-1次迭代,6,0.0151909722222222,0.0151909722222222,35,2304
TE-CCK-2次迭代,4,0.125434027777778,0.125434027777778,289,2304
TE-CCK-2次迭代,5,0.0503472222222222,0.0503472222222222,116,2304
TE-CCK-2次迭代,6,0.0108506944444444,0.0108506944444444,25,2304
TE-CCK-3次迭代,4,0.125868055555556,0.125868055555556,290,2304
TE-CCK-3次迭代,5,0.0455729166666667,0.0455729166666667,105,2304
TE-CCK-3次迭代,6,0.00868055555555556,0.00868055555555556,20,2304
TE-CCK-4次迭代,4,0.124131944444444,0.124131944444444,286,2304
TE-CCK-4次迭代,5,0.0494791666666667,0.0494791666666667,114,2304
TE-CCK-4次迭代,6,0.00824652777777778,0.00824652777777778,19,2304
DSSS-2,4,0.08984375,0.08984375,414,4608
DSSS-2,5,0.0696614583333333,0.0696614583333333,321,4608
DSSS-2,6,0.0523003472222222,0.0523003472222222,241,4608
DSSS-4,4,0.0225694444444444,0.0225694444444444,104,4608
DSSS-4,5,0.009765625,0.009765625,45,4608
DSSS-4,6,0.005859375,0.005859375,27,4608
DSSS-8,4,0.0186631944444444,0.0186631944444444,86,4608
DSSS-8,5,0.00933159722222222,0.00933159722222222,43,4608
DSSS-8,6,0.00542534722222222,0.00542534722222222,25,4608
