Method,SNR_dB,BER,DisplayBER,ErrorCount,BitTotal
Rake,4,0.087890625,0.087890625,405,4608
Rake,5,0.0475260416666667,0.0475260416666667,219,4608
Rake,6,0.0479600694444444,0.0479600694444444,221,4608
Rake-DFE,4,0.0451388888888889,0.0451388888888889,208,4608
Rake-DFE,5,0.0182291666666667,0.0182291666666667,84,4608
Rake-DFE,6,0.00520833333333333,0.00520833333333333,24,4608
BiDFE（1次迭代）,4,0.0230034722222222,0.0230034722222222,106,4608
BiDFE（1次迭代）,5,0.00564236111111111,0.00564236111111111,26,4608
BiDFE（1次迭代）,6,0.000868055555555556,0.000868055555555556,4,4608
BiDFE（2次迭代）,4,0.0225694444444444,0.0225694444444444,104,4608
BiDFE（2次迭代）,5,0.00455729166666667,0.00455729166666667,21,4608
BiDFE（2次迭代）,6,0.000868055555555556,0.000868055555555556,4,4608
TR-Diversity（1次迭代）,4,0.0245225694444444,0.0245225694444444,113,4608
TR-Diversity（1次迭代）,5,0.00499131944444444,0.00499131944444444,23,4608
TR-Diversity（1次迭代）,6,0.000651041666666667,0.000651041666666667,3,4608
TR-Diversity（2次迭代）,4,0.021484375,0.021484375,99,4608
TR-Diversity（2次迭代）,5,0.00390625,0.00390625,18,4608
TR-Diversity（2次迭代）,6,0.000868055555555556,0.000868055555555556,4,4608
RSSE,4,0.021484375,0.021484375,99,4608
RSSE,5,0.0130208333333333,0.0130208333333333,60,4608
RSSE,6,0.00520833333333333,0.00520833333333333,24,4608
TE-CCK-无迭代,4,0.172309027777778,0.172309027777778,397,2304
TE-CCK-无迭代,5,0.109809027777778,0.109809027777778,253,2304
TE-CCK-无迭代,6,0.0403645833333333,0.0403645833333333,93,2304
TE-CCK-1次迭代,4,0.132378472222222,0.132378472222222,305,2304
TE-CCK-1次迭代,5,0.0581597222222222,0.0581597222222222,134,2304
TE-CCK-1次迭代,6,0.0151909722222222,0.0151909722222222,35,2304
TE-CCK-2次迭代,4,0.125434027777778,0.125434027777778,289,2304
TE-CCK-2次迭代,5,0.0503472222222222,0.0503472222222222,116,2304
TE-CCK-2次迭代,6,0.0108506944444444,0.0108506944444444,25,2304
TE-CCK-3次迭代,4,0.125868055555556,0.125868055555556,290,2304
TE-CCK-3次迭代,5,0.0455729166666667,0.0455729166666667,105,2304
TE-CCK-3次迭代,6,0.00868055555555556,0.00868055555555556,20,2304
TE-CCK-4次迭代,4,0.124131944444444,0.124131944444444,286,2304
TE-CCK-4次迭代,5,0.0494791666666667,0.0494791666666667,114,2304
TE-CCK-4次迭代,6,0.00824652777777778,0.00824652777777778,19,2304
