Method,SNR_dB,FER,DisplayFER,FrameErrorCount,FrameTotal
Rake,4,1,1,24,24
Rake,5,1,1,24,24
Rake,6,1,1,24,24
Rake-DFE,4,0.916666666666667,0.916666666666667,22,24
Rake-DFE,5,0.458333333333333,0.458333333333333,11,24
Rake-DFE,6,0.291666666666667,0.291666666666667,7,24
BiDFE（1次迭代）,4,0.791666666666667,0.791666666666667,19,24
BiDFE（1次迭代）,5,0.25,0.25,6,24
BiDFE（1次迭代）,6,0.0833333333333333,0.0833333333333333,2,24
BiDFE（2次迭代）,4,0.75,0.75,18,24
BiDFE（2次迭代）,5,0.208333333333333,0.208333333333333,5,24
BiDFE（2次迭代）,6,0.0833333333333333,0.0833333333333333,2,24
TR-Diversity（1次迭代）,4,0.75,0.75,18,24
TR-Diversity（1次迭代）,5,0.25,0.25,6,24
TR-Diversity（1次迭代）,6,0.0833333333333333,0.0833333333333333,2,24
TR-Diversity（2次迭代）,4,0.75,0.75,18,24
TR-Diversity（2次迭代）,5,0.208333333333333,0.208333333333333,5,24
TR-Diversity（2次迭代）,6,0.0833333333333333,0.0833333333333333,2,24
RSSE,4,0.583333333333333,0.583333333333333,14,24
RSSE,5,0.541666666666667,0.541666666666667,13,24
RSSE,6,0.208333333333333,0.208333333333333,5,24
TE-CCK-无迭代,4,1,1,24,24
TE-CCK-无迭代,5,0.916666666666667,0.916666666666667,22,24
TE-CCK-无迭代,6,0.625,0.625,15,24
TE-CCK-1次迭代,4,0.791666666666667,0.791666666666667,19,24
TE-CCK-1次迭代,5,0.458333333333333,0.458333333333333,11,24
TE-CCK-1次迭代,6,0.166666666666667,0.166666666666667,4,24
TE-CCK-2次迭代,4,0.541666666666667,0.541666666666667,13,24
TE-CCK-2次迭代,5,0.291666666666667,0.291666666666667,7,24
TE-CCK-2次迭代,6,0.0416666666666667,0.0416666666666667,1,24
TE-CCK-3次迭代,4,0.5,0.5,12,24
TE-CCK-3次迭代,5,0.291666666666667,0.291666666666667,7,24
TE-CCK-3次迭代,6,0.0416666666666667,0.0416666666666667,1,24
TE-CCK-4次迭代,4,0.5,0.5,12,24
TE-CCK-4次迭代,5,0.25,0.25,6,24
TE-CCK-4次迭代,6,0.0416666666666667,0.0416666666666667,1,24
