Method,SNR_dB,BER,DisplayBER,ErrorCount,BitTotal
CCK-Rake,3,0.243055555555556,0.243055555555556,560,2304
CCK-Rake,4,0.165364583333333,0.165364583333333,381,2304
CCK-Rake,5,0.0863715277777778,0.0863715277777778,199,2304
TE-CCK-无迭代,3,0.206163194444444,0.206163194444444,475,2304
TE-CCK-无迭代,4,0.169704861111111,0.169704861111111,391,2304
TE-CCK-无迭代,5,0.0581597222222222,0.0581597222222222,134,2304
TE-CCK-1次迭代,3,0.183159722222222,0.183159722222222,422,2304
TE-CCK-1次迭代,4,0.134982638888889,0.134982638888889,311,2304
TE-CCK-1次迭代,5,0.015625,0.015625,36,2304
TE-CCK-2次迭代,3,0.171006944444444,0.171006944444444,394,2304
TE-CCK-2次迭代,4,0.101996527777778,0.101996527777778,235,2304
TE-CCK-2次迭代,5,0.0138888888888889,0.0138888888888889,32,2304
TE-CCK-3次迭代,3,0.170138888888889,0.170138888888889,392,2304
TE-CCK-3次迭代,4,0.0924479166666667,0.0924479166666667,213,2304
TE-CCK-3次迭代,5,0.0160590277777778,0.0160590277777778,37,2304
TE-CCK-4次迭代,3,0.165798611111111,0.165798611111111,382,2304
TE-CCK-4次迭代,4,0.0885416666666667,0.0885416666666667,204,2304
TE-CCK-4次迭代,5,0.0151909722222222,0.0151909722222222,35,2304
DSSS-2,3,0.110243055555556,0.110243055555556,508,4608
DSSS-2,4,0.087890625,0.087890625,405,4608
DSSS-2,5,0.0670572916666667,0.0670572916666667,309,4608
DSSS-4,3,0.0397135416666667,0.0397135416666667,183,4608
DSSS-4,4,0.0234375,0.0234375,108,4608
DSSS-4,5,0.013671875,0.013671875,63,4608
DSSS-8,3,0.03515625,0.03515625,162,4608
DSSS-8,4,0.0180121527777778,0.0180121527777778,83,4608
DSSS-8,5,0.00889756944444444,0.00889756944444444,41,4608
