Method,SNR_dB,FER,DisplayFER,FrameErrorCount,FrameTotal
Rake,0,1,1,1,1
Rake,5,1,1,1,1
Rake-DFE,0,1,1,1,1
Rake-DFE,5,0,0.5,0,1
BiDFE（1次迭代）,0,1,1,1,1
BiDFE（1次迭代）,5,0,0.5,0,1
BiDFE（2次迭代）,0,1,1,1,1
BiDFE（2次迭代）,5,0,0.5,0,1
TR-Diversity（1次迭代）,0,0,0.5,0,1
TR-Diversity（1次迭代）,5,0,0.5,0,1
TR-Diversity（2次迭代）,0,0,0.5,0,1
TR-Diversity（2次迭代）,5,0,0.5,0,1
RSSE,0,1,1,1,1
RSSE,5,0,0.5,0,1
TE-CCK-无迭代,0,1,1,1,1
TE-CCK-无迭代,5,1,1,1,1
TE-CCK-1次迭代,0,1,1,1,1
TE-CCK-1次迭代,5,1,1,1,1
TE-CCK-2次迭代,0,1,1,1,1
TE-CCK-2次迭代,5,0,0.5,0,1
TE-CCK-3次迭代,0,1,1,1,1
TE-CCK-3次迭代,5,0,0.5,0,1
TE-CCK-4次迭代,0,1,1,1,1
TE-CCK-4次迭代,5,0,0.5,0,1
