Method,SNR_dB,FER,DisplayFER,FrameErrorCount,FrameTotal
Rake,-5,1,1,24,24
Rake,-4,1,1,24,24
Rake,-3,1,1,24,24
Rake,-2,1,1,24,24
Rake,-1,1,1,24,24
Rake,0,1,1,24,24
Rake,1,1,1,24,24
Rake,2,1,1,24,24
Rake,3,1,1,24,24
Rake,4,1,1,24,24
Rake,5,0.875,0.875,21,24
Rake,6,0.916666666666667,0.916666666666667,22,24
Rake,7,0.833333333333333,0.833333333333333,20,24
Rake,8,0.625,0.625,15,24
Rake,9,0.583333333333333,0.583333333333333,14,24
Rake,10,0.333333333333333,0.333333333333333,8,24
Rake-DFE,-5,1,1,24,24
Rake-DFE,-4,1,1,24,24
Rake-DFE,-3,1,1,24,24
Rake-DFE,-2,1,1,24,24
Rake-DFE,-1,1,1,24,24
Rake-DFE,0,1,1,24,24
Rake-DFE,1,1,1,24,24
Rake-DFE,2,1,1,24,24
Rake-DFE,3,1,1,24,24
Rake-DFE,4,0.75,0.75,18,24
Rake-DFE,5,0.458333333333333,0.458333333333333,11,24
Rake-DFE,6,0.25,0.25,6,24
Rake-DFE,7,0.0833333333333333,0.0833333333333333,2,24
Rake-DFE,8,0.0833333333333333,0.0833333333333333,2,24
Rake-DFE,9,0,0.0208333333333333,0,24
Rake-DFE,10,0,0.0208333333333333,0,24
BiDFE（1次迭代）,-5,1,1,24,24
BiDFE（1次迭代）,-4,1,1,24,24
BiDFE（1次迭代）,-3,1,1,24,24
BiDFE（1次迭代）,-2,1,1,24,24
BiDFE（1次迭代）,-1,1,1,24,24
BiDFE（1次迭代）,0,1,1,24,24
BiDFE（1次迭代）,1,1,1,24,24
BiDFE（1次迭代）,2,1,1,24,24
BiDFE（1次迭代）,3,0.916666666666667,0.916666666666667,22,24
BiDFE（1次迭代）,4,0.708333333333333,0.708333333333333,17,24
BiDFE（1次迭代）,5,0.291666666666667,0.291666666666667,7,24
BiDFE（1次迭代）,6,0.125,0.125,3,24
BiDFE（1次迭代）,7,0.0416666666666667,0.0416666666666667,1,24
BiDFE（1次迭代）,8,0,0.0208333333333333,0,24
BiDFE（1次迭代）,9,0,0.0208333333333333,0,24
BiDFE（1次迭代）,10,0,0.0208333333333333,0,24
BiDFE（2次迭代）,-5,1,1,24,24
BiDFE（2次迭代）,-4,1,1,24,24
BiDFE（2次迭代）,-3,1,1,24,24
BiDFE（2次迭代）,-2,1,1,24,24
BiDFE（2次迭代）,-1,1,1,24,24
BiDFE（2次迭代）,0,1,1,24,24
BiDFE（2次迭代）,1,1,1,24,24
BiDFE（2次迭代）,2,1,1,24,24
BiDFE（2次迭代）,3,0.916666666666667,0.916666666666667,22,24
BiDFE（2次迭代）,4,0.708333333333333,0.708333333333333,17,24
BiDFE（2次迭代）,5,0.291666666666667,0.291666666666667,7,24
BiDFE（2次迭代）,6,0.0833333333333333,0.0833333333333333,2,24
BiDFE（2次迭代）,7,0.0416666666666667,0.0416666666666667,1,24
BiDFE（2次迭代）,8,0,0.0208333333333333,0,24
BiDFE（2次迭代）,9,0,0.0208333333333333,0,24
BiDFE（2次迭代）,10,0,0.0208333333333333,0,24
TR-Diversity（1次迭代）,-5,1,1,24,24
TR-Diversity（1次迭代）,-4,1,1,24,24
TR-Diversity（1次迭代）,-3,1,1,24,24
TR-Diversity（1次迭代）,-2,1,1,24,24
TR-Diversity（1次迭代）,-1,1,1,24,24
TR-Diversity（1次迭代）,0,1,1,24,24
TR-Diversity（1次迭代）,1,1,1,24,24
TR-Diversity（1次迭代）,2,1,1,24,24
TR-Diversity（1次迭代）,3,0.958333333333333,0.958333333333333,23,24
TR-Diversity（1次迭代）,4,0.833333333333333,0.833333333333333,20,24
TR-Diversity（1次迭代）,5,0.416666666666667,0.416666666666667,10,24
TR-Diversity（1次迭代）,6,0.125,0.125,3,24
TR-Diversity（1次迭代）,7,0.0416666666666667,0.0416666666666667,1,24
TR-Diversity（1次迭代）,8,0.0416666666666667,0.0416666666666667,1,24
TR-Diversity（1次迭代）,9,0,0.0208333333333333,0,24
TR-Diversity（1次迭代）,10,0,0.0208333333333333,0,24
TR-Diversity（2次迭代）,-5,1,1,24,24
TR-Diversity（2次迭代）,-4,1,1,24,24
TR-Diversity（2次迭代）,-3,1,1,24,24
TR-Diversity（2次迭代）,-2,1,1,24,24
TR-Diversity（2次迭代）,-1,1,1,24,24
TR-Diversity（2次迭代）,0,1,1,24,24
TR-Diversity（2次迭代）,1,1,1,24,24
TR-Diversity（2次迭代）,2,1,1,24,24
TR-Diversity（2次迭代）,3,0.875,0.875,21,24
TR-Diversity（2次迭代）,4,0.666666666666667,0.666666666666667,16,24
TR-Diversity（2次迭代）,5,0.291666666666667,0.291666666666667,7,24
TR-Diversity（2次迭代）,6,0.0833333333333333,0.0833333333333333,2,24
TR-Diversity（2次迭代）,7,0.0416666666666667,0.0416666666666667,1,24
TR-Diversity（2次迭代）,8,0,0.0208333333333333,0,24
TR-Diversity（2次迭代）,9,0,0.0208333333333333,0,24
TR-Diversity（2次迭代）,10,0,0.0208333333333333,0,24
RSSE,-5,1,1,24,24
RSSE,-4,1,1,24,24
RSSE,-3,1,1,24,24
RSSE,-2,1,1,24,24
RSSE,-1,1,1,24,24
RSSE,0,1,1,24,24
RSSE,1,1,1,24,24
RSSE,2,1,1,24,24
RSSE,3,0.875,0.875,21,24
RSSE,4,0.666666666666667,0.666666666666667,16,24
RSSE,5,0.291666666666667,0.291666666666667,7,24
RSSE,6,0.0416666666666667,0.0416666666666667,1,24
RSSE,7,0.0416666666666667,0.0416666666666667,1,24
RSSE,8,0,0.0208333333333333,0,24
RSSE,9,0,0.0208333333333333,0,24
RSSE,10,0,0.0208333333333333,0,24
TE-CCK-无迭代,-5,1,1,24,24
TE-CCK-无迭代,-4,1,1,24,24
TE-CCK-无迭代,-3,1,1,24,24
TE-CCK-无迭代,-2,1,1,24,24
TE-CCK-无迭代,-1,1,1,24,24
TE-CCK-无迭代,0,1,1,24,24
TE-CCK-无迭代,1,1,1,24,24
TE-CCK-无迭代,2,1,1,24,24
TE-CCK-无迭代,3,1,1,24,24
TE-CCK-无迭代,4,1,1,24,24
TE-CCK-无迭代,5,0.875,0.875,21,24
TE-CCK-无迭代,6,0.458333333333333,0.458333333333333,11,24
TE-CCK-无迭代,7,0.208333333333333,0.208333333333333,5,24
TE-CCK-无迭代,8,0.0416666666666667,0.0416666666666667,1,24
TE-CCK-无迭代,9,0,0.0208333333333333,0,24
TE-CCK-无迭代,10,0,0.0208333333333333,0,24
