Method,EbN0_dB,BER,DisplayBER,ErrorCount,BitTotal
"QPSK, 1次迭代",-4,0.21661376953125,0.21661376953125,28392,131072
"QPSK, 1次迭代",-2,0.167335510253906,0.167335510253906,21933,131072
"QPSK, 1次迭代",0,0.121963500976562,0.121963500976562,15986,131072
"QPSK, 1次迭代",2,0.0819091796875,0.0819091796875,10736,131072
"QPSK, 1次迭代",4,0.0478363037109375,0.0478363037109375,6270,131072
"QPSK, 1次迭代",6,0.024017333984375,0.024017333984375,3148,131072
"QPSK, 1次迭代",8,0.008575439453125,0.008575439453125,1124,131072
"QPSK, 1次迭代",10,0.00225067138671875,0.00225067138671875,295,131072
"QPSK, 1次迭代",12,0.00031280517578125,0.00031280517578125,41,131072
"QPSK, 1次迭代",14,2.288818359375e-05,2.288818359375e-05,3,131072
"CCK-disjoint, 1次迭代",-4,0.345687866210938,0.345687866210938,22655,65536
"CCK-disjoint, 1次迭代",-2,0.2650146484375,0.2650146484375,17368,65536
"CCK-disjoint, 1次迭代",0,0.184295654296875,0.184295654296875,12078,65536
"CCK-disjoint, 1次迭代",2,0.09588623046875,0.09588623046875,6284,65536
"CCK-disjoint, 1次迭代",4,0.04278564453125,0.04278564453125,2804,65536
"CCK-disjoint, 1次迭代",6,0.0132598876953125,0.0132598876953125,869,65536
"CCK-disjoint, 1次迭代",8,0.0029144287109375,0.0029144287109375,191,65536
"CCK-disjoint, 1次迭代",10,0.0006103515625,0.0006103515625,40,65536
"CCK-disjoint, 1次迭代",12,7.62939453125e-05,7.62939453125e-05,5,65536
"CCK-disjoint, 1次迭代",14,0,7.62939453125e-06,0,65536
"CCK-IBDFE, 1次迭代",-4,0.36492919921875,0.36492919921875,23916,65536
"CCK-IBDFE, 1次迭代",-2,0.278717041015625,0.278717041015625,18266,65536
"CCK-IBDFE, 1次迭代",0,0.18304443359375,0.18304443359375,11996,65536
"CCK-IBDFE, 1次迭代",2,0.0830230712890625,0.0830230712890625,5441,65536
"CCK-IBDFE, 1次迭代",4,0.02197265625,0.02197265625,1440,65536
"CCK-IBDFE, 1次迭代",6,0.0028076171875,0.0028076171875,184,65536
"CCK-IBDFE, 1次迭代",8,0.0001068115234375,0.0001068115234375,7,65536
"CCK-IBDFE, 1次迭代",10,0,7.62939453125e-06,0,65536
"CCK-IBDFE, 1次迭代",12,0,7.62939453125e-06,0,65536
"CCK-IBDFE, 1次迭代",14,0,7.62939453125e-06,0,65536
"QPSK, 5次迭代",-4,0.216812133789062,0.216812133789062,28418,131072
"QPSK, 5次迭代",-2,0.166030883789062,0.166030883789062,21762,131072
"QPSK, 5次迭代",0,0.115066528320312,0.115066528320312,15082,131072
"QPSK, 5次迭代",2,0.0685577392578125,0.0685577392578125,8986,131072
"QPSK, 5次迭代",4,0.029052734375,0.029052734375,3808,131072
"QPSK, 5次迭代",6,0.00760650634765625,0.00760650634765625,997,131072
"QPSK, 5次迭代",8,0.00084686279296875,0.00084686279296875,111,131072
"QPSK, 5次迭代",10,6.866455078125e-05,6.866455078125e-05,9,131072
"QPSK, 5次迭代",12,0,3.814697265625e-06,0,131072
"QPSK, 5次迭代",14,0,3.814697265625e-06,0,131072
"CCK-disjoint, 5次迭代",-4,0.35052490234375,0.35052490234375,22972,65536
"CCK-disjoint, 5次迭代",-2,0.26922607421875,0.26922607421875,17644,65536
"CCK-disjoint, 5次迭代",0,0.19036865234375,0.19036865234375,12476,65536
"CCK-disjoint, 5次迭代",2,0.10308837890625,0.10308837890625,6756,65536
"CCK-disjoint, 5次迭代",4,0.0438079833984375,0.0438079833984375,2871,65536
"CCK-disjoint, 5次迭代",6,0.0105133056640625,0.0105133056640625,689,65536
"CCK-disjoint, 5次迭代",8,0.002105712890625,0.002105712890625,138,65536
"CCK-disjoint, 5次迭代",10,0.000213623046875,0.000213623046875,14,65536
"CCK-disjoint, 5次迭代",12,0,7.62939453125e-06,0,65536
"CCK-disjoint, 5次迭代",14,0,7.62939453125e-06,0,65536
"CCK-IBDFE, 5次迭代",-4,0.373809814453125,0.373809814453125,24498,65536
"CCK-IBDFE, 5次迭代",-2,0.292221069335938,0.292221069335938,19151,65536
"CCK-IBDFE, 5次迭代",0,0.195632934570312,0.195632934570312,12821,65536
"CCK-IBDFE, 5次迭代",2,0.087799072265625,0.087799072265625,5754,65536
"CCK-IBDFE, 5次迭代",4,0.0214996337890625,0.0214996337890625,1409,65536
"CCK-IBDFE, 5次迭代",6,0.002410888671875,0.002410888671875,158,65536
"CCK-IBDFE, 5次迭代",8,4.57763671875e-05,4.57763671875e-05,3,65536
"CCK-IBDFE, 5次迭代",10,0,7.62939453125e-06,0,65536
"CCK-IBDFE, 5次迭代",12,0,7.62939453125e-06,0,65536
"CCK-IBDFE, 5次迭代",14,0,7.62939453125e-06,0,65536
