Method,EbN0_dB,BER,DisplayBER,ErrorCount,BitTotal
"N_r = 2, QPSK",-4,0.33349609375,0.33349609375,8196,24576
"N_r = 2, QPSK",-2,0.300008138020833,0.300008138020833,7373,24576
"N_r = 2, QPSK",0,0.262858072916667,0.262858072916667,6460,24576
"N_r = 2, QPSK",2,0.231974283854167,0.231974283854167,5701,24576
"N_r = 2, QPSK",4,0.204833984375,0.204833984375,5034,24576
"N_r = 2, QPSK",6,0.192708333333333,0.192708333333333,4736,24576
"N_r = 2, QPSK",8,0.171142578125,0.171142578125,4206,24576
"N_r = 2, QPSK",10,0.1591796875,0.1591796875,3912,24576
"N_r = 2, QPSK",12,0.1561279296875,0.1561279296875,3837,24576
"N_r = 2, QPSK",14,0.157023111979167,0.157023111979167,3859,24576
"N_r = 2, CCK-IBDFE",-4,0.316292317708333,0.316292317708333,19433,61440
"N_r = 2, CCK-IBDFE",-2,0.212662760416667,0.212662760416667,13066,61440
"N_r = 2, CCK-IBDFE",0,0.11005859375,0.11005859375,6762,61440
"N_r = 2, CCK-IBDFE",2,0.0398763020833333,0.0398763020833333,2450,61440
"N_r = 2, CCK-IBDFE",4,0.01083984375,0.01083984375,666,61440
"N_r = 2, CCK-IBDFE",6,0.00245768229166667,0.00245768229166667,151,61440
"N_r = 2, CCK-IBDFE",8,0.000374348958333333,0.000374348958333333,23,61440
"N_r = 2, CCK-IBDFE",10,0,8.13802083333333e-06,0,61440
"N_r = 2, CCK-IBDFE",12,0,8.13802083333333e-06,0,61440
"N_r = 2, CCK-IBDFE",14,0,8.13802083333333e-06,0,61440
"N_r = 3, QPSK",-4,0.2420654296875,0.2420654296875,5949,24576
"N_r = 3, QPSK",-2,0.1619873046875,0.1619873046875,3981,24576
"N_r = 3, QPSK",0,0.096923828125,0.096923828125,2382,24576
"N_r = 3, QPSK",2,0.0436604817708333,0.0436604817708333,1073,24576
"N_r = 3, QPSK",4,0.0159098307291667,0.0159098307291667,391,24576
"N_r = 3, QPSK",6,0.00358072916666667,0.00358072916666667,88,24576
"N_r = 3, QPSK",8,0.00105794270833333,0.00105794270833333,26,24576
"N_r = 3, QPSK",10,0.000244140625,0.000244140625,6,24576
"N_r = 3, QPSK",12,0,2.03450520833333e-05,0,24576
"N_r = 3, QPSK",14,0,2.03450520833333e-05,0,24576
"N_r = 3, CCK-IBDFE",-4,0.195670572916667,0.195670572916667,12022,61440
"N_r = 3, CCK-IBDFE",-2,0.096142578125,0.096142578125,5907,61440
"N_r = 3, CCK-IBDFE",0,0.0261067708333333,0.0261067708333333,1604,61440
"N_r = 3, CCK-IBDFE",2,0.005322265625,0.005322265625,327,61440
"N_r = 3, CCK-IBDFE",4,0.000423177083333333,0.000423177083333333,26,61440
"N_r = 3, CCK-IBDFE",6,8.13802083333333e-05,8.13802083333333e-05,5,61440
"N_r = 3, CCK-IBDFE",8,0,8.13802083333333e-06,0,61440
"N_r = 3, CCK-IBDFE",10,0,8.13802083333333e-06,0,61440
"N_r = 3, CCK-IBDFE",12,0,8.13802083333333e-06,0,61440
"N_r = 3, CCK-IBDFE",14,0,8.13802083333333e-06,0,61440
"N_r = 4, QPSK",-4,0.193929036458333,0.193929036458333,4766,24576
"N_r = 4, QPSK",-2,0.118937174479167,0.118937174479167,2923,24576
"N_r = 4, QPSK",0,0.0687662760416667,0.0687662760416667,1690,24576
"N_r = 4, QPSK",2,0.0290934244791667,0.0290934244791667,715,24576
"N_r = 4, QPSK",4,0.0120035807291667,0.0120035807291667,295,24576
"N_r = 4, QPSK",6,0.0030517578125,0.0030517578125,75,24576
"N_r = 4, QPSK",8,0.00130208333333333,0.00130208333333333,32,24576
"N_r = 4, QPSK",10,0.0001220703125,0.0001220703125,3,24576
"N_r = 4, QPSK",12,0,2.03450520833333e-05,0,24576
"N_r = 4, QPSK",14,0,2.03450520833333e-05,0,24576
"N_r = 4, CCK-IBDFE",-4,0.13701171875,0.13701171875,8418,61440
"N_r = 4, CCK-IBDFE",-2,0.0465169270833333,0.0465169270833333,2858,61440
"N_r = 4, CCK-IBDFE",0,0.00939127604166667,0.00939127604166667,577,61440
"N_r = 4, CCK-IBDFE",2,0.00143229166666667,0.00143229166666667,88,61440
"N_r = 4, CCK-IBDFE",4,0,8.13802083333333e-06,0,61440
"N_r = 4, CCK-IBDFE",6,0,8.13802083333333e-06,0,61440
"N_r = 4, CCK-IBDFE",8,0,8.13802083333333e-06,0,61440
"N_r = 4, CCK-IBDFE",10,0,8.13802083333333e-06,0,61440
"N_r = 4, CCK-IBDFE",12,0,8.13802083333333e-06,0,61440
"N_r = 4, CCK-IBDFE",14,0,8.13802083333333e-06,0,61440
