Modulation,ChannelScenario,SNR_dB,BER,ErrorCount,BitTotal
GCCK-QPSK-4R,静止信道,0,0,0,64
GCCK-QPSK-4R,静止信道,1,0.078125,5,64
GCCK-QPSK-4R,静止信道,2,0,0,64
GCCK-QPSK-4R,准静止衰落信道,0,0.140625,9,64
GCCK-QPSK-4R,准静止衰落信道,1,0.078125,5,64
GCCK-QPSK-4R,准静止衰落信道,2,0,0,64
GCCK-QPSK-8R,静止信道,0,0.0234375,3,128
GCCK-QPSK-8R,静止信道,1,0,0,128
GCCK-QPSK-8R,静止信道,2,0,0,128
GCCK-QPSK-8R,准静止衰落信道,0,0.0703125,9,128
GCCK-QPSK-8R,准静止衰落信道,1,0,0,128
GCCK-QPSK-8R,准静止衰落信道,2,0,0,128
GCCK-8PSK-12R,静止信道,0,0.25,12,48
GCCK-8PSK-12R,静止信道,1,0.0833333333333333,4,48
GCCK-8PSK-12R,静止信道,2,0.0416666666666667,2,48
GCCK-8PSK-12R,准静止衰落信道,0,0.229166666666667,11,48
GCCK-8PSK-12R,准静止衰落信道,1,0.229166666666667,11,48
GCCK-8PSK-12R,准静止衰落信道,2,0.0625,3,48
