Modulation,ChannelCorrelation,SNR_dB,BER,ErrorCount,BitTotal
GCCK-QPSK-4R,时不变信道,0,0,0,12
GCCK-QPSK-4R,时不变信道,1,0,0,12
GCCK-QPSK-4R,时不变信道,2,0,0,12
GCCK-QPSK-4R,\alpha=0.9999,0,0,0,12
GCCK-QPSK-4R,\alpha=0.9999,1,0,0,12
GCCK-QPSK-4R,\alpha=0.9999,2,0,0,12
GCCK-QPSK-4R,\alpha=0.9995,0,0,0,12
GCCK-QPSK-4R,\alpha=0.9995,1,0.166666666666667,2,12
GCCK-QPSK-4R,\alpha=0.9995,2,0,0,12
GCCK-QPSK-4R,\alpha=0.999,0,0,0,12
GCCK-QPSK-4R,\alpha=0.999,1,0,0,12
GCCK-QPSK-4R,\alpha=0.999,2,0,0,12
GCCK-QPSK-8R,时不变信道,0,0,0,24
GCCK-QPSK-8R,时不变信道,1,0,0,24
GCCK-QPSK-8R,时不变信道,2,0,0,24
GCCK-QPSK-8R,\alpha=0.9999,0,0,0,24
GCCK-QPSK-8R,\alpha=0.9999,1,0,0,24
GCCK-QPSK-8R,\alpha=0.9999,2,0,0,24
GCCK-QPSK-8R,\alpha=0.9995,0,0,0,24
GCCK-QPSK-8R,\alpha=0.9995,1,0,0,24
GCCK-QPSK-8R,\alpha=0.9995,2,0,0,24
GCCK-QPSK-8R,\alpha=0.999,0,0,0,24
GCCK-QPSK-8R,\alpha=0.999,1,0,0,24
GCCK-QPSK-8R,\alpha=0.999,2,0,0,24
GCCK-8PSK-12R,时不变信道,0,0.166666666666667,6,36
GCCK-8PSK-12R,时不变信道,1,0.333333333333333,12,36
GCCK-8PSK-12R,时不变信道,2,0.166666666666667,6,36
GCCK-8PSK-12R,\alpha=0.9999,0,0.138888888888889,5,36
GCCK-8PSK-12R,\alpha=0.9999,1,0,0,36
GCCK-8PSK-12R,\alpha=0.9999,2,0,0,36
GCCK-8PSK-12R,\alpha=0.9995,0,0.277777777777778,10,36
GCCK-8PSK-12R,\alpha=0.9995,1,0.138888888888889,5,36
GCCK-8PSK-12R,\alpha=0.9995,2,0,0,36
GCCK-8PSK-12R,\alpha=0.999,0,0.416666666666667,15,36
GCCK-8PSK-12R,\alpha=0.999,1,0.0833333333333333,3,36
GCCK-8PSK-12R,\alpha=0.999,2,0.166666666666667,6,36
