组别,曲线,EbN0_dB,BER
CSK-IDMA 内迭代,内迭代1,-2,0.28125
CSK-IDMA 内迭代,内迭代2,-2,0.28125
CSK-IDMA 内迭代,内迭代3,-2,0.270833333333333
CSK-IDMA 内迭代,内迭代4,-2,0.270833333333333
CSK-IDMA 内迭代,内迭代5,-2,0.270833333333333
CSK-IDMA 内迭代,内迭代1,0,0.15625
CSK-IDMA 内迭代,内迭代2,0,0.177083333333333
CSK-IDMA 内迭代,内迭代3,0,0.177083333333333
CSK-IDMA 内迭代,内迭代4,0,0.177083333333333
CSK-IDMA 内迭代,内迭代5,0,0.177083333333333
CSK-IDMA 内迭代,内迭代1,2,0.0625
CSK-IDMA 内迭代,内迭代2,2,0.0625
CSK-IDMA 内迭代,内迭代3,2,0.0729166666666667
CSK-IDMA 内迭代,内迭代4,2,0.0729166666666667
CSK-IDMA 内迭代,内迭代5,2,0.0729166666666667
CSK-IDMA 内迭代,内迭代1,4,0.0729166666666667
CSK-IDMA 内迭代,内迭代2,4,0.0416666666666667
CSK-IDMA 内迭代,内迭代3,4,0.0416666666666667
CSK-IDMA 内迭代,内迭代4,4,0.0416666666666667
CSK-IDMA 内迭代,内迭代5,4,0.0416666666666667
CSK-IDMA 外迭代,外迭代,-2,0.270833333333333
CSK-IDMA 外迭代,外迭代,0,0.177083333333333
CSK-IDMA 外迭代,外迭代,2,0.0729166666666667
CSK-IDMA 外迭代,外迭代,4,0.0416666666666667
