组别,曲线,EbN0_dB,BER
CSK-IDMA 内迭代,内迭代1,-2,0.312916666666667
CSK-IDMA 内迭代,内迭代2,-2,0.313333333333333
CSK-IDMA 内迭代,内迭代3,-2,0.311666666666667
CSK-IDMA 内迭代,内迭代4,-2,0.310833333333333
CSK-IDMA 内迭代,内迭代5,-2,0.3125
CSK-IDMA 内迭代,内迭代1,0,0.343333333333333
CSK-IDMA 内迭代,内迭代2,0,0.343333333333333
CSK-IDMA 内迭代,内迭代3,0,0.343333333333333
CSK-IDMA 内迭代,内迭代4,0,0.34125
CSK-IDMA 内迭代,内迭代5,0,0.3425
CSK-IDMA 内迭代,内迭代1,2,0.130416666666667
CSK-IDMA 内迭代,内迭代2,2,0.130416666666667
CSK-IDMA 内迭代,内迭代3,2,0.129166666666667
CSK-IDMA 内迭代,内迭代4,2,0.129166666666667
CSK-IDMA 内迭代,内迭代5,2,0.130416666666667
CSK-IDMA 内迭代,内迭代1,4,0.03625
CSK-IDMA 内迭代,内迭代2,4,0.035
CSK-IDMA 内迭代,内迭代3,4,0.035
CSK-IDMA 内迭代,内迭代4,4,0.0341666666666667
CSK-IDMA 内迭代,内迭代5,4,0.0320833333333333
CSK-IDMA 内迭代,内迭代1,6,0.0154166666666667
CSK-IDMA 内迭代,内迭代2,6,0.0158333333333333
CSK-IDMA 内迭代,内迭代3,6,0.0158333333333333
CSK-IDMA 内迭代,内迭代4,6,0.0158333333333333
CSK-IDMA 内迭代,内迭代5,6,0.0158333333333333
CSK-IDMA 外迭代,外迭代,-2,0.3125
CSK-IDMA 外迭代,外迭代,0,0.3425
CSK-IDMA 外迭代,外迭代,2,0.130416666666667
CSK-IDMA 外迭代,外迭代,4,0.0320833333333333
CSK-IDMA 外迭代,外迭代,6,0.0158333333333333
