组别,曲线,EbN0_dB,BER
CSK-IDMA 内迭代,内迭代1,-2,0.3875
CSK-IDMA 内迭代,内迭代2,-2,0.38875
CSK-IDMA 内迭代,内迭代3,-2,0.39
CSK-IDMA 内迭代,内迭代4,-2,0.39
CSK-IDMA 内迭代,内迭代5,-2,0.39
CSK-IDMA 内迭代,内迭代1,0,0.19125
CSK-IDMA 内迭代,内迭代2,0,0.19125
CSK-IDMA 内迭代,内迭代3,0,0.193125
CSK-IDMA 内迭代,内迭代4,0,0.190625
CSK-IDMA 内迭代,内迭代5,0,0.1925
CSK-IDMA 内迭代,内迭代1,2,0.119375
CSK-IDMA 内迭代,内迭代2,2,0.118125
CSK-IDMA 内迭代,内迭代3,2,0.1175
CSK-IDMA 内迭代,内迭代4,2,0.12
CSK-IDMA 内迭代,内迭代5,2,0.118125
CSK-IDMA 内迭代,内迭代1,4,0.0225
CSK-IDMA 内迭代,内迭代2,4,0.0225
CSK-IDMA 内迭代,内迭代3,4,0.0225
CSK-IDMA 内迭代,内迭代4,4,0.0225
CSK-IDMA 内迭代,内迭代5,4,0.0225
CSK-IDMA 内迭代,内迭代1,6,0.003125
CSK-IDMA 内迭代,内迭代2,6,0.003125
CSK-IDMA 内迭代,内迭代3,6,0.003125
CSK-IDMA 内迭代,内迭代4,6,0.003125
CSK-IDMA 内迭代,内迭代5,6,0.003125
CSK-IDMA 外迭代,外迭代,-2,0.39
CSK-IDMA 外迭代,外迭代,0,0.1925
CSK-IDMA 外迭代,外迭代,2,0.118125
CSK-IDMA 外迭代,外迭代,4,0.0225
CSK-IDMA 外迭代,外迭代,6,0.003125
