组别,曲线,EbN0_dB,BER
6.1 扩频原理,DS-BPSK,-2,0.152083333333333
6.1 扩频原理,M 元正交扩频,-2,0.176041666666667
6.1 扩频原理,CSK,-2,0.15
6.1 扩频原理,DS-BPSK,0,0.06875
6.1 扩频原理,M 元正交扩频,0,0.096875
6.1 扩频原理,CSK,0,0.0932291666666667
6.1 扩频原理,DS-BPSK,2,0.0395833333333333
6.1 扩频原理,M 元正交扩频,2,0.0390625
6.1 扩频原理,CSK,2,0.03125
6.1 扩频原理,DS-BPSK,4,0.0104166666666667
6.1 扩频原理,M 元正交扩频,4,0.003125
6.1 扩频原理,CSK,4,0.00625
6.1 扩频原理,DS-BPSK,6,0.00208333333333333
6.1 扩频原理,M 元正交扩频,6,0
6.1 扩频原理,CSK,6,0
6.2 常规多用户CSK,M=2 匹配滤波,-2,0.210416666666667
6.2 常规多用户CSK,M=4 匹配滤波,-2,0.178645833333333
6.2 常规多用户CSK,M=8 匹配滤波,-2,0.184548611111111
6.2 常规多用户CSK,M=16 匹配滤波,-2,0.183203125
6.2 常规多用户CSK,M=2 匹配滤波,0,0.156770833333333
6.2 常规多用户CSK,M=4 匹配滤波,0,0.14140625
6.2 常规多用户CSK,M=8 匹配滤波,0,0.106076388888889
6.2 常规多用户CSK,M=16 匹配滤波,0,0.0954427083333333
6.2 常规多用户CSK,M=2 匹配滤波,2,0.111979166666667
6.2 常规多用户CSK,M=4 匹配滤波,2,0.07421875
6.2 常规多用户CSK,M=8 匹配滤波,2,0.0508680555555556
6.2 常规多用户CSK,M=16 匹配滤波,2,0.0305989583333333
6.2 常规多用户CSK,M=2 匹配滤波,4,0.0494791666666667
6.2 常规多用户CSK,M=4 匹配滤波,4,0.03203125
6.2 常规多用户CSK,M=8 匹配滤波,4,0.0133680555555556
6.2 常规多用户CSK,M=16 匹配滤波,4,0.00494791666666667
6.2 常规多用户CSK,M=2 匹配滤波,6,0.0177083333333333
6.2 常规多用户CSK,M=4 匹配滤波,6,0.00703125
6.2 常规多用户CSK,M=8 匹配滤波,6,0.00225694444444444
6.2 常规多用户CSK,M=16 匹配滤波,6,0.000651041666666667
6.2 常规多用户CSK,M=2 软PIC,-2,0.2109375
6.2 常规多用户CSK,M=4 软PIC,-2,0.180989583333333
6.2 常规多用户CSK,M=8 软PIC,-2,0.184201388888889
6.2 常规多用户CSK,M=16 软PIC,-2,0.18359375
6.2 常规多用户CSK,M=2 软PIC,0,0.15625
6.2 常规多用户CSK,M=4 软PIC,0,0.1421875
6.2 常规多用户CSK,M=8 软PIC,0,0.105729166666667
6.2 常规多用户CSK,M=16 软PIC,0,0.0946614583333333
6.2 常规多用户CSK,M=2 软PIC,2,0.111458333333333
6.2 常规多用户CSK,M=4 软PIC,2,0.0734375
6.2 常规多用户CSK,M=8 软PIC,2,0.0512152777777778
6.2 常规多用户CSK,M=16 软PIC,2,0.0307291666666667
6.2 常规多用户CSK,M=2 软PIC,4,0.0494791666666667
6.2 常规多用户CSK,M=4 软PIC,4,0.0325520833333333
6.2 常规多用户CSK,M=8 软PIC,4,0.0135416666666667
6.2 常规多用户CSK,M=16 软PIC,4,0.00494791666666667
6.2 常规多用户CSK,M=2 软PIC,6,0.0177083333333333
6.2 常规多用户CSK,M=4 软PIC,6,0.00677083333333333
6.2 常规多用户CSK,M=8 软PIC,6,0.00225694444444444
6.2 常规多用户CSK,M=16 软PIC,6,0.000651041666666667
6.2 用户负载,2用户 匹配滤波,-2,0.170572916666667
6.2 用户负载,4用户 匹配滤波,-2,0.18125
6.2 用户负载,6用户 匹配滤波,-2,0.183420138888889
6.2 用户负载,2用户 匹配滤波,0,0.08671875
6.2 用户负载,4用户 匹配滤波,0,0.0989583333333333
6.2 用户负载,6用户 匹配滤波,0,0.102256944444444
6.2 用户负载,2用户 匹配滤波,2,0.03046875
6.2 用户负载,4用户 匹配滤波,2,0.0361979166666667
6.2 用户负载,6用户 匹配滤波,2,0.0438368055555556
6.2 用户负载,2用户 匹配滤波,4,0.00807291666666667
6.2 用户负载,4用户 匹配滤波,4,0.00598958333333333
6.2 用户负载,6用户 匹配滤波,4,0.01171875
6.2 用户负载,2用户 匹配滤波,6,0.000520833333333333
6.2 用户负载,4用户 匹配滤波,6,0.0015625
6.2 用户负载,6用户 匹配滤波,6,0.00164930555555556
6.2 用户负载,2用户 软PIC,-2,0.171875
6.2 用户负载,4用户 软PIC,-2,0.182291666666667
6.2 用户负载,6用户 软PIC,-2,0.178211805555556
6.2 用户负载,2用户 软PIC,0,0.0859375
6.2 用户负载,4用户 软PIC,0,0.0971354166666667
6.2 用户负载,6用户 软PIC,0,0.0954861111111111
6.2 用户负载,2用户 软PIC,2,0.02890625
6.2 用户负载,4用户 软PIC,2,0.0360677083333333
6.2 用户负载,6用户 软PIC,2,0.0360243055555556
6.2 用户负载,2用户 软PIC,4,0.00859375
6.2 用户负载,4用户 软PIC,4,0.00598958333333333
6.2 用户负载,6用户 软PIC,4,0.00651041666666667
6.2 用户负载,2用户 软PIC,6,0.000520833333333333
6.2 用户负载,4用户 软PIC,6,0.00104166666666667
6.2 用户负载,6用户 软PIC,6,0.000260416666666667
6.3 CSK-IDMA,内迭代1,-2,0.088671875
6.3 CSK-IDMA,内迭代2,-2,0.0768229166666667
6.3 CSK-IDMA,内迭代3,-2,0.0731770833333333
6.3 CSK-IDMA,内迭代1,0,0.0368489583333333
6.3 CSK-IDMA,内迭代2,0,0.0298177083333333
6.3 CSK-IDMA,内迭代3,0,0.02734375
6.3 CSK-IDMA,内迭代1,2,0.0122395833333333
6.3 CSK-IDMA,内迭代2,2,0.00690104166666667
6.3 CSK-IDMA,内迭代3,2,0.00690104166666667
6.3 CSK-IDMA,内迭代1,4,0.00169270833333333
6.3 CSK-IDMA,内迭代2,4,0.000390625
6.3 CSK-IDMA,内迭代3,4,0
6.3 CSK-IDMA,内迭代1,6,0.000651041666666667
6.3 CSK-IDMA,内迭代2,6,0
6.3 CSK-IDMA,内迭代3,6,0
6.3 CSK-IDMA,外迭代1,-2,0.0731770833333333
6.3 CSK-IDMA,外迭代2,-2,0.0716145833333333
6.3 CSK-IDMA,外迭代3,-2,0.0700520833333333
6.3 CSK-IDMA,外迭代1,0,0.02734375
6.3 CSK-IDMA,外迭代2,0,0.0252604166666667
6.3 CSK-IDMA,外迭代3,0,0.025
6.3 CSK-IDMA,外迭代1,2,0.00690104166666667
6.3 CSK-IDMA,外迭代2,2,0.00559895833333333
6.3 CSK-IDMA,外迭代3,2,0.00572916666666667
6.3 CSK-IDMA,外迭代1,4,0
6.3 CSK-IDMA,外迭代2,4,0
6.3 CSK-IDMA,外迭代3,4,0
6.3 CSK-IDMA,外迭代1,6,0
6.3 CSK-IDMA,外迭代2,6,0
6.3 CSK-IDMA,外迭代3,6,0
6.3 用户负载,8用户 CSK-IDMA,-2,0.0838541666666667
6.3 用户负载,12用户 CSK-IDMA,-2,0.0828993055555556
6.3 用户负载,16用户 CSK-IDMA,-2,0.08515625
6.3 用户负载,8用户 CSK-IDMA,0,0.025
6.3 用户负载,12用户 CSK-IDMA,0,0.0230034722222222
6.3 用户负载,16用户 CSK-IDMA,0,0.0245442708333333
6.3 用户负载,8用户 CSK-IDMA,2,0.002734375
6.3 用户负载,12用户 CSK-IDMA,2,0.00364583333333333
6.3 用户负载,16用户 CSK-IDMA,2,0.00364583333333333
6.3 用户负载,8用户 CSK-IDMA,4,0.000130208333333333
6.3 用户负载,12用户 CSK-IDMA,4,0.000173611111111111
6.3 用户负载,16用户 CSK-IDMA,4,0
6.3 用户负载,8用户 CSK-IDMA,6,0
6.3 用户负载,12用户 CSK-IDMA,6,0
6.3 用户负载,16用户 CSK-IDMA,6,0
6.3 IDMA体制比较,DSSS-IDMA 8用户,-2,0.109114583333333
6.3 IDMA体制比较,DSSS-IDMA 8用户,0,0.0673177083333333
6.3 IDMA体制比较,DSSS-IDMA 8用户,2,0.0403645833333333
6.3 IDMA体制比较,DSSS-IDMA 8用户,4,0.016796875
6.3 IDMA体制比较,DSSS-IDMA 8用户,6,0.00924479166666667
6.3 IDMA体制比较,CSK-IDMA 8用户,-2,0.0720052083333333
6.3 IDMA体制比较,CSK-IDMA 8用户,0,0.0213541666666667
6.3 IDMA体制比较,CSK-IDMA 8用户,2,0.00208333333333333
6.3 IDMA体制比较,CSK-IDMA 8用户,4,0
6.3 IDMA体制比较,CSK-IDMA 8用户,6,0
6.3 IDMA体制比较,DSSS-IDMA 10用户,-2,0.127083333333333
6.3 IDMA体制比较,DSSS-IDMA 10用户,0,0.0841666666666667
6.3 IDMA体制比较,DSSS-IDMA 10用户,2,0.06
6.3 IDMA体制比较,DSSS-IDMA 10用户,4,0.0363541666666667
6.3 IDMA体制比较,DSSS-IDMA 10用户,6,0.0271875
6.3 IDMA体制比较,CSK-IDMA 10用户,-2,0.0753125
6.3 IDMA体制比较,CSK-IDMA 10用户,0,0.0207291666666667
6.3 IDMA体制比较,CSK-IDMA 10用户,2,0.003125
6.3 IDMA体制比较,CSK-IDMA 10用户,4,0
6.3 IDMA体制比较,CSK-IDMA 10用户,6,0
