组别,曲线,EbN0_dB,BER
6.1 扩频原理,DS-BPSK,0,0
6.1 扩频原理,M 元正交扩频,0,0.0625
6.1 扩频原理,CSK,0,0.03125
6.1 扩频原理,DS-BPSK,2,0
6.1 扩频原理,M 元正交扩频,2,0.03125
6.1 扩频原理,CSK,2,0
6.2 常规多用户CSK,M=2 匹配滤波,0,0.333333333333333
6.2 常规多用户CSK,M=4 匹配滤波,0,0.1875
6.2 常规多用户CSK,M=8 匹配滤波,0,0.236111111111111
6.2 常规多用户CSK,M=16 匹配滤波,0,0.0729166666666667
6.2 常规多用户CSK,M=2 匹配滤波,2,0.25
6.2 常规多用户CSK,M=4 匹配滤波,2,0.1875
6.2 常规多用户CSK,M=8 匹配滤波,2,0.0972222222222222
6.2 常规多用户CSK,M=16 匹配滤波,2,0.104166666666667
6.2 常规多用户CSK,M=2 软PIC,0,0.333333333333333
6.2 常规多用户CSK,M=4 软PIC,0,0.1875
6.2 常规多用户CSK,M=8 软PIC,0,0.180555555555556
6.2 常规多用户CSK,M=16 软PIC,0,0.0625
6.2 常规多用户CSK,M=2 软PIC,2,0.208333333333333
6.2 常规多用户CSK,M=4 软PIC,2,0.1875
6.2 常规多用户CSK,M=8 软PIC,2,0.0555555555555556
6.2 常规多用户CSK,M=16 软PIC,2,0.0625
6.2 用户负载,2用户 匹配滤波,0,0.25
6.2 用户负载,3用户 匹配滤波,0,0.145833333333333
6.2 用户负载,2用户 匹配滤波,2,0.171875
6.2 用户负载,3用户 匹配滤波,2,0.0625
6.2 用户负载,2用户 软PIC,0,0.28125
6.2 用户负载,3用户 软PIC,0,0.125
6.2 用户负载,2用户 软PIC,2,0.140625
6.2 用户负载,3用户 软PIC,2,0.0416666666666667
6.3 CSK-IDMA,内迭代1,0,0.0625
6.3 CSK-IDMA,内迭代2,0,0.0625
6.3 CSK-IDMA,内迭代1,2,0.0625
6.3 CSK-IDMA,内迭代2,2,0
6.3 CSK-IDMA,外迭代1,0,0.0625
6.3 CSK-IDMA,外迭代2,0,0
6.3 CSK-IDMA,外迭代1,2,0
6.3 CSK-IDMA,外迭代2,2,0
6.3 用户负载,3用户 CSK-IDMA,0,0.0833333333333333
6.3 用户负载,4用户 CSK-IDMA,0,0.046875
6.3 用户负载,5用户 CSK-IDMA,0,0.175
6.3 用户负载,3用户 CSK-IDMA,2,0.0416666666666667
6.3 用户负载,4用户 CSK-IDMA,2,0
6.3 用户负载,5用户 CSK-IDMA,2,0.025
6.3 IDMA体制比较,DSSS-IDMA 3用户,0,0.0625
6.3 IDMA体制比较,DSSS-IDMA 3用户,2,0.0208333333333333
6.3 IDMA体制比较,CSK-IDMA 3用户,0,0.0625
6.3 IDMA体制比较,CSK-IDMA 3用户,2,0.0208333333333333
6.3 IDMA体制比较,DSSS-IDMA 4用户,0,0.046875
6.3 IDMA体制比较,DSSS-IDMA 4用户,2,0.046875
6.3 IDMA体制比较,CSK-IDMA 4用户,0,0.046875
6.3 IDMA体制比较,CSK-IDMA 4用户,2,0
