组别,曲线,EbN0_dB,BER
CSK-IDMA 内迭代,内迭代1,-2,0.495625
CSK-IDMA 内迭代,内迭代2,-2,0.495625
CSK-IDMA 内迭代,内迭代3,-2,0.495625
CSK-IDMA 内迭代,内迭代1,0,0.39375
CSK-IDMA 内迭代,内迭代2,0,0.39375
CSK-IDMA 内迭代,内迭代3,0,0.39375
CSK-IDMA 内迭代,内迭代1,2,0.1453125
CSK-IDMA 内迭代,内迭代2,2,0.1453125
CSK-IDMA 内迭代,内迭代3,2,0.1453125
CSK-IDMA 内迭代,内迭代1,4,0.5159375
CSK-IDMA 内迭代,内迭代2,4,0.5159375
CSK-IDMA 内迭代,内迭代3,4,0.5159375
CSK-IDMA 内迭代,内迭代1,6,0.4325
CSK-IDMA 内迭代,内迭代2,6,0.4325
CSK-IDMA 内迭代,内迭代3,6,0.4325
CSK-IDMA 外迭代,外迭代1,-2,0.4959375
CSK-IDMA 外迭代,外迭代2,-2,0.495625
CSK-IDMA 外迭代,外迭代3,-2,0.495625
CSK-IDMA 外迭代,外迭代1,0,0.3934375
CSK-IDMA 外迭代,外迭代2,0,0.39375
CSK-IDMA 外迭代,外迭代3,0,0.39375
CSK-IDMA 外迭代,外迭代1,2,0.1453125
CSK-IDMA 外迭代,外迭代2,2,0.1453125
CSK-IDMA 外迭代,外迭代3,2,0.1453125
CSK-IDMA 外迭代,外迭代1,4,0.5171875
CSK-IDMA 外迭代,外迭代2,4,0.5159375
CSK-IDMA 外迭代,外迭代3,4,0.5159375
CSK-IDMA 外迭代,外迭代1,6,0.43375
CSK-IDMA 外迭代,外迭代2,6,0.4325
CSK-IDMA 外迭代,外迭代3,6,0.4325
CSK-IDMA 用户负载,8用户,-2,0.49875
CSK-IDMA 用户负载,12用户,-2,0.507708333333333
CSK-IDMA 用户负载,16用户,-2,0.50390625
CSK-IDMA 用户负载,8用户,0,0.51
CSK-IDMA 用户负载,12用户,0,0.508958333333333
CSK-IDMA 用户负载,16用户,0,0.5103125
CSK-IDMA 用户负载,8用户,2,0.146875
CSK-IDMA 用户负载,12用户,2,0.511875
CSK-IDMA 用户负载,16用户,2,0.509375
CSK-IDMA 用户负载,8用户,4,0.5021875
CSK-IDMA 用户负载,12用户,4,0.306666666666667
CSK-IDMA 用户负载,16用户,4,0.50375
CSK-IDMA 用户负载,8用户,6,0.1734375
CSK-IDMA 用户负载,12用户,6,0.272083333333333
CSK-IDMA 用户负载,16用户,6,0.275625
