组别,曲线,EbN0_dB,BER
CSK-IDMA 内迭代,内迭代1,-2,0.3359375
CSK-IDMA 内迭代,内迭代2,-2,0.3359375
CSK-IDMA 内迭代,内迭代3,-2,0.3359375
CSK-IDMA 内迭代,内迭代1,0,0.234375
CSK-IDMA 内迭代,内迭代2,0,0.234375
CSK-IDMA 内迭代,内迭代3,0,0.234375
CSK-IDMA 内迭代,内迭代1,2,0.1209375
CSK-IDMA 内迭代,内迭代2,2,0.1209375
CSK-IDMA 内迭代,内迭代3,2,0.1209375
CSK-IDMA 内迭代,内迭代1,4,0.0403125
CSK-IDMA 内迭代,内迭代2,4,0.0403125
CSK-IDMA 内迭代,内迭代3,4,0.0403125
CSK-IDMA 内迭代,内迭代1,6,0.00875
CSK-IDMA 内迭代,内迭代2,6,0.00875
CSK-IDMA 内迭代,内迭代3,6,0.00875
CSK-IDMA 外迭代,外迭代1,-2,0.3371875
CSK-IDMA 外迭代,外迭代2,-2,0.3359375
CSK-IDMA 外迭代,外迭代3,-2,0.3359375
CSK-IDMA 外迭代,外迭代1,0,0.234375
CSK-IDMA 外迭代,外迭代2,0,0.234375
CSK-IDMA 外迭代,外迭代3,0,0.234375
CSK-IDMA 外迭代,外迭代1,2,0.120625
CSK-IDMA 外迭代,外迭代2,2,0.1209375
CSK-IDMA 外迭代,外迭代3,2,0.1209375
CSK-IDMA 外迭代,外迭代1,4,0.04125
CSK-IDMA 外迭代,外迭代2,4,0.0403125
CSK-IDMA 外迭代,外迭代3,4,0.0403125
CSK-IDMA 外迭代,外迭代1,6,0.0090625
CSK-IDMA 外迭代,外迭代2,6,0.00875
CSK-IDMA 外迭代,外迭代3,6,0.00875
CSK-IDMA 用户负载,8用户,-2,0.2878125
CSK-IDMA 用户负载,12用户,-2,0.366041666666667
CSK-IDMA 用户负载,16用户,-2,0.4253125
CSK-IDMA 用户负载,8用户,0,0.23375
CSK-IDMA 用户负载,12用户,0,0.231041666666667
CSK-IDMA 用户负载,16用户,0,0.22984375
CSK-IDMA 用户负载,8用户,2,0.116875
CSK-IDMA 用户负载,12用户,2,0.114166666666667
CSK-IDMA 用户负载,16用户,2,0.19078125
CSK-IDMA 用户负载,8用户,4,0.065
CSK-IDMA 用户负载,12用户,4,0.0829166666666667
CSK-IDMA 用户负载,16用户,4,0.048125
CSK-IDMA 用户负载,8用户,6,0.0065625
CSK-IDMA 用户负载,12用户,6,0.0464583333333333
CSK-IDMA 用户负载,16用户,6,0.02390625
