组别,曲线,EbN0_dB,BER
6.1 扩频原理,DS-BPSK,-4,0.2
6.1 扩频原理,M 元正交扩频,-4,0.30625
6.1 扩频原理,CSK,-4,0.2875
6.1 扩频原理,DS-BPSK,4,0
6.1 扩频原理,M 元正交扩频,4,0
6.1 扩频原理,CSK,4,0.021875
6.1 扩频原理,DS-BPSK,12,0
6.1 扩频原理,M 元正交扩频,12,0
6.1 扩频原理,CSK,12,0
6.2 常规多用户CSK,M=2 匹配滤波,-4,0.340625
6.2 常规多用户CSK,M=4 匹配滤波,-4,0.25
6.2 常规多用户CSK,M=8 匹配滤波,-4,0.308333333333333
6.2 常规多用户CSK,M=16 匹配滤波,-4,0.26015625
6.2 常规多用户CSK,M=2 匹配滤波,4,0.090625
6.2 常规多用户CSK,M=4 匹配滤波,4,0.090625
6.2 常规多用户CSK,M=8 匹配滤波,4,0.0645833333333333
6.2 常规多用户CSK,M=16 匹配滤波,4,0.0671875
6.2 常规多用户CSK,M=2 匹配滤波,12,0
6.2 常规多用户CSK,M=4 匹配滤波,12,0.0015625
6.2 常规多用户CSK,M=8 匹配滤波,12,0.00625
6.2 常规多用户CSK,M=16 匹配滤波,12,0.0171875
6.2 常规多用户CSK,M=2 软PIC,-4,0.33125
6.2 常规多用户CSK,M=4 软PIC,-4,0.259375
6.2 常规多用户CSK,M=8 软PIC,-4,0.303125
6.2 常规多用户CSK,M=16 软PIC,-4,0.2515625
6.2 常规多用户CSK,M=2 软PIC,4,0.078125
6.2 常规多用户CSK,M=4 软PIC,4,0.075
6.2 常规多用户CSK,M=8 软PIC,4,0.0416666666666667
6.2 常规多用户CSK,M=16 软PIC,4,0.021875
6.2 常规多用户CSK,M=2 软PIC,12,0
6.2 常规多用户CSK,M=4 软PIC,12,0
6.2 常规多用户CSK,M=8 软PIC,12,0
6.2 常规多用户CSK,M=16 软PIC,12,0
6.2 用户负载,2用户 匹配滤波,-4,0.2625
6.2 用户负载,4用户 匹配滤波,-4,0.29453125
6.2 用户负载,6用户 匹配滤波,-4,0.3109375
6.2 用户负载,2用户 匹配滤波,4,0.021875
6.2 用户负载,4用户 匹配滤波,4,0.078125
6.2 用户负载,6用户 匹配滤波,4,0.163541666666667
6.2 用户负载,2用户 匹配滤波,12,0
6.2 用户负载,4用户 匹配滤波,12,0.0171875
6.2 用户负载,6用户 匹配滤波,12,0.0833333333333333
6.2 用户负载,2用户 软PIC,-4,0.2671875
6.2 用户负载,4用户 软PIC,-4,0.284375
6.2 用户负载,6用户 软PIC,-4,0.309895833333333
6.2 用户负载,2用户 软PIC,4,0.0125
6.2 用户负载,4用户 软PIC,4,0.01484375
6.2 用户负载,6用户 软PIC,4,0.0546875
6.2 用户负载,2用户 软PIC,12,0
6.2 用户负载,4用户 软PIC,12,0
6.2 用户负载,6用户 软PIC,12,0.000520833333333333
6.3 CSK-IDMA,内迭代1,-4,0.23828125
6.3 CSK-IDMA,内迭代2,-4,0.2203125
6.3 CSK-IDMA,内迭代3,-4,0.21796875
6.3 CSK-IDMA,内迭代1,4,0.1359375
6.3 CSK-IDMA,内迭代2,4,0.0734375
6.3 CSK-IDMA,内迭代3,4,0.03984375
6.3 CSK-IDMA,内迭代1,12,0.078125
6.3 CSK-IDMA,内迭代2,12,0.03125
6.3 CSK-IDMA,内迭代3,12,0.00703125
6.3 CSK-IDMA,外迭代1,-4,0.21796875
6.3 CSK-IDMA,外迭代2,-4,0.20703125
6.3 CSK-IDMA,外迭代3,-4,0.19453125
6.3 CSK-IDMA,外迭代1,4,0.03984375
6.3 CSK-IDMA,外迭代2,4,0.00703125
6.3 CSK-IDMA,外迭代3,4,0.003125
6.3 CSK-IDMA,外迭代1,12,0.00703125
6.3 CSK-IDMA,外迭代2,12,0
6.3 CSK-IDMA,外迭代3,12,0
6.3 用户负载,8用户 CSK-IDMA,-4,0.21484375
6.3 用户负载,12用户 CSK-IDMA,-4,0.253645833333333
6.3 用户负载,16用户 CSK-IDMA,-4,0.26796875
6.3 用户负载,8用户 CSK-IDMA,4,0.00234375
6.3 用户负载,12用户 CSK-IDMA,4,0.0114583333333333
6.3 用户负载,16用户 CSK-IDMA,4,0.06875
6.3 用户负载,8用户 CSK-IDMA,12,0
6.3 用户负载,12用户 CSK-IDMA,12,0
6.3 用户负载,16用户 CSK-IDMA,12,0.040625
6.3 IDMA体制比较,DSSS-IDMA 8用户,-4,0.16328125
6.3 IDMA体制比较,DSSS-IDMA 8用户,4,0.02109375
6.3 IDMA体制比较,DSSS-IDMA 8用户,12,0.0015625
6.3 IDMA体制比较,CSK-IDMA 8用户,-4,0.20078125
6.3 IDMA体制比较,CSK-IDMA 8用户,4,0.00625
6.3 IDMA体制比较,CSK-IDMA 8用户,12,0
6.3 IDMA体制比较,DSSS-IDMA 10用户,-4,0.18125
6.3 IDMA体制比较,DSSS-IDMA 10用户,4,0.06
6.3 IDMA体制比较,DSSS-IDMA 10用户,12,0.0225
6.3 IDMA体制比较,CSK-IDMA 10用户,-4,0.203125
6.3 IDMA体制比较,CSK-IDMA 10用户,4,0.00375
6.3 IDMA体制比较,CSK-IDMA 10用户,12,0
