id,chapter,scenario,status,ber,errorBits,totalBits,berLower95,berUpper95,durationSeconds,message
dfe,2,qpsk,PASS,0.0107142857142857,6,560,0.00394182101342311,0.0231737580117332,0.8441285,
lms-dfe,2,qpsk,PASS,0.176785714285714,99,560,0.146070962659844,0.210955685487036,0.5513991,
nlms-dfe,2,qpsk,PASS,0.0375,21,560,0.0233602507256307,0.0567532848214782,0.3992174,
rls-dfe,2,qpsk,PASS,0,0,560,0,0.00656563614061378,0.422596,
dpll-dfe,2,qpsk,PASS,0.0607142857142857,34,560,0.0424091674804775,0.0838117853644224,0.3893433,
mc-lms-dfe,2,qpsk,PASS,0.00178571428571429,1,560,4.52093494270659e-05,0.00990884650854273,0.3524488,
mc-nlms-dfe,2,qpsk,PASS,0.00178571428571429,1,560,4.52093494270659e-05,0.00990884650854273,0.3090167,
mc-rls-dfe,2,qpsk,PASS,0,0,560,0,0.00656563614061378,0.4132841,
ptr-dfe,2,qpsk,PASS,0.501785714285714,281,560,0.459565840178167,0.543986657127377,0.30846,
subband-ptr-dfe,2,qpsk,PASS,0.501785714285714,281,560,0.459565840178167,0.543986657127377,0.3379163,
mmse-fde,3,qpsk,PASS,0,0,1200,0,0.00306934610810028,0.3153174,
zf-fde,3,qpsk,PASS,0,0,1200,0,0.00306934610810028,0.2822475,
htfde,3,qpsk,PASS,0,0,1200,0,0.00306934610810028,0.3289294,
sd-ibdfe,3,qpsk,PASS,0,0,1200,0,0.00306934610810028,0.3140019,
hd-ibdfe,3,qpsk,PASS,0,0,1200,0,0.00306934610810028,0.2843247,
ice-sd-ibdfe,3,qpsk,PASS,0,0,1200,0,0.00306934610810028,0.2878599,
ice-hd-ibdfe,3,qpsk,PASS,0,0,1200,0,0.00306934610810028,0.2854486,
td-turbo,4,turbo,PASS,0,0,2560,0,0.00143993084009053,1.3770727,
fd-dfe,4,turbo,PASS,0,0,2560,0,0.00143993084009053,0.4162635,
fd-turbo,4,turbo,PASS,0,0,2560,0,0.00143993084009053,0.6205263,
tf-turbo,4,turbo,PASS,0,0,2560,0,0.00143993084009053,1.2951253,
bitf-turbo,4,turbo,PASS,0,0,2560,0,0.00143993084009053,1.8898775,
blms-tf-turbo,4,turbo,PASS,0,0,2560,0,0.00143993084009053,1.3104857,
fblms,4,turbo,PASS,0,0,2560,0,0.00143993084009053,0.3803419,
tdda-teq,4,turbo,PASS,0,0,2560,0,0.00143993084009053,0.6087876,
fdda-teq,4,turbo,PASS,0,0,2560,0,0.00143993084009053,0.395739,
fdda-dfe-teq,4,turbo,PASS,0,0,2560,0,0.00143993084009053,0.5584564,
cck-rake,5,cck,PASS,0.003125,1,320,7.91150201926163e-05,0.0172875204768946,0.3131576,
cck-dfe,5,cck,PASS,0,0,320,0,0.0114615583880748,0.3324566,
cck-bidfe,5,cck,PASS,0.265625,85,320,0.21803943672857,0.317608399275789,0.3680864,
cck-bidfe2,5,cck,PASS,0.253125,81,320,0.206403830948183,0.304481429577078,0.4030093,
cck-tr-diversity,5,cck,PASS,0.35625,114,320,0.303764795930338,0.411424284739277,0.3162134,
cck-fde,5,cck,PASS,0.028125,9,320,0.0129395017003393,0.0527168625862525,0.3484652,
cck-mfb,5,cck,PASS,0.003125,1,320,7.91150201926163e-05,0.0172875204768946,0.3346504,
csk-matched-filter,6,csk,PASS,0,0,80,0,0.0450640350676923,0.3618991,
csk-soft-sic,6,csk,PASS,0,0,80,0,0.0450640350676923,0.349621,
csk-ese,6,csk,PASS,0,0,80,0,0.0450640350676923,0.388955,
